PHY: Physical
*down: administratively down
^down: standby
(l): loopback
(s): spoofing
(b): BFD down
(e): ETHOAM down
(d): Dampening Suppressed
(p): port alarm down
(dl): DLDP down
(c): CFM down
(sd): STP instance discarding
(ed): error down
InUti/OutUti: input utility rate/output utility rate
Interface                  PHY      Protocol  InUti OutUti   inErrors  outErrors
GE1/0/0                    *down    down         0%     0%          0          0
GE1/0/1                    up       up        0.53%  0.57%          0          0
GE1/0/2                    up       up        0.57%  0.53%          0          0
GE1/0/3                    up       up           0%  0.01%          0          0
GE1/0/4                    up       up           0%  1.10%          0          0
GE1/0/5                    up       up           0%  0.01%          0          0
GE1/0/6                    *down    down         0%     0%          0          0
GE1/0/7                    *down    down         0%     0%          0          0
GE1/0/8                    *down    down         0%     0%          0          0
GE1/0/9                    *down    down         0%     0%          0          0
GE1/1/0                    *down    down         0%     0%          0          0
GE1/1/1                    *down    down         0%     0%          0          0
GE1/1/2                    *down    down         0%     0%          0          0
GE1/1/3                    *down    down         0%     0%          0          0
GE1/1/4                    *down    down         0%     0%          0          0
GE1/1/5                    *down    down         0%     0%          0          0
GE1/1/6                    *down    down         0%     0%          0          0
GE1/1/7                    *down    down         0%     0%          0          0
GE1/1/8                    *down    down         0%     0%          0          0
GE1/1/9                    *down    down         0%     0%          0          0
GE2/0/0                    *down    down         0%     0%          0          0
GE2/0/1                    *down    down         0%     0%          0          0
GE2/0/2                    *down    down         0%     0%          0          0
GE2/0/3                    *down    down         0%     0%          0          0
GE2/0/4                    *down    down         0%     0%          0          0
GE2/0/5                    *down    down         0%     0%          0          0
GE2/0/6                    *down    down         0%     0%          0          0
GE2/0/7                    *down    down         0%     0%          0          0
GE2/0/8                    *down    down         0%     0%          0          0
GE2/0/9                    *down    down         0%     0%          0          0
GE2/1/0                    *down    down         0%     0%          0          0
GE2/1/1                    *down    down         0%     0%          0          0
GE2/1/2                    *down    down         0%     0%          0          0
GE2/1/3                    *down    down         0%     0%          0          0
GE2/1/4                    *down    down         0%     0%          0          0
GE2/1/5                    *down    down         0%     0%          0          0
GE2/1/6                    *down    down         0%     0%          0          0
GE2/1/7                    *down    down         0%     0%          0          0
GE2/1/8                    *down    down         0%     0%          0          0
GE2/1/9                    *down    down         0%     0%          0          0
MEth0/0/0                  up       down         0%     0%          0          0
NULL0                      up       up(s)        0%     0%          0          0
