Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  10.1.200.17             2   0cb7.5d62.0004  ARPA   GigabitEthernet2
Internet  10.1.200.18             -   0cdb.9fe4.0001  ARPA   GigabitEthernet2
Internet  10.1.200.22             -   0cdb.9fe4.0002  ARPA   GigabitEthernet3
Internet  10.10.100.1             2   3813.5411.0200  ARPA   GigabitEthernet4
Internet  10.10.100.2             -   0cdb.9fe4.0003  ARPA   GigabitEthernet4
Internet  10.10.100.13            2   3813.5411.0201  ARPA   GigabitEthernet5
Internet  10.10.100.14            -   0cdb.9fe4.0004  ARPA   GigabitEthernet5
Internet  20.0.0.2                -   0cdb.9fe4.0016  ARPA   GigabitEthernet23
Internet  100.100.100.1           -   0cdb.9fe4.0000  ARPA   GigabitEthernet1
Internet  100.100.100.201         -   0cdb.9fe4.0000  ARPA   GigabitEthernet1
Internet  100.100.100.253         -   0cdb.9fe4.0000  ARPA   GigabitEthernet1
Internet  100.100.100.254         5   380f.0011.1200  ARPA   GigabitEthernet1
