PHY: Physical
*down: administratively down
^down: standby
(l): loopback
(s): spoofing
(b): BFD down
(e): ETHOAM down
(d): Dampening Suppressed
(p): port alarm down
(dl): DLDP down
(c): CFM down
(sd): STP instance discarding
(ed): error down
InUti/OutUti: input utility rate/output utility rate
Interface                  PHY      Protocol  InUti OutUti   inErrors  outErrors
Eth-Trunk1                 up       up        0.61%  0.57%          0          0
  GE1/0/1                  up       up        0.08%     0%          0          0
  GE1/0/2                  up       up        0.53%  0.57%          0          0
GE1/0/0                    *down    down         0%     0%          0          0
GE1/0/3                    up       up        0.57%  0.53%          0          0
GE1/0/4                    up       up        0.62%  0.54%          0          0
GE1/0/5                    up       up        0.65%  0.57%          0          0
GE1/0/6                    up       up        0.69%  0.55%          0          0
GE1/0/7                    down     down         0%     0%          0          0
GE1/0/8                    up       up           0%     0%          0          0
GE1/0/9                    down     down         0%     0%          0          0
GE1/1/0                    *down    down         0%     0%          0          0
GE1/1/1                    *down    down         0%     0%          0          0
GE1/1/2                    *down    down         0%     0%          0          0
GE1/1/3                    *down    down         0%     0%          0          0
GE1/1/4                    *down    down         0%     0%          0          0
GE1/1/5                    *down    down         0%     0%          0          0
GE1/1/6                    *down    down         0%     0%          0          0
GE1/1/7                    *down    down         0%     0%          0          0
GE1/1/8                    *down    down         0%     0%          0          0
GE1/1/9                    *down    down         0%     0%          0          0
GE2/0/0                    *down    down         0%     0%          0          0
GE2/0/1                    *down    down         0%     0%          0          0
GE2/0/2                    *down    down         0%     0%          0          0
GE2/0/3                    *down    down         0%     0%          0          0
GE2/0/4                    *down    down         0%     0%          0          0
GE2/0/5                    *down    down         0%     0%          0          0
GE2/0/6                    *down    down         0%     0%          0          0
GE2/0/7                    *down    down         0%     0%          0          0
GE2/0/8                    *down    down         0%     0%          0          0
GE2/0/9                    *down    down         0%     0%          0          0
GE2/1/0                    *down    down         0%     0%          0          0
GE2/1/1                    *down    down         0%     0%          0          0
GE2/1/2                    *down    down         0%     0%          0          0
GE2/1/3                    *down    down         0%     0%          0          0
GE2/1/4                    *down    down         0%     0%          0          0
GE2/1/5                    *down    down         0%     0%          0          0
GE2/1/6                    *down    down         0%     0%          0          0
GE2/1/7                    *down    down         0%     0%          0          0
GE2/1/8                    *down    down         0%     0%          0          0
GE2/1/9                    *down    down         0%     0%          0          0
LoopBack0                  up       up(s)        0%     0%          0          0
MEth0/0/0                  up       down         0%     0%          0          0
NULL0                      up       up(s)        0%     0%          0          0
Vlanif10                   up       up           --     --          0          0
Vlanif20                   up       up           --     --          0          0
Vlanif30                   up       up           --     --          0          0
Vlanif40                   up       up           --     --          0          0
Vlanif110                  up       up           --     --          0          0
Vlanif120                  up       up           --     --          0          0
Vlanif201                  up       up           --     --          0          0
Vlanif202                  up       up           --     --          0          0
