Logging buffer configuration and contents : enabled
Allowed max buffer size : 10240
Actual buffer size : 512
Channel number : 4 , Channel name : logbuffer
Dropped messages : 0
Overwritten messages : 37
Current messages : 512

Jun  2 2026 12:47:04 Core_SW_01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a5045a;LLDP neighbor information was changed. (Added=1, Deleted=0, Dropped=0, Aged=0)
Jun  2 2026 12:47:00 Core_SW_01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a5045a;Neighbor information of the interface was changed. (NeighborIndex=1, Action=added, Interface=GE1/0/4, RemoteChassisType=macAddress, RemoteChassisId=380c-0011-1200, RemotePortIdType=interfaceName, RemotePortId=GE1/0/1, RemoteSystemName=AGG_SW_02, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.231 (CE12800 V800R023C10SPC100B313)  Copyright (C) 2012-2023 Huawei Technologies Co., Ltd.  HUAWEI CE12800  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=all802, RemoteManagementAddress=380c-0011-1200)
Jun  2 2026 12:47:00 Core_SW_01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a5045a;LLDP neighbor information was changed. (Added=0, Deleted=0, Dropped=0, Aged=1)
Jun  2 2026 12:47:00 Core_SW_01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a5045a;Neighbor information of the interface was changed. (NeighborIndex=1, Action=deleted, Interface=GE1/0/6, RemoteChassisType=macAddress, RemoteChassisId=380d-0011-1200, RemotePortIdType=interfaceName, RemotePortId=GE1/0/1, RemoteSystemName=AGG_SW_04, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.231 (CE12800 V800R023C10SPC100B313)  Copyright (C) 2012-2023 Huawei Technologies Co., Ltd.  HUAWEI CE12800  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=all802, RemoteManagementAddress=380d-0011-1200)
Jun  2 2026 12:46:58 Core_SW_01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=Vlanif202, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=Vlanif202)
Jun  2 2026 12:46:58 Core_SW_01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=Eth-Trunk1, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=Eth-Trunk1)
Jun  2 2026 12:46:57 Core_SW_01 %%01LACP/4/LACP_STATE_DOWN(l):CID=0x80480454;The LACP state is down. (PortName=GE1/0/2, TrunkName=Eth-Trunk1, LastReceivePacketTime=[2026-06-02 12:46:57:536], Reason=The remote interface was not selected. Please check the remote interface's status and configurations.)
Jun  2 2026 12:46:57 Core_SW_01 %%01IFNET/2/linkDown_active(l):CID=0x807a040f-alarmID=0x08520003;The interface status changes. (ifName=Vlanif202, AdminStatus=UP, OperStatus=DOWN, Reason=Interface physical link is down, mainIfname=Vlanif202)
Jun  2 2026 12:46:57 Core_SW_01 %%01IFNET/2/linkDown_active(l):CID=0x807a040f-alarmID=0x08520003;The interface status changes. (ifName=Eth-Trunk1, AdminStatus=UP, OperStatus=DOWN, Reason=The conditions for the activation of the interface are not met, mainIfname=Eth-Trunk1)
Jun  2 2026 12:46:52 Core_SW_01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a5045a;LLDP neighbor information was changed. (Added=0, Deleted=0, Dropped=0, Aged=1)
Jun  2 2026 12:46:52 Core_SW_01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a5045a;Neighbor information of the interface was changed. (NeighborIndex=1, Action=deleted, Interface=GE1/0/2, RemoteChassisType=macAddress, RemoteChassisId=3811-0011-1200, RemotePortIdType=interfaceName, RemotePortId=GE1/0/2, RemoteSystemName=Core_SW_02, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.231 (CE12800 V800R023C10SPC100B313)  Copyright (C) 2012-2023 Huawei Technologies Co., Ltd.  HUAWEI CE12800  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=10.1.254.2)
