2026-06-02 12:47:15.650 
*down: administratively down
^down: standby
(l): loopback
(s): spoofing
(d): Dampening Suppressed
(E): E-Trunk down
The number of interface that is UP in Physical is 7
The number of interface that is DOWN in Physical is 6
The number of interface that is UP in Protocol is 7
The number of interface that is DOWN in Protocol is 6

Interface                         IP Address/Mask      Physical   Protocol  
Eth-Trunk1                        1.1.1.1/30           down       down      
GigabitEthernet0/0/0(10G)         20.0.0.2/24          down       down      
GigabitEthernet1/0/0              unassigned           down       down      
GigabitEthernet1/0/1(10G)         10.1.200.1/30        up         up        
GigabitEthernet1/0/2(10G)         10.1.200.9/30        up         up        
GigabitEthernet1/0/3(10G)         10.1.200.17/30       up         up        
GigabitEthernet1/0/4(10G)         10.1.200.25/30       up         up        
GigabitEthernet1/0/7              unassigned           down       down      
GigabitEthernet1/0/8              unassigned           down       down      
GigabitEthernet1/0/9              unassigned           down       down      
LoopBack0                         10.1.254.3/32        up         up(s)     
NULL0                             unassigned           up         up(s)     
Virtual-if0                       unassigned           up         up(s)     
