
OSPF Process 1 with Router ID 10.1.254.5
Link State Database

Area: 0.0.0.3
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    10.1.254.3      10.1.254.3       454     48 80000004            1
 Router    10.1.254.5      10.1.254.5       632     72 80000003            1
 Sum-Net   10.1.10.0       10.1.254.3       454     28 80000003            2
 Sum-Net   10.1.10.254     10.1.254.3       454     28 80000003            2
 Sum-Net   10.1.20.0       10.1.254.3       454     28 80000003            2
 Sum-Net   10.1.20.254     10.1.254.3       454     28 80000003            2
 Sum-Net   10.1.30.0       10.1.254.3       454     28 80000003            2
 Sum-Net   10.1.30.254     10.1.254.3       454     28 80000003            2
 Sum-Net   10.1.40.0       10.1.254.3       454     28 80000003            2
 Sum-Net   10.1.40.254     10.1.254.3       454     28 80000003            2
 Sum-Net   10.1.110.0      10.1.254.3       454     28 80000003            2
 Sum-Net   10.1.110.254    10.1.254.3       454     28 80000003            2
 Sum-Net   10.1.120.0      10.1.254.3       454     28 80000003            2
 Sum-Net   10.1.120.254    10.1.254.3       454     28 80000003            2
 Sum-Net   10.1.200.0      10.1.254.3       454     28 80000003            1
 Sum-Net   10.1.200.4      10.1.254.3       324     28 80000001            2
 Sum-Net   10.1.200.8      10.1.254.3       454     28 80000003            1
 Sum-Net   10.1.200.12     10.1.254.3       262     28 80000001            2
 Sum-Net   10.1.200.16     10.1.254.3       454     28 80000003            1
 Sum-Net   10.1.254.6      10.1.254.3       454     28 80000003            2
 Sum-Asbr  10.1.254.6      10.1.254.3       454     28 80000003            1

AS External Database
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 External  0.0.0.0         10.1.254.6       391     36 80000002            1
 External  10.2.10.0       10.1.254.6       391     36 80000002            1
 External  10.2.20.0       10.1.254.6       391     36 80000002            1
 External  10.2.30.0       10.1.254.6       391     36 80000002            1
 External  10.3.10.0       10.1.254.6       391     36 80000002            1
 External  10.3.20.0       10.1.254.6       391     36 80000002            1
 External  10.3.30.0       10.1.254.6       391     36 80000002            1
