Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  10.1.200.17             7   0ce8.762d.0004  ARPA   GigabitEthernet2
Internet  10.1.200.18             -   0cb6.ff0f.0001  ARPA   GigabitEthernet2
Internet  10.1.200.22             -   0cb6.ff0f.0002  ARPA   GigabitEthernet3
Internet  10.10.100.1             9   3834.1511.0200  ARPA   GigabitEthernet4
Internet  10.10.100.2             -   0cb6.ff0f.0003  ARPA   GigabitEthernet4
Internet  10.10.100.13            9   3834.1511.0201  ARPA   GigabitEthernet5
Internet  10.10.100.14            -   0cb6.ff0f.0004  ARPA   GigabitEthernet5
Internet  20.0.0.2                -   0cb6.ff0f.0016  ARPA   GigabitEthernet23
Internet  100.100.100.1           -   0cb6.ff0f.0000  ARPA   GigabitEthernet1
Internet  100.100.100.201         -   0cb6.ff0f.0000  ARPA   GigabitEthernet1
Internet  100.100.100.253         -   0cb6.ff0f.0000  ARPA   GigabitEthernet1
Internet  100.100.100.254         2   3803.0011.1200  ARPA   GigabitEthernet1
