Logging buffer configuration and contents : enabled
Allowed max buffer size : 10240
Actual buffer size : 512
Channel number : 4 , Channel name : logbuffer
Dropped messages : 0
Overwritten messages : 0
Current messages : 21

Jun  2 2026 12:42:58 SW-DMZ-ACC-01 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=_public_, ProcessID=1, ProtocolID=OSPF, SubProtocolID=O_ASE, ExitIf=Vlanif210, Nexthop=10.1.200.25, Neighbour=, Preference=150, Metric=1, IndirectID=16777328)
Jun  2 2026 12:42:54 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a50457;Neighbor information of the interface was changed. (Interface=GE1/0/1, Action=added, Added=1, Deleted=0, RemoteInterfaceName=GigabitEthernet1/0/4, RemoteDeviceManageAddress=10.1.254.3)
Jun  2 2026 12:42:54 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50457;Neighbor information of the interface was changed. (NeighborIndex=1, Action=added, Interface=GE1/0/1, RemoteChassisType=macAddress, RemoteChassisId=0ce8-762d-0000, RemotePortIdType=interfaceName, RemotePortId=GigabitEthernet1/0/4, RemoteSystemName=FW_01, RemoteSystemDescription=FW_01, Huawei Versatile Routing Platform Software, Software Version : USG6000V2 V500R005C00SPC100 (VRP (R) Software, Version 5.170), Copyright (C) 2014-2018 Huawei Technologies Co., Ltd., RemoteSystemCapabilitySupported=router, RemoteSystemCapabilityEnabled=router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=10.1.254.3)
Jun  2 2026 12:42:54 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50457;LLDP neighbor information was changed. (Added=1, Deleted=0, Dropped=0, Aged=0)
Jun  2 2026 12:40:55 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a50457;Neighbor information of the interface was changed. (Interface=GE1/0/3, Action=added, Added=1, Deleted=0, RemoteInterfaceName=Ethernet1/0/0, RemoteDeviceManageAddress=38ba-3e11-dc01)
Jun  2 2026 12:40:55 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50457;Neighbor information of the interface was changed. (NeighborIndex=1, Action=added, Interface=GE1/0/3, RemoteChassisType=macAddress, RemoteChassisId=38ba-3e11-dc01, RemotePortIdType=interfaceName, RemotePortId=Ethernet1/0/0, RemoteSystemName=HQ-DHCP-Server, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.221 (NE40E-X16 V800R022C10SPC100B315)  Copyright (C) 2012-2022 Huawei Technologies Co., Ltd.  HUAWEI NE40E-X16  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=all802, RemoteManagementAddress=38ba-3e11-dc01)
Jun  2 2026 12:40:55 SW-DMZ-ACC-01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50457;LLDP neighbor information was changed. (Added=1, Deleted=0, Dropped=0, Aged=0)
Jun  2 2026 12:40:50 SW-DMZ-ACC-01 %%01CONFIGURATION/3/ROLLBACK_FAIL(l):CID=0x80cb000c;Configuration rollback finished, but some warnings occurred or there are still several differences.
Jun  2 2026 12:40:50 SW-DMZ-ACC-01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=Vlanif210, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=Vlanif210)
Jun  2 2026 12:40:50 SW-DMZ-ACC-01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=Vlanif60, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=Vlanif60)
Jun  2 2026 12:40:50 SW-DMZ-ACC-01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=Vlanif50, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=Vlanif50)
Jun  2 2026 12:40:50 SW-DMZ-ACC-01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=GE1/0/6, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=GE1/0/6)
Jun  2 2026 12:40:50 SW-DMZ-ACC-01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=GE1/0/5, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=GE1/0/5)
Jun  2 2026 12:40:50 SW-DMZ-ACC-01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=GE1/0/4, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=GE1/0/4)
Jun  2 2026 12:40:50 SW-DMZ-ACC-01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=GE1/0/3, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=GE1/0/3)
Jun  2 2026 12:40:50 SW-DMZ-ACC-01 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=GE1/0/1, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=GE1/0/1)
Jun  2 2026 12:10:39 SW-DMZ-ACC-01 %%01SSHS/4/CALLHOME_RECORD(s):CID=0x8093753f;Callhome function maintenance information is collected. (Details =No active configuration present for callhome)
Jun  2 2026 12:10:18 SW-DMZ-ACC-01 %%01SYSTEM/2/hwStorageUtilizationRisingAlarm_active(l):CID=0x80020028-alarmID=0x00010085;The storage usage exceeded the pre-set overload threshold. (TrapSeverity=4, ProbableCause=75265, EventType=3, PhysicalIndex=17891329, PhysicalName=MPU slot 17, RelativeResource=cfcard, UsageType=5, SubIndex=1, UsageValue=99, Unit=1, UsageThreshold=85)
Jun  2 2026 12:10:10 SW-DMZ-ACC-01 %%01SNMP/4/SNMP_RESET(l):CID=0x80d50407;SNMP was switched to a new process.
Jun  2 2026 12:10:09 SW-DMZ-ACC-01 %%01VTY/3/hwVtyExceed_active(l):CID=0x80c87541-alarmID=0x00f102ee;The number of available VTY channels is lower than the threshold. (currentLoginVTYs=0, totalVTYs=0)
Jun  2 2026 12:10:03 SW-DMZ-ACC-01 %%01LCS/4/LCS_STATE_CHANGED(l):CID=0x802b03f4;License state changed from Default to Default.
