
OSPF Process 1 with Router ID 10.1.254.1
Link State Database

Area: 0.0.0.0
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    10.1.254.1      10.1.254.1      1357     60 8000000d            1
 Router    10.1.254.2      10.1.254.2       624     60 8000000c            1
 Router    10.1.254.3      10.1.254.3      1284     96 80000013            1
 Router    10.1.254.6      10.1.254.6       703     60 8000000a            1
 Sum-Net   10.1.10.0       10.1.254.1      1343     28 80000009            1
 Sum-Net   10.1.10.0       10.1.254.2       661     28 80000009            1
 Sum-Net   10.1.10.254     10.1.254.1      1366     28 8000000a            1
 Sum-Net   10.1.10.254     10.1.254.2      1425     28 8000000a            2
 Sum-Net   10.1.20.0       10.1.254.1      1414     28 80000009            1
 Sum-Net   10.1.20.0       10.1.254.2      1053     28 80000009            1
 Sum-Net   10.1.20.254     10.1.254.1      1271     28 8000000a            1
 Sum-Net   10.1.20.254     10.1.254.2      1265     28 8000000a            2
 Sum-Net   10.1.30.0       10.1.254.1      1361     28 80000009            1
 Sum-Net   10.1.30.0       10.1.254.2       870     28 80000009            1
 Sum-Net   10.1.30.254     10.1.254.1      1320     28 80000009            2
 Sum-Net   10.1.30.254     10.1.254.2       635     28 80000009            1
 Sum-Net   10.1.40.0       10.1.254.1      1335     28 80000009            1
 Sum-Net   10.1.40.0       10.1.254.2       833     28 80000009            1
 Sum-Net   10.1.40.254     10.1.254.1      1405     28 80000009            2
 Sum-Net   10.1.40.254     10.1.254.2       620     28 80000009            1
 Sum-Net   10.1.50.0       10.1.254.3      1315     28 80000006            2
 Sum-Net   10.1.110.0      10.1.254.1      1254     28 80000009            1
 Sum-Net   10.1.110.0      10.1.254.2       916     28 80000009            1
 Sum-Net   10.1.110.254    10.1.254.1      1307     28 8000000a            1
 Sum-Net   10.1.110.254    10.1.254.2      1272     28 8000000a            2
 Sum-Net   10.1.120.0      10.1.254.1      1290     28 80000009            1
 Sum-Net   10.1.120.0      10.1.254.2       459     28 80000009            1
 Sum-Net   10.1.120.254    10.1.254.1      1263     28 8000000a            1
 Sum-Net   10.1.120.254    10.1.254.2      1386     28 8000000a            2
 Sum-Net   10.1.200.24     10.1.254.3       169     28 8000000c            1

Area: 0.0.0.1
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    10.1.254.1      10.1.254.1      1331     96 80000016            1
 Router    10.1.254.2      10.1.254.2      1393     96 8000001a            1
 Network   10.1.10.252     10.1.254.2      1293     32 80000003            0
 Network   10.1.20.252     10.1.254.2      1423     32 80000003            0
 Network   10.1.30.252     10.1.254.2      1210     32 80000003            0
 Network   10.1.40.252     10.1.254.2      1264     32 80000003            0
 Sum-Net   10.1.50.0       10.1.254.1      1241     28 80000006            3
 Sum-Net   10.1.50.0       10.1.254.2      1463     28 80000006            3
 Sum-Net   10.1.110.0      10.1.254.1      1311     28 80000009            1
 Sum-Net   10.1.110.0      10.1.254.2       805     28 80000009            1
 Sum-Net   10.1.110.254    10.1.254.1      1237     28 8000000a            1
 Sum-Net   10.1.110.254    10.1.254.2      1397     28 8000000c            2
 Sum-Net   10.1.120.0      10.1.254.1      1296     28 80000009            1
 Sum-Net   10.1.120.0      10.1.254.2       696     28 80000009            1
 Sum-Net   10.1.120.254    10.1.254.1      1241     28 8000000a            1
 Sum-Net   10.1.120.254    10.1.254.2      1241     28 8000000d            2
 Sum-Net   10.1.200.0      10.1.254.1      1468     28 80000009            1
 Sum-Net   10.1.200.0      10.1.254.2       730     28 8000000a            2
 Sum-Net   10.1.200.4      10.1.254.1      1402     28 80000009            1
 Sum-Net   10.1.200.4      10.1.254.2      1332     28 80000003            3
 Sum-Net   10.1.200.8      10.1.254.1      1406     28 8000000a            2
 Sum-Net   10.1.200.8      10.1.254.2       884     28 80000009            1
 Sum-Net   10.1.200.12     10.1.254.1      1348     28 8000000a            3
 Sum-Net   10.1.200.12     10.1.254.2       610     28 80000009            1
 Sum-Net   10.1.200.16     10.1.254.1      1369     28 8000000a            2
 Sum-Net   10.1.200.16     10.1.254.2       382     28 8000000a            2
 Sum-Net   10.1.200.24     10.1.254.1      1363     28 8000000b            2
 Sum-Net   10.1.200.24     10.1.254.2       588     28 8000000a            2
 Sum-Net   10.1.254.6      10.1.254.1      1277     28 8000000a            3
 Sum-Net   10.1.254.6      10.1.254.2       113     28 8000000a            3
 Sum-Asbr  10.1.254.6      10.1.254.1      1356     28 8000000a            2
 Sum-Asbr  10.1.254.6      10.1.254.2       423     28 8000000a            2

Area: 0.0.0.2
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    10.1.254.1      10.1.254.1      1363     72 80000011            1
 Router    10.1.254.2      10.1.254.2      1365     48 80000012            1
 Network   10.1.110.252    10.1.254.2      1380     32 80000003            0
 Network   10.1.120.252    10.1.254.2      1363     32 80000003            0
 Sum-Net   10.1.10.0       10.1.254.1      1393     28 80000009            1
 Sum-Net   10.1.10.0       10.1.254.2       858     28 80000009            1
 Sum-Net   10.1.10.254     10.1.254.1      1244     28 8000000a            1
 Sum-Net   10.1.10.254     10.1.254.2      1254     28 8000000c            2
 Sum-Net   10.1.20.0       10.1.254.1      1389     28 80000009            1
 Sum-Net   10.1.20.0       10.1.254.2       727     28 80000009            1
 Sum-Net   10.1.20.254     10.1.254.1      1271     28 8000000a            1
 Sum-Net   10.1.20.254     10.1.254.2      1303     28 8000000c            2
 Sum-Net   10.1.30.0       10.1.254.1      1281     28 80000009            1
 Sum-Net   10.1.30.0       10.1.254.2       526     28 80000009            1
 Sum-Net   10.1.30.254     10.1.254.1      1369     28 8000000b            2
 Sum-Net   10.1.30.254     10.1.254.2       752     28 8000000a            1
 Sum-Net   10.1.40.0       10.1.254.1      1265     28 80000009            1
 Sum-Net   10.1.40.0       10.1.254.2       879     28 80000009            1
 Sum-Net   10.1.40.254     10.1.254.1      1312     28 8000000b            2
 Sum-Net   10.1.40.254     10.1.254.2       574     28 8000000a            1
 Sum-Net   10.1.50.0       10.1.254.1      1262     28 80000006            3
 Sum-Net   10.1.50.0       10.1.254.2      1588     28 80000006            3
 Sum-Net   10.1.200.0      10.1.254.1      1376     28 80000009            1
 Sum-Net   10.1.200.0      10.1.254.2       457     28 8000000a            2
 Sum-Net   10.1.200.4      10.1.254.1      1289     28 80000009            1
 Sum-Net   10.1.200.4      10.1.254.2      1370     28 80000003            3
 Sum-Net   10.1.200.8      10.1.254.1      1434     28 8000000a            2
 Sum-Net   10.1.200.8      10.1.254.2       880     28 80000009            1
 Sum-Net   10.1.200.12     10.1.254.1      1375     28 8000000a            3
 Sum-Net   10.1.200.12     10.1.254.2       885     28 80000009            1
 Sum-Net   10.1.200.16     10.1.254.1      1284     28 8000000a            2
 Sum-Net   10.1.200.16     10.1.254.2       391     28 8000000a            2
 Sum-Net   10.1.200.24     10.1.254.1      1368     28 8000000b            2
 Sum-Net   10.1.200.24     10.1.254.2       429     28 8000000a            2
 Sum-Net   10.1.254.6      10.1.254.1      1418     28 8000000a            3
 Sum-Net   10.1.254.6      10.1.254.2       552     28 8000000a            3
 Sum-Asbr  10.1.254.6      10.1.254.1      1390     28 8000000a            2
 Sum-Asbr  10.1.254.6      10.1.254.2       528     28 8000000a            2

AS External Database
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 External  0.0.0.0         10.1.254.6       703     36 80000008            1
 External  10.2.10.0       10.1.254.6       703     36 80000008            1
 External  10.2.20.0       10.1.254.6       703     36 80000008            1
 External  10.2.30.0       10.1.254.6       703     36 80000008            1
 External  10.3.10.0       10.1.254.6       703     36 80000008            1
 External  10.3.20.0       10.1.254.6       703     36 80000008            1
 External  10.3.30.0       10.1.254.6       703     36 80000008            1
