 MSTID  Port                        Role  STP State     Protection      Cost    Edged
     0  GE1/0/3                     DESI  forwarding    none          199999    disable   
     0  GE1/0/4                     DESI  forwarding    none          199999    disable   
     0  GE1/0/5                     DESI  forwarding    none          199999    disable   
     0  GE1/0/6                     DESI  forwarding    none          199999    disable   
     0  GE1/0/8                     DESI  forwarding    none          199999    enable    
     0  Eth-Trunk1                  DESI  forwarding    none           99999    disable   
     1  GE1/0/3                     DESI  forwarding    none          199999    disable   
     1  GE1/0/4                     DESI  forwarding    none          199999    disable   
     1  Eth-Trunk1                  DESI  forwarding    none           99999    disable   
     2  GE1/0/5                     DESI  forwarding    none          199999    disable   
     2  GE1/0/6                     DESI  forwarding    none          199999    disable   
     2  Eth-Trunk1                  ROOT  forwarding    none           99999    disable   
     3  GE1/0/3                     DESI  forwarding    none          199999    disable   
     3  GE1/0/4                     DESI  forwarding    none          199999    disable   
     3  GE1/0/5                     DESI  forwarding    none          199999    disable   
     3  GE1/0/6                     DESI  forwarding    none          199999    disable   
     3  Eth-Trunk1                  DESI  forwarding    none           99999    disable   
