2026-06-04 08:11:15.440 

	 OSPF Process 1 with Router ID 10.1.254.3
		 Link State Database 

		         Area: 0.0.0.0
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 Router    10.1.254.3      10.1.254.3        1515  96    80000013       1
 Router    10.1.254.2      10.1.254.2         855  60    8000000C       1
 Router    10.1.254.1      10.1.254.1        1590  60    8000000D       1
 Router    10.1.254.6      10.1.254.6         934  60    8000000A       1
 Sum-Net   10.1.200.24     10.1.254.3         400  28    8000000C       1
 Sum-Net   10.1.10.0       10.1.254.1        1576  28    80000009       1
 Sum-Net   10.1.10.0       10.1.254.2         892  28    80000009       1
 Sum-Net   10.1.10.254     10.1.254.1        1599  28    8000000A       1
 Sum-Net   10.1.10.254     10.1.254.2        1656  28    8000000A       2
 Sum-Net   10.1.20.0       10.1.254.1        1647  28    80000009       1
 Sum-Net   10.1.20.0       10.1.254.2        1284  28    80000009       1
 Sum-Net   10.1.20.254     10.1.254.1        1504  28    8000000A       1
 Sum-Net   10.1.20.254     10.1.254.2        1496  28    8000000A       2
 Sum-Net   10.1.110.0      10.1.254.1        1487  28    80000009       1
 Sum-Net   10.1.110.0      10.1.254.2        1147  28    80000009       1
 Sum-Net   10.1.110.254    10.1.254.1        1540  28    8000000A       1
 Sum-Net   10.1.110.254    10.1.254.2        1503  28    8000000A       2
 Sum-Net   10.1.120.0      10.1.254.1        1523  28    80000009       1
 Sum-Net   10.1.120.0      10.1.254.2         689  28    80000009       1
 Sum-Net   10.1.120.254    10.1.254.1        1496  28    8000000A       1
 Sum-Net   10.1.120.254    10.1.254.2        1617  28    8000000A       2
 Sum-Net   10.1.30.0       10.1.254.1        1594  28    80000009       1
 Sum-Net   10.1.30.0       10.1.254.2        1101  28    80000009       1
 Sum-Net   10.1.30.254     10.1.254.1        1553  28    80000009       2
 Sum-Net   10.1.30.254     10.1.254.2         866  28    80000009       1
 Sum-Net   10.1.50.0       10.1.254.3        1546  28    80000006       2
 Sum-Net   10.1.40.0       10.1.254.1        1568  28    80000009       1
 Sum-Net   10.1.40.0       10.1.254.2        1064  28    80000009       1
 Sum-Net   10.1.40.254     10.1.254.1        1638  28    80000009       2
 Sum-Net   10.1.40.254     10.1.254.2         851  28    80000009       1
 
		         Area: 0.0.0.3
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 Router    10.1.254.3      10.1.254.3        1571  48    80000037       1
 Router    10.1.254.5      10.1.254.5          11  60    80000034       1
 Sum-Net   10.1.254.6      10.1.254.3         400  28    8000000A       2
 Sum-Net   10.1.200.12     10.1.254.3         400  28    8000000A       2
 Sum-Net   10.1.200.8      10.1.254.3         400  28    8000000C       1
 Sum-Net   10.1.200.4      10.1.254.3        1514  28    80000003       2
 Sum-Net   10.1.200.0      10.1.254.3         400  28    8000000C       1
 Sum-Net   10.1.200.16     10.1.254.3         400  28    8000000C       1
 Sum-Net   10.1.10.0       10.1.254.3         400  28    8000000A       2
 Sum-Net   10.1.10.254     10.1.254.3         400  28    8000000A       2
 Sum-Net   10.1.20.0       10.1.254.3         400  28    8000000B       2
 Sum-Net   10.1.20.254     10.1.254.3         400  28    8000000B       2
 Sum-Net   10.1.110.0      10.1.254.3         400  28    8000000B       2
 Sum-Net   10.1.110.254    10.1.254.3         400  28    8000000B       2
 Sum-Net   10.1.120.0      10.1.254.3         400  28    8000000A       2
 Sum-Net   10.1.120.254    10.1.254.3         400  28    8000000A       2
 Sum-Net   10.1.30.0       10.1.254.3         400  28    8000000A       2
 Sum-Net   10.1.30.254     10.1.254.3         400  28    8000000A       2
 Sum-Net   10.1.40.0       10.1.254.3         400  28    8000000B       2
 Sum-Net   10.1.40.254     10.1.254.3         400  28    8000000B       2
 Sum-Asbr  10.1.254.6      10.1.254.3         400  28    8000000A       1
 

		 AS External Database
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 External  0.0.0.0         10.1.254.6         934  36    80000008       1
 External  10.3.10.0       10.1.254.6         934  36    80000008       1
 External  10.3.20.0       10.1.254.6         934  36    80000008       1
 External  10.3.30.0       10.1.254.6         934  36    80000008       1
 External  10.2.10.0       10.1.254.6         934  36    80000008       1
 External  10.2.20.0       10.1.254.6         934  36    80000008       1
 External  10.2.30.0       10.1.254.6         934  36    80000008       1
 
