
PID    MemAlloc  MemLimit    MemUsed     StackBase/Ptr      Process
-----  --------  ----------  ----------  -----------------  ----------------
    1    159744  0           2052096     ffd3a330/ffffffff  init
 3338    167936  0           1925120     ffe50900/ffffffff  portmap
 3376    167936  0           1888256     ffbdcde0/ffffffff  rpc.statd
 3386   3960832  0           42840064    ffc44e50/ffffffff  sysmgr
 3936    585728  196164812   7548928     ff92ca40/ffffffff  xinetd
 3937    679936  77364812    7364608     ffe46c10/ffffffff  tftpd
 3938  11542528  138507635   59420672    ff88d750/ffffffff  syslogd
 3939   3063808  118801478   48328704    ffc5f410/ffffffff  sdwrapd
 3940   1556480  104310976   46907392    ffa8ea50/ffffffff  pfm_dummy
 3941  23842816  0           70381568    ff9fa4d0/ffffffff  platform
 3953    413696  138507635   6852608     ffd3a410/ffffffff  klogd
 3957   3477504  413669836   49893376    ff86ae10/ffffffff  vshd
 3960   4669440  390370393   102092800   fff85fe0/ffffffff  vpc_config_sync
 3961   3776512  380823027   50118656    ff8b1e60/ffffffff  smm
 3962   4829184  176198457   50155520    fffc70e0/ffffffff  session-mgr
 3963   2256896  394325747   45010944    ffaebdb0/ffffffff  psshelper
 3964  17514496  344313446   69414912    ff844530/ffffffff  pixm
 3965  27222016  0           118509568   ffea34e0/ffffffff  pdsd
 3966    229376  0           2838528     ff8b8370/ffffffff  lmgrd
 3967   2592768  120211238   53891072    fffa5cb0/ffffffff  licmgr
 3968   1884160  0           47906816    ffcf17a0/ffffffff  fs-daemon
 3969   1990656  0           46161920    ff98ad10/ffffffff  feature-mgr
 3970   1871872  0           47202304    ffc5a4a0/ffffffff  confcheck
 3971   3149824  105450892   48451584    ff82dbe0/ffffffff  capability
 3972   2121728  394177062   44916736    ffc7eac0/ffffffff  psshelper_gsvc
 3980    225280  0           2859008     ffadd180/ffffffff  cisco
 3984  14876672  711003110   114184192   ff935bd0/ffffffff  clis
 3989  63479808  1058489344  162869248   ffb02f00/ffffffff  port-profile
 3996   1654784  0           46907392    ffcbfe10/ffffffff  xmlma
 3997   1892352  116257152   46469120    ffc89540/ffffffff  vmm
 3998   4485120  138189075   57257984    ffb25710/ffffffff  vman
 3999   3162112  193385984   50724864    ffea9280/ffffffff  vdc_mgr
 4000   1921024  122001792   44863488    ffb546a0/ffffffff  ttyd
 4001   3153920  194470988   26636288    ffde8030/ffffffff  sysinfo
 4002   1613824  119346656   49049600    ff9c0760/ffffffff  sksd
 4004   2285568  200066944   50356224    ff872720/ffffffff  res_mgr
 4005   1916928  102549286   36757504    ff807fd0/ffffffff  plugin
 4006   2314240  0           48705536    ff936ff0/ffffffff  patch-installer
 4007   2244608  261576198   47448064    ff8a8540/ffffffff  mvsh
 4008    425984  0           23855104    ffa49ef0/ffffffff  mping_server
 4009   6512640  127084108   52715520    ffdca060/ffffffff  module
 4012   2908160  115894873   49012736    ffa0c250/ffffffff  evms
 4015   2367488  366224883   47689728    ffb28da0/ffffffff  evmc
 4016   3104768  481834355   49520640    ff87b950/ffffffff  crdcfg_server
 4017   1163264  0           43130880    fff48a60/ffffffff  core-dmon
 4018   3428352  102098726   48545792    ffbf5bf0/ffffffff  cli_acl
 4020   2445312  1287871692  210526208   ffb3da90/ffffffff  ascii-cfg
 4021   1302528  0           44273664    ffe38bf0/ffffffff  securityd
