display stp brief
 MST ID   Port                                Role  STP State   Protection
 0        HundredGigE1/0/1                    DESI  FORWARDING  NONE
 0        HundredGigE1/0/2                    DESI  FORWARDING  NONE
 0        HundredGigE1/0/3                    DESI  FORWARDING  NONE
 0        HundredGigE1/0/4                    DESI  FORWARDING  NONE
 0        HundredGigE1/0/5                    DESI  FORWARDING  NONE
 2        HundredGigE1/0/1                    DESI  FORWARDING  NONE
 2        HundredGigE1/0/2                    DESI  FORWARDING  NONE
 2        HundredGigE1/0/3                    DESI  FORWARDING  NONE
 2        HundredGigE1/0/5                    DESI  FORWARDING  NONE
 3        HundredGigE1/0/1                    DESI  FORWARDING  NONE
 3        HundredGigE1/0/2                    DESI  FORWARDING  NONE
 3        HundredGigE1/0/4                    DESI  FORWARDING  NONE
