2026-06-16 03:06:20.490

	 OSPF Process 1 with Router ID 10.1.254.4
		  Routing Tables

 Routing for Network
 Destination        Cost  Type       NextHop         AdvRouter       Area
 10.1.200.4/30      1     Stub       10.1.200.5      10.1.254.4      0.0.0.0
 10.1.200.12/30     1     Stub       10.1.200.13     10.1.254.4      0.0.0.0
 10.1.200.20/30     1     Stub       10.1.200.21     10.1.254.4      0.0.0.0
 10.1.200.28/30     1     Stub       10.1.200.29     10.1.254.4      0.0.0.3
 10.1.10.0/24       2     Inter-area 10.1.200.14     10.1.254.2      0.0.0.0
 10.1.10.0/24       2     Inter-area 10.1.200.6      10.1.254.1      0.0.0.0
 10.1.10.254/32     2     Inter-area 10.1.200.14     10.1.254.2      0.0.0.0
 10.1.10.254/32     2     Inter-area 10.1.200.6      10.1.254.1      0.0.0.0
 10.1.20.0/24       2     Inter-area 10.1.200.14     10.1.254.2      0.0.0.0
 10.1.20.0/24       2     Inter-area 10.1.200.6      10.1.254.1      0.0.0.0
 10.1.20.254/32     2     Inter-area 10.1.200.6      10.1.254.1      0.0.0.0
 10.1.30.0/24       2     Inter-area 10.1.200.14     10.1.254.2      0.0.0.0
 10.1.30.0/24       2     Inter-area 10.1.200.6      10.1.254.1      0.0.0.0
 10.1.30.254/32     2     Inter-area 10.1.200.14     10.1.254.2      0.0.0.0
 10.1.40.0/24       2     Inter-area 10.1.200.14     10.1.254.2      0.0.0.0
 10.1.40.0/24       2     Inter-area 10.1.200.6      10.1.254.1      0.0.0.0
 10.1.40.254/32     2     Inter-area 10.1.200.14     10.1.254.2      0.0.0.0
 10.1.50.0/24       2     Stub       10.1.200.30     10.1.254.5      0.0.0.3
 10.1.60.0/24       2     Stub       10.1.200.30     10.1.254.5      0.0.0.3
 10.1.110.0/24      2     Inter-area 10.1.200.14     10.1.254.2      0.0.0.0
 10.1.110.0/24      2     Inter-area 10.1.200.6      10.1.254.1      0.0.0.0
 10.1.110.254/32    2     Inter-area 10.1.200.6      10.1.254.1      0.0.0.0
 10.1.120.0/24      2     Inter-area 10.1.200.14     10.1.254.2      0.0.0.0
 10.1.120.0/24      2     Inter-area 10.1.200.6      10.1.254.1      0.0.0.0
 10.1.120.254/32    2     Inter-area 10.1.200.6      10.1.254.1      0.0.0.0
 10.1.200.0/30      101   Stub       10.1.200.6      10.1.254.1      0.0.0.0
 10.1.200.8/30      2     Stub       10.1.200.14     10.1.254.2      0.0.0.0
 10.1.200.16/30     2     Stub       10.1.200.22     10.1.254.6      0.0.0.0
 10.1.200.24/30     2     Stub       10.1.200.30     10.1.254.5      0.0.0.3
 10.1.254.6/32      2     Stub       10.1.200.22     10.1.254.6      0.0.0.0

 Routing for ASEs
 Destination        Cost      Type       Tag         NextHop         AdvRouter
 0.0.0.0/0          1         Type2      1           10.1.200.22     10.1.254.6
 10.2.10.0/24       2         Type1      65000       10.1.200.22     10.1.254.6
 10.2.20.0/24       2         Type1      65000       10.1.200.22     10.1.254.6
 10.2.30.0/24       2         Type1      65000       10.1.200.22     10.1.254.6
 10.3.10.0/24       2         Type1      65000       10.1.200.22     10.1.254.6
 10.3.20.0/24       2         Type1      65000       10.1.200.22     10.1.254.6
 10.3.30.0/24       2         Type1      65000       10.1.200.22     10.1.254.6

 Total Nets: 37
 Intra Area: 11  Inter Area: 19  ASE: 7  NSSA: 0
