CPU utilization statistics at 2026-06-16 03:23:07 405 ms
System CPU Using Percentage :  12%
CPU utilization for five seconds: 12%, one minute: 11%, five minutes: 11%.
Max CPU Usage :                27%
Max CPU Usage Stat. Time : 2026-06-15 01:41:48 264 ms
State: Non-overload
Overload threshold:  90%, Overload clear threshold:  75%, Duration:  480s
---------------------------
ServiceName  UseRate
---------------------------
SYSTEM           12%
AAA               0%
ARP               0%
CMF               0%
DEVICE            0%
EUM               0%
FEA               0%
FEC               0%
FIBRESM           0%
IFM               0%
IP STACK          0%
LLDP              0%
LOCAL PKT         0%
MSTP              0%
ND                0%
OAM               0%
PNP               0%
RGM               0%
RM                0%
SLA               0%
SMLK              0%
SVRO              0%
TNLM              0%
TUNNEL            0%
VLAN              0%
---------------------------
CPU Usage Details
----------------------------------------------------------------
CPU     Current  FiveSec   OneMin  FiveMin  Max MaxTime
----------------------------------------------------------------
cpu0        54%      54%      54%      50%  99% 2026-06-13 10:24:34
cpu1        25%      24%      14%      20%  99% 2026-06-13 15:08:15
cpu2        12%       9%      10%      11%  99% 2026-06-12 07:38:56
cpu3       100%     100%      83%      24%  99% 2026-06-12 04:16:06
cpu4        10%      10%       9%      11%  99% 2026-06-11 17:19:17
cpu5        12%       8%       8%      19%  99% 2026-06-12 03:37:55
cpu6         8%       8%      25%      26%  99% 2026-06-12 15:04:14
cpu7         8%       8%       7%       7%  99% 2026-06-11 17:02:37
cpu8         8%       7%       8%       8%  99% 2026-06-11 16:04:18
cpu9         7%       7%       7%       9%  99% 2026-06-12 21:54:04
cpu10        7%      10%      10%      10%  99% 2026-06-11 11:44:58
cpu11        8%       8%       8%      11%  99% 2026-06-14 06:41:24
cpu12        9%       9%       7%      10%  99% 2026-06-12 03:47:55
cpu13        9%       9%      29%      16%  99% 2026-06-11 16:50:27
cpu14        7%       7%      10%      10%  99% 2026-06-11 17:20:47
cpu15        7%       7%       8%       7%  99% 2026-06-12 03:39:25
cpu16       62%      67%      42%      25%  99% 2026-06-11 17:12:17
cpu17       18%      18%       9%      17%  99% 2026-06-12 02:53:45
cpu18        7%       7%       7%      28%  99% 2026-06-12 02:31:56
cpu19        6%       7%       7%       6%  99% 2026-06-12 07:12:26
cpu20       43%      34%      29%      13%  99% 2026-06-12 02:32:55
cpu21       45%      41%      17%      17%  99% 2026-06-11 14:45:08
cpu22        5%       6%       3%       7%  99% 2026-06-11 12:41:38
cpu23        6%       5%       3%       6%  99% 2026-06-11 11:56:58
cpu24        8%       7%       3%       3%  99% 2026-06-11 12:32:38
cpu25        4%       4%       2%      11%  99% 2026-06-12 02:31:56
cpu26       17%      18%      11%       6%  99% 2026-06-11 15:05:08
cpu27       28%      28%      19%      16%  99% 2026-06-11 12:10:08
cpu28        5%       5%       4%       6%  99% 2026-06-11 13:23:57
cpu29        3%       4%       3%       5%  99% 2026-06-11 18:44:48
cpu30        4%       4%       3%       7%  99% 2026-06-11 15:44:28
cpu31        3%       4%       3%       7%  99% 2026-06-11 16:11:58
cpu32        3%       5%       4%       2%  99% 2026-06-11 15:46:58
cpu33        3%       4%       3%       3%  99% 2026-06-11 12:01:48
cpu34        5%       6%       4%       9%  99% 2026-06-11 14:18:07
cpu35        6%       4%       2%       7%  99% 2026-06-11 17:41:58
cpu36        5%       6%       3%      16%  99% 2026-06-11 14:25:47
cpu37        0%       0%       1%       6%  99% 2026-06-11 14:23:07
cpu38        3%       3%       2%       4%  99% 2026-06-11 15:58:08
cpu39        4%       4%       3%       7%  99% 2026-06-11 13:47:07
cpu40        4%       4%       4%       5%  80% 2026-06-12 04:22:46
cpu41        6%       6%       6%       6%  99% 2026-06-11 17:07:57
cpu42        8%       8%       8%      10%  99% 2026-06-11 16:37:17
cpu43        0%       1%       2%       6%  99% 2026-06-11 16:57:57
cpu44        6%       7%       7%       7%  99% 2026-06-12 07:01:37
cpu45        9%      10%      10%       9%  99% 2026-06-12 12:31:24
cpu46        8%       8%       7%       7%  99% 2026-06-11 17:23:37
cpu47       10%      10%      10%      14%  99% 2026-06-11 17:24:37
cpu48        8%       8%       8%       9%  89% 2026-06-12 20:01:15
cpu49       10%      10%      11%       9%  99% 2026-06-11 16:44:37
cpu50        8%       7%       6%       7%  99% 2026-06-11 17:00:37
cpu51        6%       6%      10%       7%  99% 2026-06-12 12:23:14
cpu52        8%       8%       8%       7%  99% 2026-06-11 17:10:17
cpu53        6%       6%       5%       6%  99% 2026-06-12 04:09:56
cpu54        6%       6%       7%       7%  99% 2026-06-11 14:58:28
cpu55        6%       6%       6%       6%  99% 2026-06-12 16:10:55
cpu56        3%       3%       4%       6%  99% 2026-06-11 16:12:58
cpu57        4%       5%       5%       5%  99% 2026-06-12 08:21:14
cpu58        5%       5%       5%       5%  99% 2026-06-12 08:24:14
cpu59        4%       4%       8%       8%  99% 2026-06-12 15:55:45
cpu60        2%       3%       2%       7%  99% 2026-06-11 12:03:58
cpu61        4%       4%      19%      17%  99% 2026-06-11 14:41:58
cpu62        4%       4%      20%       8%  99% 2026-06-11 14:28:17
cpu63        4%      11%      24%       8%  99% 2026-06-11 12:15:48
cpu64        6%       8%       6%      20%  99% 2026-06-11 12:48:08
cpu65       13%      13%      10%      32%  99% 2026-06-11 18:49:38
cpu66        4%       4%       3%       4%  99% 2026-06-11 13:34:57
cpu67        5%       4%       3%       6%  99% 2026-06-11 13:13:07
cpu68        8%       8%       6%       5%  99% 2026-06-11 12:50:27
cpu69        7%       5%       4%       4%  99% 2026-06-11 19:16:48
cpu70       50%      50%      26%       9%  99% 2026-06-11 19:47:37
cpu71        5%       5%       4%      18%  99% 2026-06-11 17:25:07
cpu72        5%       3%       2%      61%  99% 2026-06-11 13:17:17
cpu73       12%      12%       4%      16%  99% 2026-06-11 12:35:08
cpu74        3%       3%       3%       6%  99% 2026-06-11 13:52:47
cpu75        2%       2%       7%      10%  99% 2026-06-11 12:08:08
cpu76        8%      17%      60%      22%  99% 2026-06-11 09:31:17
cpu77       99%      90%      49%      14%  99% 2026-06-11 20:30:27
cpu78        7%       7%       4%       4%  99% 2026-06-11 20:00:47
cpu79        3%       3%       3%       4%  99% 2026-06-11 13:28:37
----------------------------------------------------------------
