Processor Pool Total: 1140161264 Used:  255172304 Free:  884988960
reserve P Pool Total:     102404 Used:         88 Free:     102316
 lsmpi_io Pool Total:    3149400 Used:    3148568 Free:        832

 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
   0   0  257201280   74717936  158301024        645     517127 *Init*
   0   0       2952    2431928       2952          1          1 *Sched*
   0   0   30347784   18930592   10150136          8          6 *Dead*
   0   0          0          0     395344          0          0 *MallocLite*
   1   0     645656          0     675600          0          0 Chunk Manager
   2   0        448        448      17944          0          0 Load Meter
   3   0          0          0      53944          0          0 PKI Trustpool
   4   0          0          0      29944          0          0 Retransmission o
   5   0          0          0      29944          0          0 IPC ISSU Dispatc
   6   0     746512      85096     466912          3          3 RF Slave Main Th
   7   0      65632          0     167576          0          0 EDDRI_MAIN
   8   0          0          0      30056          0          0 RO Notify Timers
   9   0       8736        448      38232          0          0 Check heaps
  10   0  499295216  499348384     216064         51          0 Pool Manager
  11   0          0          0      29944          0          0 DiscardQ Backgro
  12   0        448        448      29944          0          0 Timers
  13   0          0          0      17944          0          0 WATCH_AFS
  14   0          0          0      29944          0          0 IOSXE heartbeat
  15   0          0          0      29944          0          0 DB Lock Manager
  16   0          0          0      29944          0          0 DB Notification
  17   0       8712          0      38416          3          3 SSH Event handle
  18   0          0          0      29944          0          0 VACS Background
  19   0        448        448      41944          0          0 ATM AutoVC Perio
  20   0        448        448      29944          0          0 ATM VC Auto Crea
  21   0          0          0      29944          0          0 IPC Apps Task
  22   0          0          0      29944          0          0 ifIndex Receive
  23   0          0          0      29944          0          0 IPC Event Notifi
  24   0          0          0      29944          0          0 IPC Mcast Pendin
  25   0          0          0      29944          0          0 Platform appsess
  26   0          0          0      29944          0          0 IPC Dynamic Cach
  27   0          0          0      29944          0          0 IPC Service NonC
  28   0          0          0      29944          0          0 IPC Zone Manager
  29   0          0          0      29944          0          0 IPC Periodic Tim
  30   0          0          0      29944          0          0 IPC Deferred Por
  31   0          0          0      29944          0          0 IPC Process leve
  32   0       2192          0      32136          0          0 IPC Seat Manager
  33   0          0          0      29944          0          0 IPC Check Queue
  34   0          0          0      29944          0          0 IPC Seat RX Cont
  35   0          0          0      29944          0          0 IPC Seat TX Cont
  36   0          0          0      29944          0          0 IPC Keep Alive M
  37   0          0          0      29944          0          0 IPC Loadometer
  38   0          0          0      29944          0          0 IPC Session Deta
  39   0          0          0      29944          0          0 SENSOR-MGR event
  40   0          0          0      29944          0          0 MEMLEAK PROCESS
  41   0     896888     831160      95672       2610       2610 ARP Input
  42   0      68048      13688      84304         19         19 ARP Background
  43   0        448        448      29944          0          0 ATM Idle Timer
  44   0          0          0      29944          0          0 ATM ASYNC PROC
  45   0          0          0      29944          0          0 CEF MIB API
  46   0          0          0      29944          0          0 AAA_SERVER_DEADT
  47   0          0          0      53944          0          0 Policy Manager
  48   0        448        448      29944          0          0 DDR Timers
  49   0      43128       9360      63712         60         60 Entity MIB API
  50   0       7616       7616      29944          0          0 PrstVbl
  51   0        448        448      29944          0          0 Serial Backgroun
  52   0          0          0      17944          0          0 RMI RM Notify Wa
  53   0          0          0      29944          0          0 IOSXE signals IO
  54   0        448        448      29944          0          0 GraphIt
  55   0          0          0      53944          0          0 License IPC stat
  56   0          0          0      53944          0          0 License IPC serv
  57   0          0          0      29944        196        196 Net Input
  58   0          0          0      29944          0          0 client_entity_se
  59   0       3344          0      33288          0          0 RF SCTPthread
  60   0        448        448      53944          0          0 Dialer event
  61   0          0          0      29944          0          0 SERIAL A'detect
  62   0        448        448      53944          0          0 XML Proxy Client
  63   0    2865576    2842552      42752          6          6 crypto sw pk pro
  64   0        288       1280      29944          0          0 License Client N
  65   0    8912280    8912280      29944          0          0 Licensing Auto U
  66   0          0          0      30072          0          0 License HA Consi
  67   0          0          0      29944          0          0 Image License br
  68   0      14296      11640      57584          0          0 SAEventLog
  69   0      48072      52536      58184          0          0 SAStorage
  70   0      34272      30464      58072          0          0 SASConnect
  71   0     134112      18696      61408          0          0 SASRcvWQ
  72   0      38584      34376      58072          0          0 SACConnect
  73   0     191160      19608      63496          0          0 SACRcvWQ
  74   0          0          0      29944          0          0 Token Daemon
  75   0          0          0      29944          0          0 Critical Bkgnd
  76   0     337088      65448      62912        372        372 Net Background
  77   0      11472       7904      57512          0          0 IDB Work
  78   0        448        448      53944        430        430 Logger
  79   0    1056312       4768      47256         54         54 TTY Background
  80   0       5200       2832      56312          0          0 CTS CORE
  81   0     564040     126224     417584          8          8 SAMsgThread
  82   0        448       4704      53944          0          0 SXP CORE
  83   0      23608      18160      57776          6          6 SASRcvWQWrk1
  84   0   20980488          0    7924576         35         35 IOSD ipc task
  85   0       4192       4192     101944          0          0 IOSD chasfs task
  86   0      17024      17024      29944          0          0 Crimson flush tr
  87   0        448        448      29944          0          0 Cloud HA
  88   0      10544        448      40040          0          0 CTS HA
  89   0          0          0      29944          0          0 CTS HA IPC flow
  90   0          0          0      29944          0          0 CTS HA operation
  91   0          0          0      41944          0          0 REDUNDANCY FSM
  92   0          0          0      41944          0          0 Punt FP Stats Du
  93   0       1816        448      43312     215029     215029 PuntInject Keepa
  94   0       3744          0      33688          0          0 IF-MGR control p
  95   0          0          0      29944          0          0 IF-MGR event pro
  96   0          0          0      29944          0          0 SBC IPC Hold Que
  97   0          0          0      29944          0          0 cpf_msg_holdq_pr
  98   0          0          0      29944          0          0 cpf_msg_rcvq_pro
  99   0          0          0      29944          0          0 cpf_process_tpQ
 100   0          0          0      29944          0          0 Environmental Mo
 101   0          0          0      29944          0          0 RP HA Periodic
 102   0          0          0      41944          0          0 CONSOLE helper p
 103   0      98792       1488     200864          0          0 DBAL EVENTS
 104   0          0          0      17944          0          0 CEF RRP RF waite
 105   0          0          0      29944          0          0 REDUNDANCY peer
 106   0          0          0      29944          0          0 100ms check
 107   0          0          0      29944          0          0 ANCP HA
 108   0          0          0      29944          0          0 ANCP HA IPC flow
 109   0          0          0      29944          0          0 QoS HA ID RETAIN
 110   0          0          0      29944          0          0 CHKPT Test clien
 111   0          0          0      29944          0          0 CHKPT Test clien
 112   0          0          0      29944          0          0 CHKPT Test clien
 113   0          0          0      29944          0          0 CHKPT Test clien
