CPU utilization statistics at 2026-06-16 06:22:55 533 ms
System CPU Using Percentage :   5%
CPU utilization for five seconds: 5%, one minute: 4%, five minutes: 3%.
Max CPU Usage :                18%
Max CPU Usage Stat. Time : 2026-06-11 11:28:05 385 ms
State: Non-overload
Overload threshold:  90%, Overload clear threshold:  75%, Duration:  480s
---------------------------
ServiceName  UseRate
---------------------------
SYSTEM            5%
AAA               0%
ARP               0%
CMF               0%
DEVICE            0%
EUM               0%
FEA               0%
FEC               0%
FIBRESM           0%
IFM               0%
IP STACK          0%
LLDP              0%
LOCAL PKT         0%
MSTP              0%
ND                0%
OAM               0%
PNP               0%
RGM               0%
RM                0%
SLA               0%
SMLK              0%
SVRO              0%
TNLM              0%
TUNNEL            0%
VLAN              0%
---------------------------
CPU Usage Details
----------------------------------------------------------------
CPU     Current  FiveSec   OneMin  FiveMin  Max MaxTime
----------------------------------------------------------------
cpu0        43%      43%      42%      36%  99% 2026-06-11 08:14:22
cpu1         9%      10%      10%       6%  99% 2026-06-11 12:20:32
cpu2         4%       4%       3%       2%  99% 2026-06-11 16:13:52
cpu3         6%       6%       4%       3%  99% 2026-06-11 11:25:02
cpu4         5%       5%       4%       2%  99% 2026-06-13 06:39:31
cpu5        10%      10%       7%       3%  99% 2026-06-11 12:22:32
cpu6         4%       4%       4%       2%  99% 2026-06-11 12:25:22
cpu7         4%       5%       5%       2%  99% 2026-06-11 12:26:52
cpu8         3%       4%       5%       3%  99% 2026-06-11 11:23:42
cpu9         6%       7%       5%       3%  99% 2026-06-11 15:48:02
cpu10        6%       6%       4%       3%  99% 2026-06-13 05:35:21
cpu11        7%       7%       6%       3%  99% 2026-06-11 14:12:12
cpu12        6%       6%       5%       3%  99% 2026-06-11 13:17:52
cpu13        6%       9%       7%       3%  99% 2026-06-11 13:58:32
cpu14        7%       8%       6%       3%  99% 2026-06-11 19:04:41
cpu15        5%       5%       4%       2%  99% 2026-06-11 14:00:02
cpu16       14%      14%       9%       5%  99% 2026-06-11 12:29:42
