Logging buffer configuration and contents : enabled
Allowed max buffer size : 10240
Actual buffer size : 512
Channel number : 4 , Channel name : logbuffer
Dropped messages : 0
Overwritten messages : 0
Current messages : 47

Jun 15 2026 09:45:18 HQ_MKT_AP01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50452;LLDP neighbor information was changed. (Added=1, Deleted=1, Dropped=0, Aged=0)
Jun 15 2026 09:45:14 HQ_MKT_AP01 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a50452;Neighbor information of the interface was changed. (Interface=GE1/0/0, Action=added, Added=1, Deleted=0, RemoteInterfaceName=HundredGigE1/0/4, RemoteDeviceManageAddress=7425-8ae3-9a57)
Jun 15 2026 09:45:14 HQ_MKT_AP01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50452;Neighbor information of the interface was changed. (NeighborIndex=1, Action=added, Interface=GE1/0/0, RemoteChassisType=macAddress, RemoteChassisId=7425-8ae3-9a57, RemotePortIdType=interfaceName, RemotePortId=HundredGigE1/0/4, RemoteSystemName=AGG_SW_01, RemoteSystemDescription=H3C Comware Platform Software, Software Version 7.1.070, Release 7639P06  H3C V9850-256H  Copyright (c) 2004-2024 New H3C Technologies Co., Ltd. All rights reserved., RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=all802, RemoteManagementAddress=7425-8ae3-9a57)
Jun 15 2026 09:45:14 HQ_MKT_AP01 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a50452;Neighbor information of the interface was changed. (Interface=GE1/0/0, Action=deleted, Added=0, Deleted=1, RemoteInterfaceName=HundredGigE1/0/4, RemoteDeviceManageAddress=0ca9-40a9-0004)
Jun 15 2026 09:45:14 HQ_MKT_AP01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50452;Neighbor information of the interface was changed. (NeighborIndex=1, Action=deleted, Interface=GE1/0/0, RemoteChassisType=macAddress, RemoteChassisId=7425-8ae3-9a57, RemotePortIdType=interfaceName, RemotePortId=HundredGigE1/0/4, RemoteSystemName=AGG_SW_01, RemoteSystemDescription=H3C Comware Platform Software, Software Version 7.1.070, Release 7639P06  H3C V9850-256H  Copyright (c) 2004-2024 New H3C Technologies Co., Ltd. All rights reserved., RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=all802, RemoteManagementAddress=0ca9-40a9-0004)
Jun 15 2026 09:45:13 HQ_MKT_AP01 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a50452;Neighbor information of the interface was changed. (Interface=GE1/0/0, Action=added, Added=1, Deleted=0, RemoteInterfaceName=HundredGigE1/0/4, RemoteDeviceManageAddress=0ca9-40a9-0004)
Jun 15 2026 09:45:13 HQ_MKT_AP01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50452;Neighbor information of the interface was changed. (NeighborIndex=1, Action=added, Interface=GE1/0/0, RemoteChassisType=macAddress, RemoteChassisId=7425-8ae3-9a57, RemotePortIdType=interfaceName, RemotePortId=HundredGigE1/0/4, RemoteSystemName=AGG_SW_01, RemoteSystemDescription=H3C Comware Platform Software, Software Version 7.1.070, Release 7639P06  H3C V9850-256H  Copyright (c) 2004-2024 New H3C Technologies Co., Ltd. All rights reserved., RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=all802, RemoteManagementAddress=0ca9-40a9-0004)
Jun 15 2026 09:45:13 HQ_MKT_AP01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50452;LLDP neighbor information was changed. (Added=1, Deleted=0, Dropped=0, Aged=0)
Jun 15 2026 08:53:34 HQ_MKT_AP01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50452;LLDP neighbor information was changed. (Added=0, Deleted=0, Dropped=0, Aged=1)
Jun 15 2026 08:53:34 HQ_MKT_AP01 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a50452;Neighbor information of the interface was changed. (Interface=GE1/0/0, Action=deleted, Added=0, Deleted=1, RemoteInterfaceName=GE1/0/0, RemoteDeviceManageAddress=10.1.100.11)
Jun 15 2026 08:53:34 HQ_MKT_AP01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50452;Neighbor information of the interface was changed. (NeighborIndex=1, Action=deleted, Interface=GE1/0/0, RemoteChassisType=macAddress, RemoteChassisId=380b-0011-1200, RemotePortIdType=interfaceName, RemotePortId=GE1/0/0, RemoteSystemName=HQ_MKT_AP01, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.231 (CE12800 V800R023C10SPC100B313)  Copyright (C) 2012-2023 Huawei Technologies Co., Ltd.  HUAWEI CE12800  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=10.1.100.11)
