CPU utilization statistics at 2026-06-16 06:50:14 886 ms
System CPU Using Percentage :  12%
CPU utilization for five seconds: 12%, one minute: 11%, five minutes: 8%.
Max CPU Usage :                26%
Max CPU Usage Stat. Time : 2026-06-15 01:41:41 852 ms
State: Non-overload
Overload threshold:  90%, Overload clear threshold:  75%, Duration:  480s
---------------------------
ServiceName  UseRate
---------------------------
SYSTEM           12%
AAA               0%
ARP               0%
CMF               0%
DEVICE            0%
EUM               0%
FEA               0%
FEC               0%
FIBRESM           0%
IFM               0%
IP STACK          0%
LLDP              0%
LOCAL PKT         0%
MSTP              0%
ND                0%
OAM               0%
PNP               0%
RGM               0%
RM                0%
SLA               0%
SMLK              0%
SVRO              0%
TNLM              0%
TUNNEL            0%
VLAN              0%
---------------------------
CPU Usage Details
----------------------------------------------------------------
CPU     Current  FiveSec   OneMin  FiveMin  Max MaxTime
----------------------------------------------------------------
cpu0        38%      39%      38%      36%  99% 2026-06-13 10:24:40
cpu1         7%       8%      18%      12%  99% 2026-06-13 15:08:09
cpu2        22%      32%      72%      29%  99% 2026-06-12 07:38:51
cpu3        21%      31%      59%      17%  99% 2026-06-12 04:16:01
cpu4        59%      60%      31%      10%  99% 2026-06-11 17:19:20
cpu5        13%      14%      10%      25%  99% 2026-06-12 03:37:50
cpu6         7%       7%       6%       7%  99% 2026-06-12 15:04:19
cpu7        35%      36%      14%      28%  99% 2026-06-11 17:02:39
cpu8        57%      63%      40%      13%  99% 2026-06-11 16:04:21
cpu9        19%      10%       7%       5%  99% 2026-06-13 05:13:39
cpu10        6%       7%       6%       5%  99% 2026-06-11 11:45:01
cpu11        6%       6%       6%       4%  99% 2026-06-14 06:41:28
cpu12        6%       7%       6%       7%  99% 2026-06-12 03:47:50
cpu13       16%      17%      12%       6%  99% 2026-06-11 16:50:30
cpu14        7%       6%       6%       5%  99% 2026-06-11 17:20:50
cpu15       73%      63%      25%       8%  99% 2026-06-12 03:50:39
cpu16        5%       5%       5%       4%  99% 2026-06-11 17:12:20
cpu17        5%       5%       5%      13%  99% 2026-06-12 02:53:39
cpu18        6%       5%       5%       5%  99% 2026-06-12 02:31:50
cpu19        6%       6%       5%       6%  99% 2026-06-12 07:12:31
cpu20       10%      10%       4%       2%  99% 2026-06-12 02:32:50
cpu21        4%       4%       4%       3%  99% 2026-06-11 14:45:10
cpu22        7%       6%       4%       2%  99% 2026-06-11 12:41:40
cpu23        3%       3%       4%       3%  99% 2026-06-11 11:57:01
cpu24        6%       5%       5%       2%  99% 2026-06-11 17:35:30
cpu25        3%       3%       4%       7%  99% 2026-06-12 02:31:50
cpu26        4%       3%       5%       2%  99% 2026-06-11 19:35:31
cpu27        6%       6%       5%       4%  99% 2026-06-11 12:10:10
