
OSPF Process 1 with Router ID 10.1.254.5
Link State Database

Area: 0.0.0.3
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    10.1.254.3      10.1.254.3        46     48 800005aa        65500
 Router    10.1.254.4      10.1.254.4        46     48 800005b1            1
 Router    10.1.254.5      10.1.254.5        65     96 80000102            1
 Sum-Net   10.1.10.0       10.1.254.3         6     28 80000049        65501
 Sum-Net   10.1.10.0       10.1.254.4        46     28 80000023            2
 Sum-Net   10.1.10.254     10.1.254.3         6     28 80000081        65501
 Sum-Net   10.1.10.254     10.1.254.4        45     28 80000045            2
 Sum-Net   10.1.20.0       10.1.254.3         6     28 80000049        65501
 Sum-Net   10.1.20.0       10.1.254.4        46     28 80000023            2
 Sum-Net   10.1.20.254     10.1.254.3         6     28 8000006e        65501
 Sum-Net   10.1.20.254     10.1.254.4        45     28 80000036            2
 Sum-Net   10.1.30.0       10.1.254.3         6     28 80000049        65501
 Sum-Net   10.1.30.0       10.1.254.4        46     28 80000023            2
 Sum-Net   10.1.30.254     10.1.254.3         6     28 80000075        65502
 Sum-Net   10.1.30.254     10.1.254.4        46     28 80000032            2
 Sum-Net   10.1.40.0       10.1.254.3         6     28 80000049        65501
 Sum-Net   10.1.40.0       10.1.254.4        46     28 80000023            2
 Sum-Net   10.1.40.254     10.1.254.3         3     28 80000076        65501
 Sum-Net   10.1.40.254     10.1.254.4        46     28 8000002f            2
 Sum-Net   10.1.110.0      10.1.254.3         6     28 80000049        65501
 Sum-Net   10.1.110.0      10.1.254.4        46     28 80000023            2
 Sum-Net   10.1.110.254    10.1.254.3         6     28 80000065        65501
 Sum-Net   10.1.110.254    10.1.254.4        45     28 80000033            2
 Sum-Net   10.1.120.0      10.1.254.3         6     28 80000049        65501
 Sum-Net   10.1.120.0      10.1.254.4        46     28 80000023            2
 Sum-Net   10.1.120.254    10.1.254.3         6     28 80000065        65501
 Sum-Net   10.1.120.254    10.1.254.4        45     28 80000033            2
 Sum-Net   10.1.200.0      10.1.254.3        29     28 80000703        65500
 Sum-Net   10.1.200.0      10.1.254.4        43     28 8000091b          101
 Sum-Net   10.1.200.4      10.1.254.3         6     28 80000824        65501
 Sum-Net   10.1.200.4      10.1.254.4        46     28 800007d8            1
 Sum-Net   10.1.200.8      10.1.254.3        46     28 80000300        65500
 Sum-Net   10.1.200.8      10.1.254.4        46     28 800008d0            2
 Sum-Net   10.1.200.12     10.1.254.3        42     28 8000028a        65502
 Sum-Net   10.1.200.12     10.1.254.4        46     28 8000060b            1
 Sum-Net   10.1.200.16     10.1.254.3        46     28 800005a6        65500
 Sum-Net   10.1.200.16     10.1.254.4        46     28 80000591            2
 Sum-Net   10.1.200.20     10.1.254.3        46     28 80000593        65501
 Sum-Net   10.1.200.20     10.1.254.4        46     28 800005ab            1
 Sum-Net   10.1.254.6      10.1.254.3        46     28 80000593        65501
 Sum-Net   10.1.254.6      10.1.254.4        46     28 80000591            2
 Sum-Asbr  10.1.254.6      10.1.254.3        46     28 80000593        65500
 Sum-Asbr  10.1.254.6      10.1.254.4        46     28 80000591            1

AS External Database
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 External  0.0.0.0         10.1.254.6      1527     36 800000d8            1
 External  10.2.10.0       10.1.254.6      1527     36 800000d8            1
 External  10.2.20.0       10.1.254.6      1527     36 800000d8            1
 External  10.2.30.0       10.1.254.6      1527     36 800000d8            1
 External  10.3.10.0       10.1.254.6      1527     36 800000d8            1
 External  10.3.20.0       10.1.254.6      1527     36 800000d8            1
 External  10.3.30.0       10.1.254.6      1527     36 800000d8            1
