
CPU utilization for five seconds: 1%/0%; one minute: 1%; five minutes: 1%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1         1880     20744      0   0.00%   0.00%  0.00%   -    init
 3338            0         5      0   0.00%   0.00%  0.00%   -    portmap
 3376           10         8      1   0.00%   0.00%  0.00%   -    rpc.statd
 3386         7750    214146      0   0.00%   0.00%  0.00%   -    sysmgr
 3936           10         3      3   0.00%   0.00%  0.00%   -    xinetd
 3937           10         5      2   0.00%   0.00%  0.00%   -    tftpd
 3938        11170    126080      0   0.00%   0.01%  0.01%   -    syslogd
 3939          100        23      4   0.00%   0.00%  0.00%   -    sdwrapd
 3940          160        61      2   0.00%   0.00%  0.00%   -    pfm_dummy
 3941        10350    108328      0   0.00%   0.00%  0.00%   -    platform
 3953           20       975      0   0.00%   0.00%  0.00%   -    klogd
 3958          440     14661      0   0.00%   0.00%  0.00%   -    vshd
 3960          560     32744      0   0.00%   0.00%  0.00%   -    vpc_config_sync
 3961           50      4587      0   0.00%   0.00%  0.00%   -    smm
 3962          610     32453      0   0.00%   0.00%  0.00%   -    session-mgr
 3963         1250    103921      0   0.00%   0.00%  0.00%   -    psshelper
 3964          650     32181      0   0.00%   0.00%  0.00%   -    pixm
 3965           70    570391      0   0.00%   0.00%  0.00%   -    pdsd
 3966           80      1776      0   0.00%   0.00%  0.00%   -    lmgrd
 3967          550     20771      0   0.00%   0.00%  0.00%   -    licmgr
 3968          320      1764      0   0.00%   0.00%  0.00%   -    fs-daemon
 3969          340      9097      0   0.00%   0.00%  0.00%   -    feature-mgr
 3970          110        58      1   0.00%   0.00%  0.00%   -    confcheck
 3971          410     16996      0   0.00%   0.00%  0.00%   -    capability
 3972         1230    103345      0   0.00%   0.00%  0.00%   -    psshelper_gsvc
 3979          120      1745      0   0.00%   0.00%  0.00%   -    cisco
 3984         7790     11405      0   0.00%   0.00%  0.00%   -    clis
 3989          780      7615      0   0.00%   0.00%  0.00%   -    port-profile
 3996          730     34456      0   0.00%   0.00%  0.00%   -    xmlma
 3997          580     32875      0   0.00%   0.00%  0.00%   -    vmm
 3998          600     12976      0   0.00%   0.00%  0.00%   -    vman
 3999          670     32562      0   0.00%   0.00%  0.00%   -    vdc_mgr
 4000          720     51672      0   0.00%   0.00%  0.00%   -    ttyd
 4001          250    195221      0   0.19%   0.19%  0.19%   -    sysinfo
 4002         1170    103316      0   0.00%   0.00%  0.00%   -    sksd
 4004          210      2035      0   0.00%   0.00%  0.00%   -    res_mgr
 4005         1180    104386      0   0.00%   0.00%  0.00%   -    plugin
 4006          150      3489      0   0.00%   0.00%  0.00%   -    patch-installer
 4007          320     10856      0   0.00%   0.00%  0.00%   -    mvsh
 4008           10         5      2   0.00%   0.00%  0.00%   -    mping_server
 4009          660     32555      0   0.00%   0.00%  0.00%   -    module
 4012          250     10894      0   0.00%   0.00%  0.00%   -    evms
 4015          290      8149      0   0.00%   0.00%  0.00%   -    evmc
 4016          300      5188      0   0.00%   0.00%  0.00%   -    crdcfg_server
 4017          150        33      4   0.00%   0.00%  0.00%   -    core-dmon
 4018          590     32786      0   0.00%   0.00%  0.00%   -    cli_acl
 4020          570     12989      0   0.00%   0.00%  0.00%   -    ascii-cfg
 4021         1590    103394      0   0.19%   0.01%  0.00%   -    securityd
 4022         1240    103315      0   0.00%   0.00%  0.00%   -    cert_enroll
 4023         1390    104806      0   0.00%   0.00%  0.00%   -    aaa
 4025            0         1      0   0.00%   0.00%  0.00%   -    dhcpd
 4026           70      5837      0   0.00%   0.00%  0.00%   -    l3vm
 4027           80    108734      0   0.00%   0.00%  0.00%   -    urib
 4033         1370      2927      0   0.00%   0.00%  0.00%   -    aclmgr
 4037       101740   5470045      0   0.00%   0.08%  0.09%   -    ori_fwd
 4040       135060    105275      1   0.19%   0.12%  0.12%   -    port_client
