display interface brief
Brief information on interfaces in route mode:
Link: ADM - administratively down; Stby - standby
Protocol: (s) - spoofing
Interface            Link Protocol Primary IP        Description              
HGE1/0/6             UP   UP       --                
HGE1/0/7             UP   UP       --                
HGE1/0/8             DOWN DOWN     --                
HGE1/0/9             DOWN DOWN     --                
HGE1/0/10            DOWN DOWN     --                
HGE1/0/11            DOWN DOWN     --                
HGE1/0/12            DOWN DOWN     --                
HGE1/0/13            DOWN DOWN     --                
HGE1/0/14            DOWN DOWN     --                
HGE1/0/15            DOWN DOWN     --                
HGE1/0/16            DOWN DOWN     --                
HGE1/0/17            DOWN DOWN     --                
HGE1/0/18            DOWN DOWN     --                
HGE1/0/19            DOWN DOWN     --                
HGE1/0/20            DOWN DOWN     --                
HGE1/0/21            DOWN DOWN     --                
HGE1/0/22            DOWN DOWN     --                
HGE1/0/23            DOWN DOWN     --                
HGE1/0/24            DOWN DOWN     --                
HGE1/0/25            DOWN DOWN     --                
HGE1/0/26            DOWN DOWN     --                
HGE1/0/27            DOWN DOWN     --                
HGE1/0/28            DOWN DOWN     --                
HGE1/0/29            DOWN DOWN     --                
HGE1/0/30            DOWN DOWN     --                
HGE1/0/31            DOWN DOWN     --                
HGE1/0/32            DOWN DOWN     --                
HGE1/0/33            DOWN DOWN     --                
HGE1/0/34            DOWN DOWN     --                
HGE1/0/35            DOWN DOWN     --                
HGE1/0/36            DOWN DOWN     --                
HGE1/0/37            DOWN DOWN     --                
HGE1/0/38            DOWN DOWN     --                
HGE1/0/39            DOWN DOWN     --                
HGE1/0/40            DOWN DOWN     --                
HGE1/0/41            DOWN DOWN     --                
HGE1/0/42            DOWN DOWN     --                
HGE1/0/43            DOWN DOWN     --                
HGE1/0/44            DOWN DOWN     --                
HGE1/0/45            DOWN DOWN     --                
HGE1/0/46            DOWN DOWN     --                
HGE1/0/47            DOWN DOWN     --                
HGE1/0/48            DOWN DOWN     --                
HGE1/0/49            DOWN DOWN     --                
HGE1/0/50            DOWN DOWN     --                
HGE1/0/51            DOWN DOWN     --                
HGE1/0/52            DOWN DOWN     --                
HGE1/0/53            DOWN DOWN     --                
HGE1/0/54            DOWN DOWN     --                
HGE1/0/55            DOWN DOWN     --                
HGE1/0/56            DOWN DOWN     --                
HGE1/0/57            DOWN DOWN     --                
HGE1/0/58            DOWN DOWN     --                
HGE1/0/59            DOWN DOWN     --                
HGE1/0/60            DOWN DOWN     --                
HGE1/0/61            DOWN DOWN     --                
HGE1/0/62            DOWN DOWN     --                
HGE1/0/63            DOWN DOWN     --                
HGE1/0/64            DOWN DOWN     --                
HGE1/0/65            DOWN DOWN     --                
HGE1/0/66            DOWN DOWN     --                
HGE1/0/67            DOWN DOWN     --                
HGE1/0/68            DOWN DOWN     --                
HGE1/0/69            DOWN DOWN     --                
HGE1/0/70            DOWN DOWN     --                
HGE1/0/71            DOWN DOWN     --                
HGE1/0/72            DOWN DOWN     --                
HGE1/0/73            DOWN DOWN     --                
HGE1/0/74            DOWN DOWN     --                
HGE1/0/75            DOWN DOWN     --                
HGE1/0/76            DOWN DOWN     --                
HGE1/0/77            DOWN DOWN     --                
HGE1/0/78            DOWN DOWN     --                
HGE1/0/79            DOWN DOWN     --                
HGE1/0/80            DOWN DOWN     --                
HGE1/0/81            DOWN DOWN     --                
HGE1/0/82            DOWN DOWN     --                
HGE1/0/83            DOWN DOWN     --                
HGE1/0/84            DOWN DOWN     --                
HGE1/0/85            DOWN DOWN     --                
HGE1/0/86            DOWN DOWN     --                
HGE1/0/87            DOWN DOWN     --                
HGE1/0/88            DOWN DOWN     --                
HGE1/0/89            DOWN DOWN     --                
HGE1/0/90            DOWN DOWN     --                
HGE1/0/91            DOWN DOWN     --                
HGE1/0/92            DOWN DOWN     --                
HGE1/0/93            DOWN DOWN     --                
HGE1/0/94            DOWN DOWN     --                
HGE1/0/95            DOWN DOWN     --                
HGE1/0/96            DOWN DOWN     --                
HGE1/0/97            DOWN DOWN     --                
HGE1/0/98            DOWN DOWN     --                
HGE1/0/99            DOWN DOWN     --                
HGE1/0/100           DOWN DOWN     --                
HGE1/0/101           DOWN DOWN     --                
HGE1/0/102           DOWN DOWN     --                
HGE1/0/103           DOWN DOWN     --                
HGE1/0/104           DOWN DOWN     --                
HGE1/0/105           DOWN DOWN     --                
HGE1/0/106           DOWN DOWN     --                
HGE1/0/107           DOWN DOWN     --                
HGE1/0/108           DOWN DOWN     --                
HGE1/0/109           DOWN DOWN     --                
HGE1/0/110           DOWN DOWN     --                
HGE1/0/111           DOWN DOWN     --                
HGE1/0/112           DOWN DOWN     --                
HGE1/0/113           DOWN DOWN     --                
HGE1/0/114           DOWN DOWN     --                
HGE1/0/115           DOWN DOWN     --                
HGE1/0/116           DOWN DOWN     --                
HGE1/0/117           DOWN DOWN     --                
HGE1/0/118           DOWN DOWN     --                
HGE1/0/119           DOWN DOWN     --                
HGE1/0/120           DOWN DOWN     --                
HGE1/0/121           DOWN DOWN     --                
HGE1/0/122           DOWN DOWN     --                
HGE1/0/123           DOWN DOWN     --                
HGE1/0/124           DOWN DOWN     --                
HGE1/0/125           DOWN DOWN     --                
HGE1/0/126           DOWN DOWN     --                
HGE1/0/127           DOWN DOWN     --                
HGE1/0/128           DOWN DOWN     --                
HGE1/0/129           DOWN DOWN     --                
HGE1/0/130           DOWN DOWN     --                
HGE1/0/131           DOWN DOWN     --                
HGE1/0/132           DOWN DOWN     --                
HGE1/0/133           DOWN DOWN     --                
HGE1/0/134           DOWN DOWN     --                
HGE1/0/135           DOWN DOWN     --                
HGE1/0/136           DOWN DOWN     --                
HGE1/0/137           DOWN DOWN     --                
HGE1/0/138           DOWN DOWN     --                
HGE1/0/139           DOWN DOWN     --                
HGE1/0/140           DOWN DOWN     --                
HGE1/0/141           DOWN DOWN     --                
HGE1/0/142           DOWN DOWN     --                
HGE1/0/143           DOWN DOWN     --                
HGE1/0/144           DOWN DOWN     --                
HGE1/0/145           DOWN DOWN     --                
HGE1/0/146           DOWN DOWN     --                
HGE1/0/147           DOWN DOWN     --                
HGE1/0/148           DOWN DOWN     --                
HGE1/0/149           DOWN DOWN     --                
HGE1/0/150           DOWN DOWN     --                
HGE1/0/151           DOWN DOWN     --                
HGE1/0/152           DOWN DOWN     --                
HGE1/0/153           DOWN DOWN     --                
HGE1/0/154           DOWN DOWN     --                
HGE1/0/155           DOWN DOWN     --                
HGE1/0/156           DOWN DOWN     --                
HGE1/0/157           DOWN DOWN     --                
HGE1/0/158           DOWN DOWN     --                
HGE1/0/159           DOWN DOWN     --                
HGE1/0/160           DOWN DOWN     --                
HGE1/0/161           DOWN DOWN     --                
HGE1/0/162           DOWN DOWN     --                
HGE1/0/163           DOWN DOWN     --                
HGE1/0/164           DOWN DOWN     --                
