
OSPF Process 1 with Router ID 10.1.254.1
Link State Database

Area: 0.0.0.0
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    10.1.254.1      10.1.254.1      1774     72 80000175          100
 Router    10.1.254.2      10.1.254.2       264     72 80000172            1
 Router    10.1.254.3      10.1.254.3      1389     96 80000247            1
 Router    10.1.254.4      10.1.254.4       604     96 800002a2        65500
 Router    10.1.254.6      10.1.254.6       563     84 800000b8            1
 Sum-Net   10.1.10.0       10.1.254.1      1331     28 800000cb            1
 Sum-Net   10.1.10.0       10.1.254.2      1510     28 800000cb            1
 Sum-Net   10.1.10.254     10.1.254.1       420     28 800000cb            1
 Sum-Net   10.1.10.254     10.1.254.2       203     28 80000376            2
 Sum-Net   10.1.20.0       10.1.254.1      1669     28 800000cb            1
 Sum-Net   10.1.20.0       10.1.254.2       897     28 800000cb            1
 Sum-Net   10.1.20.254     10.1.254.1      1321     28 800000cb            1
 Sum-Net   10.1.20.254     10.1.254.2      1719     28 800001a4            2
 Sum-Net   10.1.30.0       10.1.254.1       800     28 800000cc            1
 Sum-Net   10.1.30.0       10.1.254.2       253     28 800000cc            1
 Sum-Net   10.1.30.254     10.1.254.1       733     28 800003f9            2
 Sum-Net   10.1.30.254     10.1.254.2      1146     28 800000cb            1
 Sum-Net   10.1.40.0       10.1.254.1      1061     28 800000cb            1
 Sum-Net   10.1.40.0       10.1.254.2      1696     28 800000cb            1
 Sum-Net   10.1.40.254     10.1.254.1       930     28 800003d2            2
 Sum-Net   10.1.40.254     10.1.254.2       835     28 800000cb            1
 Sum-Net   10.1.50.0       10.1.254.3      1388     28 80000133            2
 Sum-Net   10.1.50.0       10.1.254.4      1387     28 80000133        65501
 Sum-Net   10.1.60.0       10.1.254.3      1388     28 80000133            2
 Sum-Net   10.1.60.0       10.1.254.4      1387     28 80000133        65501
 Sum-Net   10.1.110.0      10.1.254.1       837     28 800000cb            1
 Sum-Net   10.1.110.0      10.1.254.2      1174     28 800000cc            1
 Sum-Net   10.1.110.254    10.1.254.1       430     28 800000cc            1
 Sum-Net   10.1.110.254    10.1.254.2      1707     28 800000cb            2
 Sum-Net   10.1.120.0      10.1.254.1        95     28 800000cc            1
 Sum-Net   10.1.120.0      10.1.254.2      1546     28 800000cb            1
 Sum-Net   10.1.120.254    10.1.254.1      1224     28 800000cc            1
 Sum-Net   10.1.120.254    10.1.254.2      1457     28 800000cb            2
 Sum-Net   10.1.200.24     10.1.254.3      1389     28 80000135            1
 Sum-Net   10.1.200.24     10.1.254.4      1387     28 80000134        65501
 Sum-Net   10.1.200.28     10.1.254.3      1388     28 80000133            2
 Sum-Net   10.1.200.28     10.1.254.4      1388     28 8000013a        65500

Area: 0.0.0.1
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    10.1.254.1      10.1.254.1       858     96 80000651            1
 Router    10.1.254.2      10.1.254.2       175     96 80000487            1
 Network   10.1.10.252     10.1.254.2       830     32 800000d0            0
 Network   10.1.20.252     10.1.254.2       730     32 800000d1            0
 Network   10.1.30.252     10.1.254.2      1051     32 800000d4            0
 Network   10.1.40.252     10.1.254.2      1294     32 800000d5            0
 Sum-Net   10.1.50.0       10.1.254.1         5     28 80000155          102
 Sum-Net   10.1.50.0       10.1.254.2       263     28 8000015b            3
 Sum-Net   10.1.60.0       10.1.254.1        33     28 80000150          102
 Sum-Net   10.1.60.0       10.1.254.2       108     28 80000156            3
 Sum-Net   10.1.110.0      10.1.254.1      1044     28 800000d6            1
 Sum-Net   10.1.110.0      10.1.254.2      1286     28 800000d3            1
 Sum-Net   10.1.110.254    10.1.254.1       503     28 800000d6            1
 Sum-Net   10.1.110.254    10.1.254.2       268     28 800000d3            2
 Sum-Net   10.1.120.0      10.1.254.1       819     28 800000d1            1
 Sum-Net   10.1.120.0      10.1.254.2       923     28 800000d5            1
 Sum-Net   10.1.120.254    10.1.254.1      1390     28 800000d1            1
 Sum-Net   10.1.120.254    10.1.254.2       702     28 800000d4            2
 Sum-Net   10.1.200.0      10.1.254.1      1456     28 800000d3          100
 Sum-Net   10.1.200.0      10.1.254.2       267     28 80000169            2
 Sum-Net   10.1.200.4      10.1.254.1       846     28 800000d5            1
 Sum-Net   10.1.200.4      10.1.254.2       379     28 80000170            3
 Sum-Net   10.1.200.8      10.1.254.1       545     28 8000016e          101
 Sum-Net   10.1.200.8      10.1.254.2       748     28 800000d2            1
 Sum-Net   10.1.200.12     10.1.254.1       380     28 8000016c          102
 Sum-Net   10.1.200.12     10.1.254.2      1557     28 800000d2            1
 Sum-Net   10.1.200.16     10.1.254.1       126     28 8000015c          101
 Sum-Net   10.1.200.16     10.1.254.2        75     28 8000015a            2
 Sum-Net   10.1.200.20     10.1.254.1       209     28 8000015d          102
 Sum-Net   10.1.200.20     10.1.254.2       557     28 80000157            3
 Sum-Net   10.1.200.24     10.1.254.1       165     28 80000182          101
 Sum-Net   10.1.200.24     10.1.254.2      1609     28 80000189            2
 Sum-Net   10.1.200.28     10.1.254.1       371     28 8000017a          102
 Sum-Net   10.1.200.28     10.1.254.2      1727     28 80000178            3
 Sum-Net   10.1.254.6      10.1.254.1       565     28 80000136          102
 Sum-Net   10.1.254.6      10.1.254.2       196     28 80000128            3
 Sum-Asbr  10.1.254.6      10.1.254.1       145     28 8000013d          101
 Sum-Asbr  10.1.254.6      10.1.254.2        62     28 80000127            2

Area: 0.0.0.2
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    10.1.254.1      10.1.254.1       832     72 800000d0            1
 Router    10.1.254.2      10.1.254.2      1702     48 800000d1            1
 Network   10.1.110.252    10.1.254.2      1805     32 800000cb            0
 Network   10.1.120.252    10.1.254.2      1659     32 800000cb            0
 Sum-Net   10.1.10.0       10.1.254.1      1626     28 800000cb            1
 Sum-Net   10.1.10.0       10.1.254.2       885     28 800000cb            1
 Sum-Net   10.1.10.254     10.1.254.1       270     28 800000cd            1
 Sum-Net   10.1.10.254     10.1.254.2      1573     28 80000377            2
 Sum-Net   10.1.20.0       10.1.254.1       811     28 800000cb            1
 Sum-Net   10.1.20.0       10.1.254.2      1619     28 800000cb            1
 Sum-Net   10.1.20.254     10.1.254.1       808     28 800000cd            1
 Sum-Net   10.1.20.254     10.1.254.2       259     28 800001a8            2
 Sum-Net   10.1.30.0       10.1.254.1      1215     28 800000cb            1
 Sum-Net   10.1.30.0       10.1.254.2      1585     28 800000cb            1
 Sum-Net   10.1.30.254     10.1.254.1      1006     28 800003f8            2
 Sum-Net   10.1.30.254     10.1.254.2       507     28 800000cc            1
 Sum-Net   10.1.40.0       10.1.254.1      1061     28 800000cb            1
 Sum-Net   10.1.40.0       10.1.254.2       175     28 800000cc            1
 Sum-Net   10.1.40.254     10.1.254.1      1378     28 800003d1            2
 Sum-Net   10.1.40.254     10.1.254.2       827     28 800000cb            1
 Sum-Net   10.1.50.0       10.1.254.1       209     28 80000038          102
 Sum-Net   10.1.50.0       10.1.254.2       435     28 80000109            3
 Sum-Net   10.1.60.0       10.1.254.1        36     28 80000039          102
 Sum-Net   10.1.60.0       10.1.254.2       395     28 80000105            3
 Sum-Net   10.1.200.0      10.1.254.1      1673     28 800000cd          100
 Sum-Net   10.1.200.0      10.1.254.2       123     28 80000111            2
 Sum-Net   10.1.200.4      10.1.254.1       293     28 800000cf            1
 Sum-Net   10.1.200.4      10.1.254.2       338     28 8000011a            3
 Sum-Net   10.1.200.8      10.1.254.1       334     28 80000034          101
 Sum-Net   10.1.200.8      10.1.254.2      1780     28 800000cb            1
 Sum-Net   10.1.200.12     10.1.254.1       165     28 80000032          102
 Sum-Net   10.1.200.12     10.1.254.2       983     28 800000cb            1
 Sum-Net   10.1.200.16     10.1.254.1       776     28 8000002f          101
 Sum-Net   10.1.200.16     10.1.254.2        93     28 80000107            2
 Sum-Net   10.1.200.20     10.1.254.1       540     28 8000002f          102
 Sum-Net   10.1.200.20     10.1.254.2       277     28 80000106            3
 Sum-Net   10.1.200.24     10.1.254.1       425     28 80000037          101
 Sum-Net   10.1.200.24     10.1.254.2      1805     28 8000012f            2
 Sum-Net   10.1.200.28     10.1.254.1      1590     28 80000035          102
 Sum-Net   10.1.200.28     10.1.254.2       336     28 80000126            3
 Sum-Net   10.1.254.6      10.1.254.1       230     28 8000002f          102
 Sum-Net   10.1.254.6      10.1.254.2       326     28 800000dd            3
 Sum-Asbr  10.1.254.6      10.1.254.1       158     28 8000002f          101
 Sum-Asbr  10.1.254.6      10.1.254.2        61     28 800000de            2

AS External Database
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 External  0.0.0.0         10.1.254.6      1581     36 800000b5            1
 External  10.2.10.0       10.1.254.6      1329     36 800000b5            1
 External  10.2.20.0       10.1.254.6      1329     36 800000b5            1
 External  10.2.30.0       10.1.254.6      1329     36 800000b5            1
 External  10.3.10.0       10.1.254.6      1581     36 800000b5            1
 External  10.3.20.0       10.1.254.6      1581     36 800000b5            1
 External  10.3.30.0       10.1.254.6      1581     36 800000b5            1
