2026-06-15 11:00:03.990 
CPU Usage Stat. Cycle: 10 (Second)
CPU Usage            :   4.8%  Max:  52.7% 
CPU utilization for ten seconds:   4.8% : one minute:   4.7% : five minutes:   4.9% 

PID   ProcessName         CPU       Runtime     State
1844  fpath.out           2.9%      1987269     S
1634  vrp                 1.1%      748178      S
1651  vrpio_s             0.2%      167731      S
1846  slb_proxy.out       0.1%      55396       S
1845  nlog.out            0.1%      25859       S
1860  nge.out             0.0%      51490       S
1858  restful.out         0.0%      27017       S
1854  am.out              0.0%      21975       S
1856  auth.out            0.0%      14840       S
1853  ike.out             0.0%      12228       S
1666  procmgmt.out        0.0%      10746       S
1851  mail_send.out       0.0%      4528        S
1848  svn.out             0.0%      4234        S
1863  hc_https_client.out  0.0%      2328        S
1861  netopeer-server.out  0.0%      1089        S
1859  disk_smart.out      0.0%      563         S
1862  svnupgrade.out      0.0%      392         S
1855  umdb.out            0.0%      381         S
1852  tcpproxy.out        0.0%      2           S
1847  mail_proxy.out      0.0%      1           S
1850  aapt.out            0.0%      1           S
2032  sshd.out            0.0%      1           S
1849  rbl.out             0.0%      0           S
