display mac-address
MAC Address      VLAN ID    State            Port/Nickname            Aging
0000-5e00-0102   20         Learned          HGE1/0/1                 Y
12bf-da3e-45e1   20         Learned          HGE1/0/3                 Y
380b-0011-1200   20         Learned          HGE1/0/1                 Y
3810-0011-1200   20         Learned          HGE1/0/1                 Y
f668-248a-88fd   20         Learned          HGE1/0/5                 Y
0000-5e00-0105   110        Learned          HGE1/0/1                 Y
380b-0011-1200   110        Learned          HGE1/0/1                 Y
3810-0011-1200   110        Learned          HGE1/0/1                 Y
0000-5e00-0106   120        Learned          HGE1/0/1                 Y
380b-0011-1200   120        Learned          HGE1/0/1                 Y
3810-0011-1200   120        Learned          HGE1/0/1                 Y
faf9-9e24-0e6f   120        Learned          HGE1/0/1                 Y
