Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  10.1.200.17             6   0c29.1dc8.0000  ARPA   Port-channel1
Internet  10.1.200.18             -   001e.bdb0.38c0  ARPA   Port-channel1
Internet  10.1.200.21             6   0ca5.e9cc.0000  ARPA   Port-channel2
Internet  10.1.200.22             -   001e.bdb0.38c1  ARPA   Port-channel2
Internet  10.10.100.1             0   3812.1111.0200  ARPA   GigabitEthernet4
Internet  10.10.100.2             -   0c9c.e15b.0003  ARPA   GigabitEthernet4
Internet  10.10.100.13            0   3812.1111.0201  ARPA   GigabitEthernet5
Internet  10.10.100.14            -   0c9c.e15b.0004  ARPA   GigabitEthernet5
Internet  20.0.0.2                -   0c9c.e15b.0016  ARPA   GigabitEthernet23
Internet  100.100.100.1           -   0c9c.e15b.0000  ARPA   GigabitEthernet1
Internet  100.100.100.201         -   0c9c.e15b.0000  ARPA   GigabitEthernet1
Internet  100.100.100.253         -   0c9c.e15b.0000  ARPA   GigabitEthernet1
Internet  100.100.100.254         2   3815.0011.1200  ARPA   GigabitEthernet1
