2026-06-16 05:53:13.710
CPU Usage Stat. Cycle: 10 (Second)
CPU Usage            :   4.6%  Max:  52.6%
CPU utilization for ten seconds:   4.6% : one minute:   4.5% : five minutes:   4.5%

PID   ProcessName         CPU       Runtime     State
1901  fpath.out           2.9%      341712      S
1634  vrp                 1.2%      133659      S
1651  vrpio_s             0.2%      31403       S
1903  slb_proxy.out       0.1%      10555       S
1917  nge.out             0.0%      22522       S
1913  auth.out            0.0%      2411        S
1910  ike.out             0.0%      2084        S
1902  nlog.out            0.0%      4697        S
1915  restful.out         0.0%      4424        S
1911  am.out              0.0%      3246        S
1666  procmgmt.out        0.0%      1957        S
1908  mail_send.out       0.0%      740         S
1905  svn.out             0.0%      684         S
1920  hc_https_client.out  0.0%      384         S
1918  netopeer-server.out  0.0%      182         S
1916  disk_smart.out      0.0%      98          S
1912  umdb.out            0.0%      70          S
1919  svnupgrade.out      0.0%      66          S
1907  aapt.out            0.0%      3           S
1904  mail_proxy.out      0.0%      1           S
1906  rbl.out             0.0%      1           S
1909  tcpproxy.out        0.0%      1           S
2074  sshd.out            0.0%      1           S
