2026-06-16 11:45:42.370

	 OSPF Process 1 with Router ID 10.1.254.3
		 Link State Database

		         Area: 0.0.0.0
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 Router    10.1.254.3      10.1.254.3         737  96    80000039       1
 Router    10.1.254.2      10.1.254.2         741  72    80000032       1
 Router    10.1.254.1      10.1.254.1         753  72    80000032       1
 Router    10.1.254.6      10.1.254.6        1212  84    8000002D       1
 Router    10.1.254.4      10.1.254.4         738  96    80000038    65500
 Sum-Net   10.1.200.28     10.1.254.4         738  28    80000031    65500
 Sum-Net   10.1.200.28     10.1.254.3         737  28    80000031       2
 Sum-Net   10.1.200.24     10.1.254.3         737  28    80000032       1
 Sum-Net   10.1.200.24     10.1.254.4         738  28    80000031    65501
 Sum-Net   10.1.10.0       10.1.254.1         652  28    80000030       1
 Sum-Net   10.1.10.0       10.1.254.2         683  28    80000030       1
 Sum-Net   10.1.10.254     10.1.254.1         843  28    80000031       2
 Sum-Net   10.1.10.254     10.1.254.2         816  28    80000031       1
 Sum-Net   10.1.20.0       10.1.254.1         606  28    80000030       1
 Sum-Net   10.1.20.0       10.1.254.2         598  28    80000030       1
 Sum-Net   10.1.20.254     10.1.254.1         800  28    80000030       2
 Sum-Net   10.1.20.254     10.1.254.2         658  28    80000031       1
 Sum-Net   10.1.60.0       10.1.254.4         738  28    80000031    65501
 Sum-Net   10.1.60.0       10.1.254.3         737  28    80000031       2
 Sum-Net   10.1.110.0      10.1.254.1         462  28    80000030       1
 Sum-Net   10.1.110.0      10.1.254.2        1173  28    80000030       1
 Sum-Net   10.1.110.254    10.1.254.1         677  28    80000030       2
 Sum-Net   10.1.110.254    10.1.254.2         894  28    80000031       1
 Sum-Net   10.1.120.0      10.1.254.1         737  28    80000030       1
 Sum-Net   10.1.120.0      10.1.254.2         876  28    80000030       1
 Sum-Net   10.1.120.254    10.1.254.1         938  28    80000031       2
 Sum-Net   10.1.120.254    10.1.254.2         805  28    80000031       1
 Sum-Net   10.1.30.0       10.1.254.1         633  28    80000030       1
 Sum-Net   10.1.30.0       10.1.254.2         795  28    80000030       1
 Sum-Net   10.1.30.254     10.1.254.1         241  28    80000031       1
 Sum-Net   10.1.30.254     10.1.254.2         316  28    80000030       2
 Sum-Net   10.1.50.0       10.1.254.4         738  28    80000031    65501
 Sum-Net   10.1.50.0       10.1.254.3         737  28    80000031       2
 Sum-Net   10.1.40.0       10.1.254.1         872  28    80000030       1
 Sum-Net   10.1.40.0       10.1.254.2         603  28    80000030       1
 Sum-Net   10.1.40.254     10.1.254.1         401  28    80000030       1
 Sum-Net   10.1.40.254     10.1.254.2         216  28    80000031       2

		         Area: 0.0.0.3
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 Router    10.1.254.3      10.1.254.3         737  48    80000035       1
 Router    10.1.254.5      10.1.254.5         235  96    80000033       1
 Router    10.1.254.4      10.1.254.4         738  48    80000034    65500
 Sum-Net   10.1.254.6      10.1.254.3         737  28    80000030       2
 Sum-Net   10.1.254.6      10.1.254.4         738  28    80000030    65501
 Sum-Net   10.1.200.12     10.1.254.4         738  28    80000031    65500
 Sum-Net   10.1.200.12     10.1.254.3         737  28    80000031       2
 Sum-Net   10.1.200.8      10.1.254.3         737  28    80000032       1
 Sum-Net   10.1.200.8      10.1.254.4         738  28    80000031    65501
 Sum-Net   10.1.200.4      10.1.254.4         738  28    80000031    65500
 Sum-Net   10.1.200.4      10.1.254.3         737  28    80000032       2
 Sum-Net   10.1.200.0      10.1.254.3         737  28    80000032       1
 Sum-Net   10.1.200.0      10.1.254.4         738  28    80000031    65501
 Sum-Net   10.1.200.20     10.1.254.4         738  28    80000031    65500
 Sum-Net   10.1.200.20     10.1.254.3         737  28    80000031       2
 Sum-Net   10.1.200.16     10.1.254.3         737  28    80000030       1
 Sum-Net   10.1.200.16     10.1.254.4         738  28    80000031    65501
 Sum-Net   10.1.10.0       10.1.254.4         738  28    80000031    65501
 Sum-Net   10.1.10.0       10.1.254.3         737  28    80000031       2
 Sum-Net   10.1.10.254     10.1.254.4         738  28    80000031    65501
 Sum-Net   10.1.10.254     10.1.254.3         632  28    80000034       2
 Sum-Net   10.1.20.0       10.1.254.4         738  28    80000031    65501
 Sum-Net   10.1.20.0       10.1.254.3         737  28    80000031       2
 Sum-Net   10.1.20.254     10.1.254.4         738  28    80000031    65501
 Sum-Net   10.1.20.254     10.1.254.3         632  28    80000034       2
 Sum-Net   10.1.110.0      10.1.254.4         738  28    80000031    65501
 Sum-Net   10.1.110.0      10.1.254.3         737  28    80000031       2
 Sum-Net   10.1.110.254    10.1.254.4         738  28    80000031    65501
 Sum-Net   10.1.110.254    10.1.254.3         632  28    80000034       2
 Sum-Net   10.1.120.0      10.1.254.4         738  28    80000031    65501
 Sum-Net   10.1.120.0      10.1.254.3         737  28    80000031       2
 Sum-Net   10.1.120.254    10.1.254.4         738  28    80000031    65501
 Sum-Net   10.1.120.254    10.1.254.3         632  28    80000034       2
 Sum-Net   10.1.30.0       10.1.254.4         738  28    80000031    65501
 Sum-Net   10.1.30.0       10.1.254.3         737  28    80000031       2
 Sum-Net   10.1.30.254     10.1.254.4         738  28    80000031    65501
 Sum-Net   10.1.30.254     10.1.254.3         737  28    80000031       2
 Sum-Net   10.1.40.0       10.1.254.4         738  28    80000031    65501
 Sum-Net   10.1.40.0       10.1.254.3         737  28    80000031       2
 Sum-Net   10.1.40.254     10.1.254.4         738  28    80000031    65501
 Sum-Net   10.1.40.254     10.1.254.3         737  28    80000031       2
 Sum-Asbr  10.1.254.6      10.1.254.3         737  28    80000030       1
 Sum-Asbr  10.1.254.6      10.1.254.4         738  28    80000030    65500


		 AS External Database
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
