Logging buffer configuration and contents : enabled
Allowed max buffer size : 10240
Actual buffer size : 512
Channel number : 4 , Channel name : logbuffer
Dropped messages : 0
Overwritten messages : 0
Current messages : 71

Jun  2 2026 12:25:27 BoardLeaf2 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a50460;Neighbor information of the interface was changed. (Interface=GE1/0/5, Action=added, Added=1, Deleted=0, RemoteInterfaceName=GigabitEthernet1/0/3, RemoteDeviceManageAddress=20.0.0.2)
Jun  2 2026 12:25:27 BoardLeaf2 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50460;Neighbor information of the interface was changed. (NeighborIndex=1, Action=added, Interface=GE1/0/5, RemoteChassisType=macAddress, RemoteChassisId=0cac-1485-0000, RemotePortIdType=interfaceName, RemotePortId=GigabitEthernet1/0/3, RemoteSystemName=FW1, RemoteSystemDescription=FW1, Huawei Versatile Routing Platform Software, Software Version : USG6000V2 V500R005C00SPC100 (VRP (R) Software, Version 5.170), Copyright (C) 2014-2018 Huawei Technologies Co., Ltd., RemoteSystemCapabilitySupported=router, RemoteSystemCapabilityEnabled=router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=20.0.0.2)
Jun  2 2026 12:25:27 BoardLeaf2 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50460;LLDP neighbor information was changed. (Added=1, Deleted=0, Dropped=0, Aged=0)
Jun  2 2026 12:24:42 BoardLeaf2 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=vpn1, ProcessID=0, ProtocolID=BGP, SubProtocolID=IBGP, ExitIf=-, Nexthop=1.1.5.1, Neighbour=1.1.1.1, Preference=255, Metric=0, IndirectID=16777489)
Jun  2 2026 12:24:42 BoardLeaf2 %%01BGP/2/bgpBackwardTransition_clear(l):CID=0x80130456-alarmID=0x0879000f-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=1.1.1.1, BgpPeerLastError=0 , BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=)
Jun  2 2026 12:24:42 BoardLeaf2 %%01BGP/2/PEER_ESTABLISHED_NOTIFICATION(l):CID=0x80130456;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=1.1.1.1, BgpPeerLastError=0, BgpPeerState=6,VpnInstance=_public_)
Jun  2 2026 12:24:42 BoardLeaf2 %%01NVO3/4/NVO3_TUNNEL_UP(l):CID=0x81a10452;The status of the vxlan tunnel changed to up. (SourceIpAddress=1.1.5.2, DestinationIpAddress=1.1.2.2, TunnelStatus=UP) 
Jun  2 2026 12:24:42 BoardLeaf2 %%01NVO3/4/NVO3_TUNNEL_DOWN(l):CID=0x81a10452;The status of the vxlan tunnel changed to down. (SourceIpAddress=1.1.5.2, DestinationIpAddress=1.1.2.2, TunnelStatus=DOWN) 
Jun  2 2026 12:24:41 BoardLeaf2 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=vpn6, ProcessID=0, ProtocolID=BGP, SubProtocolID=IBGP, ExitIf=-, Nexthop=1.1.5.1, Neighbour=1.1.1.2, Preference=255, Metric=0, IndirectID=16777491)
Jun  2 2026 12:24:41 BoardLeaf2 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=vpn4, ProcessID=0, ProtocolID=BGP, SubProtocolID=IBGP, ExitIf=-, Nexthop=1.1.5.1, Neighbour=1.1.1.2, Preference=255, Metric=0, IndirectID=16777488)
Jun  2 2026 12:24:41 BoardLeaf2 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=vpn3, ProcessID=0, ProtocolID=BGP, SubProtocolID=IBGP, ExitIf=-, Nexthop=1.1.5.1, Neighbour=1.1.1.2, Preference=255, Metric=0, IndirectID=16777487)
