
OSPF Process 1 with Router ID 1.1.5.2
Link State Database

Area: 0.0.0.0
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    1.1.1.1         1.1.1.1          914     84 8000002e            1
 Router    1.1.1.2         1.1.1.2          970     84 8000002d            1
 Router    1.1.2.1         1.1.2.1         1227     60 8000002c            1
 Router    1.1.2.2         1.1.2.2         1018     60 8000002c            1
 Router    1.1.5.1         1.1.5.1          703     48 8000002b            1
 Router    1.1.5.2         1.1.5.2          954     60 8000002c            1
 Network   192.168.1.2     1.1.5.1         1265     32 8000002a            0
 Network   192.168.1.6     1.1.5.2          712     32 8000002a            0
 Network   192.168.1.14    1.1.5.2         1110     32 8000002a            0
 Network   192.168.2.2     1.1.2.1         1296     32 8000002a            0
 Network   192.168.2.5     1.1.1.1         1344     32 8000002a            0
 Network   192.168.2.10    1.1.2.1         1180     32 8000002a            0
 Network   192.168.2.13    1.1.1.2          764     32 8000002a            0
