2026-06-03 09:14:06.680 
CPU Usage Stat. Cycle: 10 (Second)
CPU Usage            :   4.0%  Max:  51.8% 
CPU utilization for ten seconds:   4.0% : one minute:   4.1% : five minutes:   4.1% 

PID   ProcessName         CPU       Runtime     State
1869  fpath.out           2.7%      403865      S
1634  vrp                 0.9%      150698      S
1651  vrpio_s             0.2%      33153       S
1871  slb_proxy.out       0.0%      10873       S
1870  nlog.out            0.0%      4397        S
1885  nge.out             0.0%      22616       S
1883  restful.out         0.0%      5199        S
1878  ike.out             0.0%      4715        S
1879  am.out              0.0%      3330        S
1666  procmgmt.out        0.0%      2320        S
1881  auth.out            0.0%      2311        S
1876  mail_send.out       0.0%      838         S
1873  svn.out             0.0%      662         S
1888  hc_https_client.out  0.0%      433         S
1886  netopeer-server.out  0.0%      207         S
1884  disk_smart.out      0.0%      116         S
1887  svnupgrade.out      0.0%      80          S
1880  umdb.out            0.0%      78          S
1872  mail_proxy.out      0.0%      1           S
1874  rbl.out             0.0%      1           S
1875  aapt.out            0.0%      1           S
1877  tcpproxy.out        0.0%      1           S
2009  sshd.out            0.0%      1           S
