Logging buffer configuration and contents : enabled
Allowed max buffer size : 10240
Actual buffer size : 512
Channel number : 4 , Channel name : logbuffer
Dropped messages : 0
Overwritten messages : 0
Current messages : 55

Jun  2 2026 12:50:35 PJGFA-SL-01 %%01NVO3/4/NVO3_TUNNEL_DEL(l):CID=0x81a10452;The IPv4 VXLAN tunnel was deleted. (SourceIpAddress=2.1.2.1, DestinationIpAddress=2.1.5.2)
Jun  2 2026 12:48:42 PJGFA-SL-01 %%01NVO3/4/NVO3_TUNNEL_UP(l):CID=0x81a10452;The status of the vxlan tunnel changed to up. (SourceIpAddress=2.1.2.1, DestinationIpAddress=2.1.2.2, TunnelStatus=UP) 
Jun  2 2026 12:48:41 PJGFA-SL-01 %%01NVO3/2/IPv4VxlanTunnelDown_clear(l):CID=0x81a10452-alarmID=0x0a112005-clearType=service_resume;The IPv4 vxlan tunnel status changes. (SourceIpAddress=2.1.2.1, DestinationIpAddress=2.1.2.2, TunnelStatus=UP)
Jun  2 2026 12:48:41 PJGFA-SL-01 %%01NVO3/4/NVO3_TUNNEL_DOWN(l):CID=0x81a10452;The status of the vxlan tunnel changed to down. (SourceIpAddress=2.1.2.1, DestinationIpAddress=2.1.2.2, TunnelStatus=DOWN) 
Jun  2 2026 12:48:36 PJGFA-SL-01 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=vpn5, ProcessID=0, ProtocolID=BGP, SubProtocolID=IBGP, ExitIf=-, Nexthop=2.1.5.1, Neighbour=2.1.1.2, Preference=255, Metric=0, IndirectID=16777464)
Jun  2 2026 12:48:36 PJGFA-SL-01 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=vpn3, ProcessID=0, ProtocolID=BGP, SubProtocolID=IBGP, ExitIf=-, Nexthop=2.1.5.1, Neighbour=2.1.1.2, Preference=255, Metric=0, IndirectID=16777463)
Jun  2 2026 12:48:36 PJGFA-SL-01 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=vpn4, ProcessID=0, ProtocolID=BGP, SubProtocolID=IBGP, ExitIf=-, Nexthop=2.1.5.1, Neighbour=2.1.1.2, Preference=255, Metric=0, IndirectID=16777462)
Jun  2 2026 12:48:36 PJGFA-SL-01 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=vpn2, ProcessID=0, ProtocolID=BGP, SubProtocolID=IBGP, ExitIf=-, Nexthop=2.1.5.1, Neighbour=2.1.1.2, Preference=255, Metric=0, IndirectID=16777461)
Jun  2 2026 12:48:36 PJGFA-SL-01 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=vpn1, ProcessID=0, ProtocolID=BGP, SubProtocolID=IBGP, ExitIf=-, Nexthop=2.1.5.1, Neighbour=2.1.1.2, Preference=255, Metric=0, IndirectID=16777460)
Jun  2 2026 12:48:36 PJGFA-SL-01 %%01NVO3/4/NVO3_TUNNEL_UP(l):CID=0x81a10452;The status of the vxlan tunnel changed to up. (SourceIpAddress=2.1.2.1, DestinationIpAddress=2.1.5.1, TunnelStatus=UP) 
Jun  2 2026 12:48:35 PJGFA-SL-01 %%01NVO3/2/IPv4VxlanTunnelDown_clear(l):CID=0x81a10452-alarmID=0x0a112005-clearType=service_resume;The IPv4 vxlan tunnel status changes. (SourceIpAddress=2.1.2.1, DestinationIpAddress=2.1.5.1, TunnelStatus=UP)
