Number of vxlan vni : 9
VNI            BD-ID            State
---------------------------------------
10             10               up          
20             20               up          
30             30               up          
40             40               up          
50             50               up          
60             60               up          
101            101              up          
103            103              up          
500            500              up          
