CPU utilization statistics at 2026-06-04 08:08:26 548 ms
System CPU Using Percentage :  14%
CPU utilization for five seconds: 16%, one minute: 15%, five minutes: 13%.
Max CPU Usage :                18%
Max CPU Usage Stat. Time : 2026-06-04 01:34:51 162 ms
State: Non-overload
Overload threshold:  90%, Overload clear threshold:  75%, Duration:  480s
---------------------------
ServiceName  UseRate
---------------------------
SYSTEM           14%
AAA               0%
ARP               0%
CMF               0%
DEVICE            0%
EUM               0%
FEA               0%
FEC               0%
FIBRESM           0%
IFM               0%
IP STACK          0%
LLDP              0%
LOCAL PKT         0%
MSTP              0%
ND                0%
OAM               0%
PNP               0%
RGM               0%
RM                0%
SLA               0%
SMLK              0%
SVRO              0%
TNLM              0%
TUNNEL            0%
VLAN              0%
---------------------------
CPU Usage Details
----------------------------------------------------------------
CPU     Current  FiveSec   OneMin  FiveMin  Max MaxTime         
----------------------------------------------------------------
cpu0        99%     100%     100%     100%  99% 2026-06-04 05:44:17
cpu1        25%      26%      26%      26%  99% 2026-06-04 01:34:57
cpu2        13%      14%      13%      11%  99% 2026-06-04 05:31:57
cpu3        13%      14%      10%       9%  99% 2026-06-04 02:17:57
cpu4         6%       7%       7%       8%  99% 2026-06-04 02:02:17
cpu5         9%      11%      10%       8%  99% 2026-06-04 03:01:37
cpu6         9%      11%      10%       8%  99% 2026-06-04 03:04:07
cpu7        10%      12%       9%       8%  20% 2026-06-04 05:42:47
cpu8         9%      11%      10%       8%  25% 2026-06-04 05:42:37
cpu9         9%      11%       9%       8%  17% 2026-06-04 05:42:47
cpu10       10%      12%       9%       8%  97% 2026-06-04 05:43:37
cpu11        9%      10%      10%      12%  72% 2026-06-04 05:36:27
cpu12       10%      12%       9%       8%  99% 2026-06-04 01:52:37
cpu13       10%      11%      10%       9%  99% 2026-06-04 01:54:27
cpu14       30%      13%       9%      11%  99% 2026-06-04 03:16:37
cpu15        9%      10%       8%       8%  99% 2026-06-04 01:35:47
cpu16        9%      11%       9%       8%  99% 2026-06-04 01:55:47
cpu17        9%      10%       9%       8%  99% 2026-06-04 02:24:27
cpu18        9%      11%       9%       8%  99% 2026-06-04 01:56:47
cpu19        8%      10%      10%      13%  99% 2026-06-04 02:27:07
cpu20       52%      37%      13%      16%  99% 2026-06-04 02:22:57
cpu21        6%       9%       8%      18%  99% 2026-06-04 03:11:37
cpu22        6%       9%       8%       6%  99% 2026-06-04 01:53:37
cpu23        5%       7%       6%       4%  99% 2026-06-04 01:51:17
cpu24        7%      10%       9%       6%  99% 2026-06-04 04:50:47
cpu25        4%       4%       1%       4%  99% 2026-06-04 02:28:47
cpu26        2%       6%       7%       7%  99% 2026-06-04 02:06:37
