2026-06-04 08:36:17.290 

	 OSPF Process 100 with Router ID 2.1.3.1
		 Link State Database 

		         Area: 0.0.0.0
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 Router    30.0.0.1        30.0.0.1           196  36    8000000F       1
 Router    3.3.3.3         3.3.3.3           1617  60    8000000F       1
 Router    3.3.3.2         3.3.3.2            215  60    80000010       1
 Router    3.3.3.1         3.3.3.1            939  144   80000013       1
 Router    3.3.3.6         3.3.3.6           1596  96    80000010       1
 Router    3.3.3.5         3.3.3.5           1325  60    8000000F       1
 Router    3.3.3.4         3.3.3.4           1669  60    8000000F       1
 Router    2.1.3.1         2.1.3.1           1256  36    8000000F       1
 Network   30.0.0.1        30.0.0.1           138  32    8000000E       0
 Network   8.6.6.1         3.3.3.6           1690  32    8000000D       0
 Network   8.6.12.1        3.3.3.1             51  32    8000000E       0
 Network   8.6.24.4        3.3.3.4             34  32    8000000E       0
 Network   8.6.46.6        3.3.3.6           1590  32    8000000D       0
 Network   8.6.56.6        3.3.3.6            371  32    8000000E       0
 Network   8.6.13.1        3.3.3.1            398  32    8000000E       0
 Network   8.6.35.5        3.3.3.5           1657  32    8000000D       0
 

		 AS External Database
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 External  20.1.1.0        2.1.3.1           1263  36    8000000D       1
 External  20.1.4.0        2.1.3.1           1263  36    8000000D       1
 External  20.1.5.0        2.1.3.1           1263  36    8000000D       1
 External  20.1.2.0        2.1.3.1           1263  36    8000000D       1
 External  20.1.3.0        2.1.3.1           1263  36    8000000D       1
 External  10.1.103.0      30.0.0.1           129  36    8000000E       1
 External  10.1.101.0      30.0.0.1           116  36    8000000E       1
 External  1.1.1.0         30.0.0.1            57  36    8000000E       1
 
