
OSPF Process 1 with Router ID 2.1.1.1
Link State Database

Area: 0.0.0.2
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    2.1.1.1         2.1.1.1         1692     84 80000011            1
 Router    2.1.1.2         2.1.1.2         1662     84 80000011            1
 Router    2.1.2.1         2.1.2.1         1508     60 8000000f            1
 Router    2.1.2.2         2.1.2.2           69     60 80000010            1
 Router    2.1.5.1         2.1.5.1         1770     84 80000011            1
 Router    2.1.5.2         2.1.5.2         1381     60 8000000f            1
 Network   182.158.1.2     2.1.5.1         1282     32 8000000d            0
 Network   182.158.1.5     2.1.1.1           76     32 8000000e            0
 Network   182.158.1.10    2.1.5.1           20     32 8000000e            0
 Network   182.158.1.13    2.1.1.2          105     32 8000000e            0
 Network   182.158.2.1     2.1.1.1         1667     32 8000000d            0
 Network   182.158.2.5     2.1.1.1           59     32 8000000e            0
 Network   182.158.2.9     2.1.1.2         1845     32 8000000d            0
 Network   182.158.2.13    2.1.1.2         1633     32 8000000d            0
