
OSPF Process 1 with Router ID 2.1.2.1

 Routing for Network
 ------------------------------------------------------------------------------
 Destination            Cost Type       Next-Hop        AdvRouter       Area           
 2.1.1.1/32                1 Stub       182.158.2.1     2.1.1.1         0.0.0.2        
 2.1.1.2/32                1 Stub       182.158.2.9     2.1.1.2         0.0.0.2        
 2.1.2.1/32                0 Direct     2.1.2.1         2.1.2.1         0.0.0.2        
 2.1.2.2/32                2 Stub       182.158.2.9     2.1.2.2         0.0.0.2        
 2.1.2.2/32                2 Stub       182.158.2.1     2.1.2.2         0.0.0.2        
 2.1.5.1/32                2 Stub       182.158.2.9     2.1.5.1         0.0.0.2        
 2.1.5.1/32                2 Stub       182.158.2.1     2.1.5.1         0.0.0.2        
 2.1.5.2/32                2 Stub       182.158.2.9     2.1.5.2         0.0.0.2        
 2.1.5.2/32                2 Stub       182.158.2.1     2.1.5.2         0.0.0.2        
 20.3.1.0/24               3 Stub       182.158.2.9     2.1.5.1         0.0.0.2        
 20.3.1.0/24               3 Stub       182.158.2.1     2.1.5.1         0.0.0.2        
 20.3.1.1/32               3 Stub       182.158.2.9     2.1.5.1         0.0.0.2        
 20.3.1.1/32               3 Stub       182.158.2.1     2.1.5.1         0.0.0.2        
 182.158.1.0/30            2 Transit    182.158.2.1     2.1.5.1         0.0.0.2        
 182.158.1.4/30            2 Transit    182.158.2.1     2.1.1.1         0.0.0.2        
 182.158.1.8/30            2 Transit    182.158.2.9     2.1.5.1         0.0.0.2        
 182.158.1.12/30           2 Transit    182.158.2.9     2.1.1.2         0.0.0.2        
 182.158.2.0/30            1 Direct     182.158.2.2     2.1.2.1         0.0.0.2        
 182.158.2.4/30            2 Transit    182.158.2.1     2.1.1.1         0.0.0.2        
 182.158.2.8/30            1 Direct     182.158.2.10    2.1.2.1         0.0.0.2        
 182.158.2.12/30           2 Transit    182.158.2.9     2.1.1.2         0.0.0.2        

 Total Nets: 16
 Intra Area: 16  Inter Area: 0  ASE: 0  NSSA: 0
