CPU utilization statistics at 2026-06-04 08:08:07 282 ms
System CPU Using Percentage :  15%
CPU utilization for five seconds: 15%, one minute: 15%, five minutes: 12%.
Max CPU Usage :                18%
Max CPU Usage Stat. Time : 2026-06-04 01:34:51 162 ms
State: Non-overload
Overload threshold:  90%, Overload clear threshold:  75%, Duration:  480s
---------------------------
ServiceName  UseRate
---------------------------
SYSTEM           15%
AAA               0%
ARP               0%
BGP               0%
CMF               0%
DEVICE            0%
EUM               0%
EVPN              0%
FEA               0%
FEC               0%
FIBRESM           0%
IFM               0%
IP STACK          0%
LLDP              0%
LOCAL PKT         0%
MSTP              0%
ND                0%
OAM               0%
OSPF              0%
PNP               0%
RGM               0%
RM                0%
SLA               0%
SMLK              0%
SVRO              0%
TNLM              0%
TUNNEL            0%
VLAN              0%
VXLAN             0%
---------------------------
CPU Usage Details
----------------------------------------------------------------
CPU     Current  FiveSec   OneMin  FiveMin  Max MaxTime         
----------------------------------------------------------------
cpu0       100%     100%      99%      99%  99% 2026-06-04 05:44:23
cpu1        27%      27%      26%      25%  99% 2026-06-04 01:34:52
cpu2        14%      14%      13%      10%  99% 2026-06-04 05:31:53
cpu3        11%      11%      10%       7%  99% 2026-06-04 02:17:53
cpu4         6%       6%       9%       7%  99% 2026-06-04 02:02:22
cpu5        10%      10%      11%       7%  99% 2026-06-04 03:01:43
cpu6        10%      10%      11%       7%  99% 2026-06-04 03:04:13
cpu7        10%      10%       9%       7%  21% 2026-06-04 05:42:43
cpu8        10%      11%      10%       7%  25% 2026-06-04 05:42:43
cpu9        10%      10%       9%       7%  17% 2026-06-04 05:42:43
cpu10       10%      10%       9%       7%  99% 2026-06-04 05:43:33
cpu11       11%      11%      11%      11%  72% 2026-06-04 05:36:23
cpu12       10%      10%       9%       7%  99% 2026-06-04 01:52:42
cpu13       10%       9%      11%       8%  99% 2026-06-04 01:54:22
cpu14       10%       9%       9%      10%  99% 2026-06-04 02:08:02
cpu15        9%       9%       9%       7%  99% 2026-06-04 01:35:52
cpu16       10%       9%       9%       7%  99% 2026-06-04 02:40:53
cpu17       10%       9%       9%       7%  99% 2026-06-04 02:24:23
cpu18       10%       9%       9%       7%  99% 2026-06-04 01:56:42
cpu19       10%       9%      12%      12%  99% 2026-06-04 02:27:13
cpu20       17%       8%       8%      18%  99% 2026-06-04 02:23:03
cpu21        8%       8%       8%      17%  99% 2026-06-04 01:50:22
cpu22        7%       7%       8%       4%  99% 2026-06-04 01:53:42
cpu23        6%       6%       7%       3%  99% 2026-06-04 01:51:22
cpu24       11%      11%       7%       5%  99% 2026-06-04 04:50:44
cpu25        2%       2%       1%       3%  99% 2026-06-04 02:28:43
cpu26        7%       7%       8%       6%  99% 2026-06-04 02:06:42
cpu27        7%       7%       7%      17%  99% 2026-06-04 01:44:42
cpu28        6%       6%       9%       9%  33% 2026-06-04 08:06:34
cpu29        6%       6%       7%       5%  99% 2026-06-04 02:25:43
cpu30        6%       6%       6%       5%  99% 2026-06-04 02:35:33
cpu31       99%      99%      99%      90%  99% 2026-06-04 01:37:32
cpu32        6%       6%      23%      21%  99% 2026-06-04 01:39:22
cpu33       99%      99%      76%      19%  99% 2026-06-04 01:45:02
cpu34        7%       8%      16%      17%  99% 2026-06-04 01:55:32
cpu35        6%       6%       7%      27%  99% 2026-06-04 01:44:22
cpu36        6%       6%       6%      46%  99% 2026-06-04 01:46:02
cpu37        3%       2%       2%       4%  99% 2026-06-04 01:35:22
cpu38        9%       9%       9%       5%  99% 2026-06-04 03:02:13
cpu39        6%       6%       6%       5%  99% 2026-06-04 03:35:33
cpu40        2%       2%       3%       1%  32% 2026-06-04 02:04:03
cpu41       12%      12%      26%      12%  99% 2026-06-04 05:54:53
cpu42        9%      10%      18%      10%  99% 2026-06-04 03:32:53
cpu43        9%      12%      32%      12%  99% 2026-06-04 01:58:12
cpu44       99%      96%      51%      16%  99% 2026-06-04 03:20:33
