
OSPF Process 1 with Router ID 1.1.1.1
Link State Database

Area: 0.0.0.0
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    1.1.1.1         1.1.1.1         1485     84 80000011            1
 Router    1.1.1.2         1.1.1.2         1702     84 80000011            1
 Router    1.1.2.1         1.1.2.1         1764     60 8000000f            1
 Router    1.1.2.2         1.1.2.2         1630     60 8000000f            1
 Router    1.1.5.1         1.1.5.1         1568     60 8000000f            1
 Router    1.1.5.2         1.1.5.2         1621     60 8000000f            1
 Network   192.168.1.2     1.1.5.1         1605     32 8000000d            0
 Network   192.168.1.5     1.1.1.1         1417     32 8000000d            0
 Network   192.168.1.10    1.1.5.1         1498     32 8000000d            0
 Network   192.168.1.13    1.1.1.2         1607     32 8000000d            0
 Network   192.168.2.1     1.1.1.1         1686     32 8000000d            0
 Network   192.168.2.6     1.1.2.2          103     32 8000000e            0
 Network   192.168.2.9     1.1.1.2           12     32 8000000e            0
 Network   192.168.2.14    1.1.2.2         1529     32 8000000d            0
