CPU utilization statistics at 2026-06-04 01:51:05 417 ms
System CPU Using Percentage :   8%
CPU utilization for five seconds: 8%, one minute: 8%, five minutes: 8%.
Max CPU Usage :                28%
Max CPU Usage Stat. Time : 2026-06-03 01:00:36 073 ms
State: Non-overload
Overload threshold:  90%, Overload clear threshold:  75%, Duration:  480s
---------------------------
ServiceName  UseRate
---------------------------
SYSTEM            8%
AAA               0%
ARP               0%
BGP               0%
CMF               0%
DEVICE            0%
EUM               0%
EVPN              0%
FEA               0%
FEC               0%
FIBRESM           0%
IFM               0%
IP STACK          0%
LLDP              0%
LOCAL PKT         0%
MSTP              0%
ND                0%
OAM               0%
OSPF              0%
PNP               0%
RGM               0%
RM                0%
SLA               0%
SMLK              0%
SVRO              0%
TNLM              0%
TUNNEL            0%
VLAN              0%
VRRP              0%
VXLAN             0%
---------------------------
CPU Usage Details
----------------------------------------------------------------
CPU     Current  FiveSec   OneMin  FiveMin  Max MaxTime         
----------------------------------------------------------------
cpu0       100%     100%     100%     100%  99% 2026-06-03 01:00:40
cpu1        25%      25%      25%      25%  99% 2026-06-03 06:59:59
cpu2         9%       9%       8%       8%  99% 2026-06-03 07:19:30
cpu3         7%       7%       7%       6%  27% 2026-06-03 01:01:10
cpu4         7%       7%       6%       6%  99% 2026-06-03 06:48:30
cpu5         6%       6%       6%       6%  99% 2026-06-03 07:05:29
cpu6         7%       7%       7%       6%  99% 2026-06-03 08:40:30
cpu7         6%       6%       6%       6%  94% 2026-06-03 06:27:00
cpu8         7%       7%       6%       6%  99% 2026-06-03 07:02:29
cpu9         6%       6%       6%       6%  99% 2026-06-03 06:40:40
cpu10        6%       6%       6%       6%  99% 2026-06-03 06:35:20
cpu11        6%       6%       6%       6%  26% 2026-06-03 01:00:40
cpu12        6%       6%       6%       6%  99% 2026-06-03 08:58:40
cpu13        7%       7%       6%       6%  99% 2026-06-03 07:10:50
cpu14        7%       7%       6%       6%  99% 2026-06-03 07:28:10
cpu15        7%       7%       6%       6%  99% 2026-06-03 07:20:40
cpu16        6%       6%       6%       6%  99% 2026-06-03 06:43:20
cpu17        6%       6%       6%       6%  99% 2026-06-03 09:11:50
cpu18        6%       6%       6%       6%  48% 2026-06-03 09:05:20
cpu19        6%       6%       6%       6%  99% 2026-06-03 07:14:20
cpu20        3%       3%       4%       3%  99% 2026-06-03 03:52:00
cpu21        3%       3%       4%       3%  99% 2026-06-03 02:53:50
cpu22        2%       2%      27%      38%  99% 2026-06-03 02:41:40
cpu23       99%      99%      76%      19%  99% 2026-06-03 05:02:30
cpu24        2%       2%       3%       3%  99% 2026-06-03 02:07:30
cpu25        2%       2%       3%       4%  99% 2026-06-03 08:17:30
cpu26        0%       0%       1%       3%  99% 2026-06-03 03:50:50
cpu27        2%       2%       3%       4%  99% 2026-06-03 04:56:20
cpu28        2%       2%       3%       3%  99% 2026-06-03 04:11:50
cpu29        2%       2%       4%       4%  99% 2026-06-03 04:21:40
cpu30        3%       3%       4%       4%  99% 2026-06-03 09:13:30
cpu31        2%       2%       4%       4%  99% 2026-06-03 01:18:30
cpu32        2%       2%       3%       3%  99% 2026-06-03 09:45:30
cpu33        3%       3%       4%       4%  99% 2026-06-03 07:20:20
cpu34        2%       2%       2%      53%  99% 2026-06-03 02:04:00
cpu35        3%       3%       2%       3%  99% 2026-06-03 07:56:20
cpu36        2%       2%       2%      19%  99% 2026-06-03 03:31:30
cpu37        3%       3%       3%       4%  99% 2026-06-03 05:26:30
cpu38        4%       4%       3%       2%  99% 2026-06-03 02:11:10
cpu39        3%       3%       3%       3%  99% 2026-06-03 02:24:00
cpu40        0%       0%       0%       0%  32% 2026-06-03 06:41:40
cpu41        6%       6%       5%       5%  99% 2026-06-03 06:28:00
cpu42        6%       6%       5%       5%  99% 2026-06-03 06:54:30
cpu43        5%       5%       5%       5%  99% 2026-06-03 06:29:40
cpu44        5%       5%       5%       5%  66% 2026-06-03 08:44:20
cpu45        5%       5%       5%       5%  26% 2026-06-03 01:00:40
cpu46        6%       6%       6%       5%  99% 2026-06-03 07:16:00
cpu47        6%       6%       5%       5%  54% 2026-06-03 07:13:40
cpu48        5%       5%       5%       5%  80% 2026-06-03 11:14:30
cpu49        6%       6%       5%       5%  99% 2026-06-03 07:39:00
cpu50        5%       5%       5%       5%  99% 2026-06-03 06:31:30
cpu51        6%       6%       5%       5%  99% 2026-06-03 07:56:00
cpu52        6%       6%       5%       5%  99% 2026-06-03 07:42:50
cpu53        6%       6%       6%       5%  99% 2026-06-03 07:44:10
cpu54        6%       6%       5%       5%  99% 2026-06-03 07:31:40
cpu55        5%       5%       5%       5%  99% 2026-06-03 08:30:50
cpu56        5%       5%       5%       5%  99% 2026-06-03 07:36:20
cpu57        5%       5%       5%       5%  99% 2026-06-03 07:58:00
cpu58        6%       6%       6%       5%  99% 2026-06-03 08:20:00
cpu59        6%       6%       5%       5%  99% 2026-06-03 07:17:40
cpu60        3%       3%       3%       3%  99% 2026-06-03 08:07:10
cpu61        3%       3%       3%       3%  99% 2026-06-03 03:47:40
cpu62        2%       2%       1%       2%  99% 2026-06-03 05:36:30
cpu63        1%       1%       1%       2%  99% 2026-06-03 02:04:50
cpu64        3%       3%       4%       9%  99% 2026-06-03 03:20:50
cpu65        3%       3%       3%       3%  99% 2026-06-03 01:01:40
cpu66       99%      99%      97%      27%  99% 2026-06-03 08:30:40
cpu67        3%       3%       3%       3%  99% 2026-06-03 01:12:40
cpu68        3%       3%       3%       3%  99% 2026-06-03 11:54:50
cpu69        2%       2%       2%       2%  99% 2026-06-03 09:58:29
cpu70        3%       3%       3%       3%  99% 2026-06-03 05:49:50
cpu71        2%       2%       3%       3%  99% 2026-06-03 11:58:00
cpu72        2%       2%       3%       2%  99% 2026-06-03 09:33:10
cpu73        2%       2%       2%       2%  99% 2026-06-03 02:33:40
cpu74        2%       2%       2%       1%  99% 2026-06-03 07:30:20
cpu75        3%       3%       3%       3%  99% 2026-06-03 07:31:20
cpu76        2%       2%       2%      29%  99% 2026-06-03 07:33:10
cpu77        3%       3%       3%       2%  99% 2026-06-03 01:12:40
cpu78        3%       3%       3%      22%  99% 2026-06-03 03:40:00
cpu79        3%       3%       3%       3%  99% 2026-06-03 09:49:30
----------------------------------------------------------------
