2026-06-04 01:43:41.230 
CPU Usage Stat. Cycle: 10 (Second)
CPU Usage            :   4.8%  Max:  65.5% 
CPU utilization for ten seconds:   4.8% : one minute:   4.5% : five minutes:   4.5% 

PID   ProcessName         CPU       Runtime     State
1890  fpath.out           3.0%      505832      S
1633  vrp                 1.1%      205861      S
1650  vrpio_s             0.2%      45141       S
1891  nlog.out            0.1%      6292        S
1906  nge.out             0.0%      27760       S
1904  restful.out         0.0%      7253        S
1899  ike.out             0.0%      6861        S
1900  am.out              0.0%      5081        S
1902  auth.out            0.0%      3292        S
1897  mail_send.out       0.0%      1212        S
1892  slb_proxy.out       0.0%      16230       S
1665  procmgmt.out        0.0%      2780        S
1894  svn.out             0.0%      1042        S
1909  hc_https_client.out  0.0%      605         S
1907  netopeer-server.out  0.0%      259         S
1905  disk_smart.out      0.0%      140         S
1901  umdb.out            0.0%      105         S
1908  svnupgrade.out      0.0%      101         S
1893  mail_proxy.out      0.0%      3           S
1895  rbl.out             0.0%      3           S
1896  aapt.out            0.0%      3           S
1898  tcpproxy.out        0.0%      3           S
2028  sshd.out            0.0%      2           S
