CPU utilization statistics at 2026-06-04 02:10:12 853 ms
System CPU Using Percentage :   6%
CPU utilization for five seconds: 6%, one minute: 6%, five minutes: 6%.
Max CPU Usage :                23%
Max CPU Usage Stat. Time : 2026-06-03 01:17:35 983 ms
State: Non-overload
Overload threshold:  90%, Overload clear threshold:  75%, Duration:  480s
---------------------------
ServiceName  UseRate
---------------------------
SYSTEM            6%
AAA               0%
ARP               0%
CMF               0%
DEVICE            0%
EUM               0%
FEA               0%
FEC               0%
FIBRESM           0%
IFM               0%
IP STACK          0%
L2VPN             0%
LDP               0%
LOCAL PKT         0%
MSTP              0%
ND                0%
OAM               0%
OSPF              0%
PNP               0%
RGM               0%
RM                0%
SLA               0%
SMLK              0%
SVRO              0%
TNLM              0%
TUNNEL            0%
VLAN              0%
---------------------------
CPU Usage Details
----------------------------------------------------------------
CPU     Current  FiveSec   OneMin  FiveMin  Max MaxTime         
----------------------------------------------------------------
cpu0        60%      59%      60%      60%  73% 2026-06-03 03:11:16
cpu1        16%      16%      17%      17%  99% 2026-06-03 05:08:36
cpu2         3%       3%       3%       3%  96% 2026-06-03 09:54:55
cpu3         2%       2%       3%       3%  99% 2026-06-03 06:01:25
cpu4         3%       2%       3%      51%  99% 2026-06-03 05:53:35
cpu5         2%       2%       3%       3%  99% 2026-06-03 19:19:16
cpu6         3%       3%       3%       3%  99% 2026-06-03 22:35:25
cpu7         3%       2%       3%       3%  99% 2026-06-03 04:18:06
cpu8         4%       3%       4%       4%  97% 2026-06-03 12:49:06
cpu9         2%       2%       3%       3%  96% 2026-06-03 07:28:36
cpu10        3%       2%       3%       3%  99% 2026-06-03 19:31:16
cpu11       94%      94%      93%      46%  99% 2026-06-03 20:03:26
cpu12        2%       2%       3%       3%  97% 2026-06-03 16:35:46
cpu13        3%       3%       3%       3%  99% 2026-06-03 05:35:36
cpu14        2%       2%       3%       3%  99% 2026-06-03 05:26:26
cpu15        3%       3%       3%       3%  99% 2026-06-03 02:49:06
