PHY: Physical
*down: administratively down
^down: standby
(l): loopback
(s): spoofing
(b): BFD down
(e): ETHOAM down
(d): Dampening Suppressed
(p): port alarm down
(dl): DLDP down
(c): CFM down
(ed): error down
Interface                     PHY     Protocol Description                     
Eth-Trunk1                    down    down                                     
Eth-Trunk3                    up      up                                       
Eth-Trunk3.1                  up      up                                       
Eth-Trunk3.2                  up      up                                       
Eth-Trunk3.3                  up      up                                       
Eth-Trunk3.4                  up      up                                       
Eth-Trunk3.5                  up      up                                       
Eth-Trunk3.6                  up      up                                       
GE1/0/0                       *down   down     To-PJGFA-FW-01-GE1/0/1          
GE1/0/1                       down    down     To-PJHX-01-ETH1/0/5             
GE1/0/2                       up      up       To-PJGFA-S-01-GE1/0/2           
GE1/0/3                       up      up       To-PJGFA-S-02-GE1/0/2           
GE1/0/4                       up      up       To-PJGFA-FW-01-GE1/0/1          
GE1/0/5                       down    down     To-PJGFA-BL-01-GE1/0/5          
GE1/0/6                       *down   down                                     
GE1/0/7                       *down   down                                     
GE1/0/8                       *down   down                                     
GE1/0/9                       *down   down                                     
GE1/1/0                       *down   down                                     
GE1/1/1                       *down   down                                     
GE1/1/2                       *down   down                                     
GE1/1/3                       *down   down                                     
GE1/1/4                       *down   down                                     
GE1/1/5                       *down   down                                     
GE1/1/6                       *down   down                                     
GE1/1/7                       *down   down                                     
GE1/1/8                       *down   down                                     
GE1/1/9                       *down   down                                     
GE2/0/0                       *down   down                                     
GE2/0/1                       *down   down                                     
GE2/0/2                       *down   down                                     
GE2/0/3                       *down   down                                     
GE2/0/4                       *down   down                                     
GE2/0/5                       *down   down                                     
GE2/0/6                       *down   down                                     
GE2/0/7                       *down   down                                     
GE2/0/8                       *down   down                                     
GE2/0/9                       *down   down                                     
GE2/1/0                       *down   down                                     
GE2/1/1                       *down   down                                     
GE2/1/2                       *down   down                                     
GE2/1/3                       *down   down                                     
GE2/1/4                       *down   down                                     
GE2/1/5                       *down   down                                     
GE2/1/6                       *down   down                                     
GE2/1/7                       *down   down                                     
GE2/1/8                       *down   down                                     
GE2/1/9                       *down   down                                     
Loop0                         up      up(s)                                    
MEth0/0/0                     up      down                                     
NULL0                         up      up(s)                                    
Nve1                          up      up                                       
Vbdif8010                     up      up                                       
Vbdif8020                     up      up                                       
Vbdif8030                     up      up                                       
Vbdif8040                     up      up                                       
Vbdif8050                     up      up                                       
Vbdif8060                     up      up                                       
Vlanif1001                    up      up                                       
