
OSPF Process 1 with Router ID 2.1.5.2
Link State Database

Area: 0.0.0.2
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    2.1.1.1         2.1.1.1         1513     84 80000036            1
 Router    2.1.1.2         2.1.1.2          186     84 80000037            1
 Router    2.1.2.1         2.1.2.1          285     60 80000035            1
 Router    2.1.2.2         2.1.2.2         1538     60 80000034            1
 Router    2.1.5.1         2.1.5.1         1617     84 80000036            1
 Router    2.1.5.2         2.1.5.2         1539     60 80000034            1
 Network   182.158.1.1     2.1.1.1          642     32 80000033            0
 Network   182.158.1.6     2.1.5.2          302     32 80000033            0
 Network   182.158.1.9     2.1.1.2          528     32 80000033            0
 Network   182.158.1.14    2.1.5.2          173     32 80000033            0
 Network   182.158.2.2     2.1.2.1          340     32 80000033            0
 Network   182.158.2.6     2.1.2.2          314     32 80000033            0
 Network   182.158.2.10    2.1.2.1         1655     32 80000032            0
 Network   182.158.2.14    2.1.2.2          221     32 80000033            0
