2026-06-04 02:10:50.800 
PHY: Physical
*down: administratively down
(l): loopback
(s): spoofing
(b): BFD down
(d): Dampening Suppressed
InUti/OutUti: input utility/output utility
Interface                   PHY   Protocol  InUti OutUti   inErrors  outErrors
Eth-Trunk1                  up    up        0.01%  0.01%          0          0
  GigabitEthernet1/0/3(10G) up    up           0%     0%          0          0
Eth-Trunk2                  down  down         0%     0%          0          0
Eth-Trunk2.1001             down  down         0%     0%          0          0
GigabitEthernet0/0/0(10G)   down  down         0%     0%          0          0
GigabitEthernet1/0/0        down  down         0%     0%          0          0
GigabitEthernet1/0/1(10G)   up    down         0%     0%          0          0
GigabitEthernet1/0/2(10G)   up    up           0%     0%          0          0
GigabitEthernet1/0/4        *down down         0%     0%          0          0
GigabitEthernet1/0/5        down  down         0%     0%          0          0
GigabitEthernet1/0/6        down  down         0%     0%          0          0
GigabitEthernet1/0/7        down  down         0%     0%          0          0
GigabitEthernet1/0/8        down  down         0%     0%          0          0
GigabitEthernet1/0/9        down  down         0%     0%          0          0
LoopBack0                   up    up(s)        0%     0%          0          0
NULL0                       up    up(s)        0%     0%          0          0
Virtual-if0                 up    up(s)        --     --          0          0
Vlanif10                    up    up           --     --          0          0
Vlanif20                    up    up           --     --          0          0
Vlanif30                    up    up           --     --          0          0
Vlanif40                    up    up           --     --          0          0
Vlanif50                    up    up           --     --          0          0
