
OSPF Process 1 with Router ID 2.1.2.2
Link State Database

Area: 0.0.0.2
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    2.1.1.1         2.1.1.1         1574     84 80000036            1
 Router    2.1.1.2         2.1.1.2          247     84 80000037            1
 Router    2.1.2.1         2.1.2.1          346     60 80000035            1
 Router    2.1.2.2         2.1.2.2         1597     60 80000034            1
 Router    2.1.5.1         2.1.5.1         1678     84 80000036            1
 Router    2.1.5.2         2.1.5.2         1602     60 80000034            1
 Network   182.158.1.1     2.1.1.1          703     32 80000033            0
 Network   182.158.1.6     2.1.5.2          365     32 80000033            0
 Network   182.158.1.9     2.1.1.2          589     32 80000033            0
 Network   182.158.1.14    2.1.5.2          236     32 80000033            0
 Network   182.158.2.2     2.1.2.1          401     32 80000033            0
 Network   182.158.2.6     2.1.2.2          373     32 80000033            0
 Network   182.158.2.10    2.1.2.1         1716     32 80000032            0
 Network   182.158.2.14    2.1.2.2          280     32 80000033            0
