
OSPF Process 1 with Router ID 1.1.2.2
Link State Database

Area: 0.0.0.0
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    1.1.1.1         1.1.1.1          118     84 80000037            1
 Router    1.1.1.2         1.1.1.2          168     84 80000037            1
 Router    1.1.2.1         1.1.2.1          217     60 80000035            1
 Router    1.1.2.2         1.1.2.2         1499     60 80000034            1
 Router    1.1.5.1         1.1.5.1          112     60 80000035            1
 Router    1.1.5.2         1.1.5.2          205     60 80000035            1
 Network   192.168.1.2     1.1.5.1          447     32 80000033            0
 Network   192.168.1.5     1.1.1.1         1127     32 80000032            0
 Network   192.168.1.10    1.1.5.1          147     32 80000033            0
 Network   192.168.1.13    1.1.1.2          138     32 80000033            0
 Network   192.168.2.1     1.1.1.1          315     32 80000033            0
 Network   192.168.2.5     1.1.1.1          513     32 80000033            0
 Network   192.168.2.9     1.1.1.2           75     32 80000033            0
 Network   192.168.2.13    1.1.1.2           68     32 80000033            0
