case_id,repeat,status,correct,result,duration_seconds,capped_minutes,prediction,expected,artifact_dir,record_source,return_code,log_file
1,1,timeout,False,?,3604.0,60.0,null,"[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q1-r01,worker_log,143,worker-03.log
1,2,succeeded,False,?,2812.82,46.8803,"[""PE2;SRV6-Policy隧道规划错误""]","[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q1-r02,worker_log,0,worker-03.log
1,3,timeout,False,?,3604.0,60.0,null,"[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q1-r03,worker_log,143,worker-03.log
1,4,timeout,False,?,3603.0,60.0,null,"[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q1-r04,worker_log,143,worker-03.log
1,5,timeout,False,?,3604.0,60.0,null,"[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q1-r05,worker_log,143,worker-03.log
2,1,timeout,False,?,3604.0,60.0,null,"[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q2-r01,worker_log,143,worker-04.log
2,2,timeout,False,?,3604.0,60.0,null,"[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q2-r02,worker_log,143,worker-04.log
2,3,timeout,False,?,3603.0,60.0,null,"[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q2-r03,worker_log,143,worker-04.log
2,4,succeeded,False,?,2858.128,47.6355,"[""PE2;ISIS配置错误""]","[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q2-r04,worker_log,0,worker-04.log
2,5,timeout,False,?,3603.0,60.0,null,"[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q2-r05,worker_log,143,worker-04.log
3,1,timeout,False,?,3604.0,60.0,null,"[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q3-r01,worker_log,143,worker-01.log
3,2,timeout,False,?,3604.0,60.0,null,"[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q3-r02,worker_log,143,worker-01.log
3,3,timeout,False,?,3603.0,60.0,null,"[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q3-r03,worker_log,143,worker-01.log
3,4,timeout,False,?,3604.0,60.0,null,"[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q3-r04,worker_log,143,worker-01.log
3,5,succeeded,False,?,3560.085,59.3347,"[""PE2;SRV6-Policy隧道规划错误""]","[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q3-r05,worker_log,0,worker-01.log
4,1,timeout,False,?,3604.0,60.0,null,"[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q4-r01,worker_log,143,worker-07.log
4,2,timeout,False,?,3603.0,60.0,null,"[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q4-r02,worker_log,143,worker-07.log
4,3,timeout,False,?,3604.0,60.0,null,"[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q4-r03,worker_log,143,worker-07.log
4,4,timeout,False,?,3605.0,60.0,null,"[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q4-r04,worker_log,143,worker-07.log
4,5,timeout,False,?,3604.0,60.0,null,"[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q4-r05,worker_log,143,worker-07.log
5,1,timeout,False,?,3605.0,60.0,null,"[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q5-r01,worker_log,143,worker-02.log
5,2,timeout,False,?,3604.0,60.0,null,"[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q5-r02,worker_log,143,worker-02.log
5,3,timeout,False,?,3603.0,60.0,null,"[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q5-r03,worker_log,143,worker-02.log
5,4,timeout,False,?,3604.0,60.0,null,"[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q5-r04,worker_log,143,worker-02.log
5,5,timeout,False,?,3604.0,60.0,null,"[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q5-r05,worker_log,143,worker-02.log
6,1,timeout,False,?,3605.0,60.0,null,"[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q6-r01,worker_log,143,worker-08.log
6,2,timeout,False,?,3604.0,60.0,null,"[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q6-r02,worker_log,143,worker-08.log
6,3,timeout,False,?,3603.0,60.0,null,"[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q6-r03,worker_log,143,worker-08.log
6,4,timeout,False,?,3605.0,60.0,null,"[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q6-r04,worker_log,143,worker-08.log
6,5,timeout,False,?,3603.0,60.0,null,"[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q6-r05,worker_log,143,worker-08.log
7,1,timeout,False,?,3604.0,60.0,null,"[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q7-r01,worker_log,143,worker-05.log
7,2,failed,False,?,20.0,0.3333,null,"[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q7-r02,worker_log,1,worker-05.log
7,3,timeout,False,?,3603.0,60.0,null,"[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q7-r03,worker_log,143,worker-05.log
7,4,timeout,False,?,3603.0,60.0,null,"[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q7-r04,worker_log,143,worker-05.log
7,5,timeout,False,?,3605.0,60.0,null,"[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q7-r05,worker_log,143,worker-05.log
8,1,timeout,False,?,3604.0,60.0,null,"[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q8-r01,worker_log,143,worker-09.log
8,2,timeout,False,?,3603.0,60.0,null,"[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q8-r02,worker_log,143,worker-09.log
8,3,succeeded,False,?,2343.347,39.0558,"[""PE2;BGP配置错误"", ""PE3;BGP配置错误""]","[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q8-r03,worker_log,0,worker-09.log
8,4,timeout,False,?,3604.0,60.0,null,"[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q8-r04,worker_log,143,worker-09.log
8,5,timeout,False,?,3605.0,60.0,null,"[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q8-r05,worker_log,143,worker-09.log
9,1,timeout,False,?,3603.0,60.0,null,"[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q9-r01,worker_log,143,worker-05.log
9,2,timeout,False,?,3603.0,60.0,null,"[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q9-r02,worker_log,143,worker-05.log
9,3,timeout,False,?,3605.0,60.0,null,"[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q9-r03,worker_log,143,worker-05.log
9,4,timeout,False,?,3604.0,60.0,null,"[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q9-r04,worker_log,143,worker-05.log
9,5,timeout,False,?,3603.0,60.0,null,"[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q9-r05,worker_log,143,worker-05.log
10,1,timeout,False,?,3604.0,60.0,null,"[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q10-r01,worker_log,143,worker-09.log
10,2,timeout,False,?,3605.0,60.0,null,"[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q10-r02,worker_log,143,worker-09.log
10,3,timeout,False,?,3604.0,60.0,null,"[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q10-r03,worker_log,143,worker-09.log
10,4,timeout,False,?,3604.0,60.0,null,"[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q10-r04,worker_log,143,worker-09.log
10,5,timeout,False,?,3604.0,60.0,null,"[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q10-r05,worker_log,143,worker-09.log
11,1,timeout,False,?,3604.0,60.0,null,"[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q11-r01,worker_log,143,worker-03.log
11,2,timeout,False,?,3604.0,60.0,null,"[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q11-r02,worker_log,143,worker-03.log
11,3,timeout,False,?,3603.0,60.0,null,"[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q11-r03,worker_log,143,worker-03.log
11,4,succeeded,False,?,3260.087,54.3348,"[""PE2;SRV6-Policy隧道规划错误""]","[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q11-r04,worker_log,0,worker-03.log
11,5,timeout,False,?,3604.0,60.0,null,"[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q11-r05,worker_log,143,worker-03.log
12,1,timeout,False,?,3605.0,60.0,null,"[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q12-r01,worker_log,143,worker-04.log
12,2,failed,False,?,45.0,0.75,null,"[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q12-r02,worker_log,1,worker-04.log
12,3,timeout,False,?,3604.0,60.0,null,"[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q12-r03,worker_log,143,worker-04.log
12,4,timeout,False,?,3604.0,60.0,null,"[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-train0629-remaining92-20260728T150305Z-q12-r04,worker_log,143,worker-04.log
