题号,总轨迹数,正确数,错误数,准确率(%),正确轮次,错误轮次,解析失败数,标准答案
13,10,9,1,90,1 2 3 4 6 7 8 9 10,5,0,AGG_SW_01;STP BPDU被过滤
14,10,10,0,100,1 2 3 4 5 6 7 8 9 10,,0,AGG_SW_01;STP BPDU被过滤
17,10,9,1,90,1 2 3 4 5 7 8 9 10,6,0,AGG_SW_01;STP BPDU被过滤
18,10,9,1,90,1 2 3 4 6 7 8 9 10,5,0,AGG_SW_01;STP BPDU被过滤
87,10,10,0,100,1 2 3 4 5 6 7 8 9 10,,0,Core_SW_01;VRRP工作在非抢占模式
88,10,10,0,100,1 2 3 4 5 6 7 8 9 10,,0,Core_SW_01;VRRP工作在非抢占模式
91,10,10,0,100,1 2 3 4 5 6 7 8 9 10,,0,Core_SW_02;VRRP工作在非抢占模式
92,10,10,0,100,1 2 3 4 5 6 7 8 9 10,,0,Core_SW_02;VRRP工作在非抢占模式
93,10,9,1,90,1 2 3 4 5 7 8 9 10,6,0,Core_SW_01;VRRP工作在非抢占模式
94,10,10,0,100,1 2 3 4 5 6 7 8 9 10,,0,Core_SW_01;VRRP工作在非抢占模式
总计,100,96,4,96,,,0,10题；故障集合精确匹配，忽略列表顺序
