original_id,sample_key,final_status,successful_trajectories,incorrect_or_format_error,valid_attempts,success_rate_pct,total_attempts,model_attempts,infrastructure_failures,first_attempt_started_at_utc,last_attempt_finished_at_utc,wall_clock_seconds,wall_clock_hms,accepted_generation_seconds,accepted_generation_hms,accepted_average_seconds,accepted_usage_records,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,token_scope
1,q0001,completed_with_10_correct,10,12,22,45.45454545454545,26,25,4,2026-08-03T12:45:34.736Z,2026-08-03T15:59:56.860Z,11662.124,03:14:22,4449.6410000000005,01:14:10,444.96410000000003,10,18382692,17006080,158425,92750,18541117,retained_accepted_only
2,q0002,completed_with_10_correct,10,5,15,66.66666666666667,19,18,4,2026-08-03T12:45:34.748Z,2026-08-03T14:43:28.646Z,7073.898,01:57:54,3683.585,01:01:24,368.3585,10,16001970,14583808,129222,77866,16131192,retained_accepted_only
3,q0003,abandoned_after_10_consecutive_wrong,6,18,24,25,27,26,3,2026-08-03T12:45:34.758Z,2026-08-03T16:14:17.843Z,12523.085,03:28:43,2861.26,00:47:41,476.8766666666667,6,11493194,10699776,98417,60917,11591611,retained_accepted_only
4,q0004,completed_with_10_correct,10,15,25,40,29,28,4,2026-08-03T12:45:34.767Z,2026-08-03T15:53:54.669Z,11299.902,03:08:20,3329.5190000000002,00:55:30,332.9519,10,16867193,15553024,118354,68897,16985547,retained_accepted_only
5,q0005,completed_with_10_correct,10,13,23,43.47826086956522,27,26,4,2026-08-03T12:45:34.780Z,2026-08-03T16:07:37.535Z,12122.755,03:22:03,4509.6630000000005,01:15:10,450.96630000000005,10,16390276,15034880,159085,100988,16549361,retained_accepted_only
6,q0006,completed_with_10_correct,10,11,21,47.61904761904762,25,24,4,2026-08-03T12:45:34.792Z,2026-08-03T15:18:48.015Z,9193.223,02:33:13,3547.786,00:59:08,354.7786,10,15877428,14582272,120142,71578,15997570,retained_accepted_only
7,q0007,abandoned_after_20_total_wrong,5,20,25,20,31,28,6,2026-08-03T12:45:34.804Z,2026-08-04T02:10:28.584Z,48293.78,13:24:54,2408.2740000000003,00:40:08,481.6548000000001,5,10222484,9452288,81516,49798,10304000,retained_accepted_only
8,q0008,completed_with_10_correct,10,13,23,43.47826086956522,26,25,3,2026-08-03T12:45:34.815Z,2026-08-03T15:40:23.157Z,10488.342,02:54:48,3660.5190000000002,01:01:01,366.05190000000005,10,15565250,14318080,126439,69398,15691689,retained_accepted_only
9,q0009,completed_with_10_correct,10,8,18,55.55555555555556,22,21,4,2026-08-03T12:45:34.828Z,2026-08-03T15:23:11.467Z,9456.639,02:37:37,4125.143,01:08:45,412.5143,10,17385079,16082688,151270,88485,17536349,retained_accepted_only
10,q0010,completed_with_10_correct,10,14,24,41.666666666666664,28,27,4,2026-08-03T12:45:34.840Z,2026-08-03T15:46:53.460Z,10878.62,03:01:19,3752.1519999999996,01:02:32,375.2152,10,17558169,16185344,135176,76012,17693345,retained_accepted_only
11,q0011,completed_with_10_correct,10,13,23,43.47826086956522,23,23,0,2026-08-03T14:43:28.669Z,2026-08-03T17:15:59.192Z,9150.523,02:32:31,4043.67,01:07:24,404.367,10,17789662,16472064,151091,83101,17940753,retained_accepted_only
12,q0012,completed_with_10_correct,10,2,12,83.33333333333333,12,12,0,2026-08-03T15:18:48.029Z,2026-08-03T16:40:21.616Z,4893.587,01:21:34,4123.2519999999995,01:08:43,412.32519999999994,10,19496681,18097920,141332,83030,19638013,retained_accepted_only
13,q0013,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-03T15:23:11.480Z,2026-08-03T15:55:45.256Z,1953.776,00:32:34,1952.275,00:32:32,195.22750000000002,10,8966191,7835904,61753,24954,9027944,retained_accepted_only
14,q0014,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-03T15:40:23.175Z,2026-08-03T16:14:21.097Z,2037.922,00:33:58,2037.011,00:33:57,203.7011,10,8152633,7000064,73113,30392,8225746,retained_accepted_only
15,q0015,completed_with_10_correct,10,0,10,100,11,10,1,2026-08-03T15:46:53.472Z,2026-08-03T17:42:46.850Z,6953.378,01:55:53,2238.9559999999997,00:37:19,223.89559999999997,10,12538949,11267840,72760,29363,12611709,retained_accepted_only
16,q0016,completed_with_10_correct,10,0,10,100,10,10,0,2026-08-03T15:53:54.682Z,2026-08-03T16:24:18.227Z,1823.545,00:30:24,1822.6250000000002,00:30:23,182.26250000000002,10,7501066,6509568,64882,27597,7565948,retained_accepted_only
