题号,总轨迹数,正确数,错误数,准确率(%),正确轮次,错误轮次,解析失败数,标准答案
13,10,10,0,100,1 2 3 4 5 6 7 8 9 10,,0,AGG_SW_01;STP BPDU被过滤
14,10,10,0,100,1 2 3 4 5 6 7 8 9 10,,0,AGG_SW_01;STP BPDU被过滤
17,10,10,0,100,1 2 3 4 5 6 7 8 9 10,,0,AGG_SW_01;STP BPDU被过滤
18,10,10,0,100,1 2 3 4 5 6 7 8 9 10,,0,AGG_SW_01;STP BPDU被过滤
25,10,4,6,40,2 3 5 8,1 4 6 7 9 10,0,PE1;存在IP路由环路 | PE2;存在IP路由环路 | PE3;存在IP路由环路
26,10,4,6,40,4 6 7 9,1 2 3 5 8 10,0,PE1;存在IP路由环路 | PE2;存在IP路由环路 | PE3;存在IP路由环路
27,10,6,4,60,1 2 3 8 9 10,4 5 6 7,0,PE1;存在IP路由环路 | PE2;存在IP路由环路 | PE3;存在IP路由环路
28,10,3,7,30,1 2 8,3 4 5 6 7 9 10,0,PE1;存在IP路由环路 | PE2;存在IP路由环路 | PE3;存在IP路由环路
87,10,10,0,100,1 2 3 4 5 6 7 8 9 10,,0,Core_SW_01;VRRP工作在非抢占模式
88,10,10,0,100,1 2 3 4 5 6 7 8 9 10,,0,Core_SW_01;VRRP工作在非抢占模式
91,10,10,0,100,1 2 3 4 5 6 7 8 9 10,,0,Core_SW_02;VRRP工作在非抢占模式
92,10,10,0,100,1 2 3 4 5 6 7 8 9 10,,0,Core_SW_02;VRRP工作在非抢占模式
93,10,10,0,100,1 2 3 4 5 6 7 8 9 10,,0,Core_SW_01;VRRP工作在非抢占模式
94,10,10,0,100,1 2 3 4 5 6 7 8 9 10,,0,Core_SW_01;VRRP工作在非抢占模式
总计,140,117,23,83.57,,,0,14题；故障集合精确匹配，忽略列表顺序
