题号,第1次耗时(秒),第2次耗时(秒),第3次耗时(秒),第4次耗时(秒),第5次耗时(秒),第6次耗时(秒),第7次耗时(秒),第8次耗时(秒),第9次耗时(秒),第10次耗时(秒),最短(秒),平均(秒),中位数(秒),最长(秒),总耗时(秒)
13,170.39,200.391,149.61,158.766,172.531,152.188,202.782,141.734,114.985,141.453,114.985,160.483,155.477,202.782,1604.83
14,136.406,181.172,151.437,112.062,169.609,115.828,160.61,172.844,147.188,153.953,112.062,150.111,152.695,181.172,1501.109
17,205.657,188.172,138.36,181.156,228.625,217.594,263.89,133.219,177.015,204.609,133.219,193.83,196.391,263.89,1938.297
18,185.046,169.25,190.156,182.015,157.203,139.375,199.109,216.937,141.984,239.407,139.375,182.048,183.53,239.407,1820.482
25,659.203,513.891,405.5,792.515,538.156,527.14,815.953,325.047,505.719,616.797,325.047,569.992,532.648,815.953,5699.921
26,515.61,671.219,453.5,457.328,719.281,526.641,616.703,595.407,739.266,653.594,453.5,594.855,606.055,739.266,5948.549
27,555.094,611.172,681.11,556.312,601.89,570.422,743.672,532.11,352.922,287.391,287.391,549.21,563.367,743.672,5492.095
28,514.234,814.297,831.766,946.219,611.765,518.125,745.781,578.125,728.234,779.391,514.234,706.794,737.007,946.219,7067.937
87,89.797,93.688,112.5,105.891,90.953,124.219,100.36,80.969,95.375,72.797,72.797,96.655,94.531,124.219,966.549
88,102.969,83.781,84.579,99.563,73.344,130.14,84.75,63.25,71.5,105.187,63.25,89.906,84.665,130.14,899.063
91,116.718,106.797,74.812,103.594,126.218,90.921,107.547,95.156,103.297,111.203,74.812,103.626,105.195,126.218,1036.263
92,79.297,98.766,104.031,70.188,117.641,129.078,103.312,61.64,92.109,72.734,61.64,92.88,95.438,129.078,928.796
93,82.125,94.016,95.375,93.75,118.296,113.797,107.609,111.516,89.828,73.047,73.047,97.936,94.696,118.296,979.359
94,69.859,71.875,94.828,77.375,113.078,110.593,95.438,115.328,102.563,100.016,69.859,95.095,97.727,115.328,950.953
