
OSPF Process 1 with Router ID 10.1.254.1
Link State Database

Area: 0.0.0.0
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    10.1.254.1      10.1.254.1        30     60 80000017            1
 Router    10.1.254.2      10.1.254.2       123     60 80000015            1
 Router    10.1.254.3      10.1.254.3       431     96 80000008            1
 Router    10.1.254.6      10.1.254.6       368     60 80000004            1
 Sum-Net   10.1.10.0       10.1.254.1       708     28 80000002            1
 Sum-Net   10.1.10.0       10.1.254.2       794     28 80000002            1
 Sum-Net   10.1.10.254     10.1.254.1       707     28 80000002            1
 Sum-Net   10.1.10.254     10.1.254.2         8     28 800000e1            2
 Sum-Net   10.1.20.0       10.1.254.1       674     28 80000002            1
 Sum-Net   10.1.20.0       10.1.254.2       735     28 80000002            1
 Sum-Net   10.1.20.254     10.1.254.1       779     28 80000002            1
 Sum-Net   10.1.20.254     10.1.254.2        31     28 80000104            2
 Sum-Net   10.1.30.0       10.1.254.1       727     28 80000002            1
 Sum-Net   10.1.30.0       10.1.254.2       769     28 80000002            1
 Sum-Net   10.1.30.254     10.1.254.1         2     28 80000103            1
 Sum-Net   10.1.30.254     10.1.254.2       735     28 80000002            1
 Sum-Net   10.1.40.0       10.1.254.1       777     28 80000002            1
 Sum-Net   10.1.40.0       10.1.254.2       751     28 80000002            1
 Sum-Net   10.1.40.254     10.1.254.1         4     28 800000e7            2
 Sum-Net   10.1.40.254     10.1.254.2       665     28 80000002            1
 Sum-Net   10.1.50.0       10.1.254.3       432     28 80000003            2
 Sum-Net   10.1.60.0       10.1.254.3       431     28 80000003            2
 Sum-Net   10.1.110.0      10.1.254.1       767     28 80000002            1
 Sum-Net   10.1.110.0      10.1.254.2       768     28 80000002            1
 Sum-Net   10.1.110.254    10.1.254.1       685     28 80000002            1
 Sum-Net   10.1.110.254    10.1.254.2      1132     28 8000000b            2
 Sum-Net   10.1.120.0      10.1.254.1       798     28 80000002            1
 Sum-Net   10.1.120.0      10.1.254.2       756     28 80000002            1
 Sum-Net   10.1.120.254    10.1.254.1       799     28 80000002            1
 Sum-Net   10.1.120.254    10.1.254.2      1749     28 80000003            2
 Sum-Net   10.1.200.24     10.1.254.3       431     28 80000003            1

Area: 0.0.0.1
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    10.1.254.1      10.1.254.1         2    108 80000183            1
 Router    10.1.254.2      10.1.254.2         6     96 8000019c            1
 Network   10.1.10.252     10.1.254.2       659     32 80000002            0
 Network   10.1.20.252     10.1.254.2       653     32 80000002            0
 Network   10.1.30.252     10.1.254.2       638     32 80000002            0
 Network   10.1.40.252     10.1.254.2       657     32 80000002            0
 Sum-Net   10.1.50.0       10.1.254.1       467     28 80000003            3
 Sum-Net   10.1.50.0       10.1.254.2       355     28 80000003            3
 Sum-Net   10.1.60.0       10.1.254.1       489     28 80000003            3
 Sum-Net   10.1.60.0       10.1.254.2       520     28 80000003            3
 Sum-Net   10.1.110.0      10.1.254.1       710     28 80000002            1
 Sum-Net   10.1.110.0      10.1.254.2       660     28 80000002            1
 Sum-Net   10.1.110.254    10.1.254.1       750     28 80000002            1
 Sum-Net   10.1.110.254    10.1.254.2      1130     28 8000000b            2
 Sum-Net   10.1.120.0      10.1.254.1       795     28 80000002            1
 Sum-Net   10.1.120.0      10.1.254.2       702     28 80000002            1
 Sum-Net   10.1.120.254    10.1.254.1       643     28 80000002            1
 Sum-Net   10.1.120.254    10.1.254.2        48     28 80000004            2
 Sum-Net   10.1.200.0      10.1.254.1       660     28 80000002            1
 Sum-Net   10.1.200.0      10.1.254.2       461     28 80000003            2
 Sum-Net   10.1.200.4      10.1.254.1        30     28 80000006            1
 Sum-Net   10.1.200.4      10.1.254.2       122     28 80000007            3
 Sum-Net   10.1.200.8      10.1.254.1       450     28 80000003            2
 Sum-Net   10.1.200.8      10.1.254.2       780     28 80000002            1
 Sum-Net   10.1.200.12     10.1.254.1       244     28 80000003            3
 Sum-Net   10.1.200.12     10.1.254.2       122     28 8000000a            1
 Sum-Net   10.1.200.16     10.1.254.1       524     28 80000003            2
