2026-06-02 12:47:16.680 

	 OSPF Process 1 with Router ID 10.1.254.3
		 Link State Database 

		         Area: 0.0.0.0
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 Router    10.1.254.3      10.1.254.3         420  96    80000008       1
 Router    10.1.254.2      10.1.254.2         112  60    80000015       1
 Router    10.1.254.1      10.1.254.1          20  60    80000017       1
 Router    10.1.254.6      10.1.254.6         356  60    80000004       1
 Sum-Net   10.1.200.24     10.1.254.3         420  28    80000003       1
 Sum-Net   10.1.10.0       10.1.254.1         698  28    80000002       1
 Sum-Net   10.1.10.0       10.1.254.2         783  28    80000002       1
 Sum-Net   10.1.10.254     10.1.254.1         697  28    80000002       1
 Sum-Net   10.1.10.254     10.1.254.2          19  28    800000DF       2
 Sum-Net   10.1.20.0       10.1.254.1         664  28    80000002       1
 Sum-Net   10.1.20.0       10.1.254.2         724  28    80000002       1
 Sum-Net   10.1.20.254     10.1.254.1         769  28    80000002       1
 Sum-Net   10.1.20.254     10.1.254.2           4  28    80000106       2
 Sum-Net   10.1.60.0       10.1.254.3         420  28    80000003       2
 Sum-Net   10.1.110.0      10.1.254.1         757  28    80000002       1
 Sum-Net   10.1.110.0      10.1.254.2         757  28    80000002       1
 Sum-Net   10.1.110.254    10.1.254.1         675  28    80000002       1
 Sum-Net   10.1.110.254    10.1.254.2        1120  28    8000000B       2
 Sum-Net   10.1.120.0      10.1.254.1         788  28    80000002       1
 Sum-Net   10.1.120.0      10.1.254.2         744  28    80000002       1
 Sum-Net   10.1.120.254    10.1.254.1         789  28    80000002       1
 Sum-Net   10.1.120.254    10.1.254.2          33  28    80000004       2
 Sum-Net   10.1.30.0       10.1.254.1         717  28    80000002       1
 Sum-Net   10.1.30.0       10.1.254.2         758  28    80000002       1
 Sum-Net   10.1.30.254     10.1.254.1           2  28    80000102       2
 Sum-Net   10.1.30.254     10.1.254.2         724  28    80000002       1
 Sum-Net   10.1.50.0       10.1.254.3         420  28    80000003       2
 Sum-Net   10.1.40.0       10.1.254.1         767  28    80000002       1
 Sum-Net   10.1.40.0       10.1.254.2         740  28    80000002       1
 Sum-Net   10.1.40.254     10.1.254.1           4  28    800000E5       1
 Sum-Net   10.1.40.254     10.1.254.2         653  28    80000002       1
 
		         Area: 0.0.0.3
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 Router    10.1.254.3      10.1.254.3         420  48    80000004       1
 Router    10.1.254.5      10.1.254.5         599  72    80000003       1
 Sum-Net   10.1.254.6      10.1.254.3         420  28    80000003       2
 Sum-Net   10.1.200.12     10.1.254.3         228  28    80000001       2
 Sum-Net   10.1.200.8      10.1.254.3         420  28    80000003       1
 Sum-Net   10.1.200.4      10.1.254.3         289  28    80000001       2
 Sum-Net   10.1.200.0      10.1.254.3         420  28    80000003       1
 Sum-Net   10.1.200.16     10.1.254.3         420  28    80000003       1
 Sum-Net   10.1.10.0       10.1.254.3         420  28    80000003       2
 Sum-Net   10.1.10.254     10.1.254.3         420  28    80000003       2
 Sum-Net   10.1.20.0       10.1.254.3         420  28    80000003       2
 Sum-Net   10.1.20.254     10.1.254.3         420  28    80000003       2
 Sum-Net   10.1.110.0      10.1.254.3         420  28    80000003       2
 Sum-Net   10.1.110.254    10.1.254.3         420  28    80000003       2
 Sum-Net   10.1.120.0      10.1.254.3         420  28    80000003       2
 Sum-Net   10.1.120.254    10.1.254.3         420  28    80000003       2
 Sum-Net   10.1.30.0       10.1.254.3         420  28    80000003       2
 Sum-Net   10.1.30.254     10.1.254.3         420  28    80000003       2
 Sum-Net   10.1.40.0       10.1.254.3         420  28    80000003       2
 Sum-Net   10.1.40.254     10.1.254.3         420  28    80000003       2
 Sum-Asbr  10.1.254.6      10.1.254.3         420  28    80000003       1
 

		 AS External Database
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 External  0.0.0.0         10.1.254.6         356  36    80000002       1
 External  10.3.10.0       10.1.254.6         356  36    80000002       1
 External  10.3.20.0       10.1.254.6         356  36    80000002       1
 External  10.3.30.0       10.1.254.6         356  36    80000002       1
 External  10.2.10.0       10.1.254.6         356  36    80000002       1
 External  10.2.20.0       10.1.254.6         356  36    80000002       1
 External  10.2.30.0       10.1.254.6         356  36    80000002       1
 
