PHY: Physical
*down: administratively down
^down: standby
(l): loopback
(s): spoofing
(E): E-Trunk down
(b): BFD down
(B): Bit-error-detection down
(e): ETHOAM down
(d): Dampening Suppressed
(p): port alarm down
(ld): loop-detect trigger down
(mf): mac-flapping blocked
(c): CFM down
(sd): STP instance discarding
InUti/OutUti: input utility/output utility
Interface                   PHY   Protocol  InUti OutUti   inErrors  outErrors
Ethernet1/0/0               up    up           0%     0%          0          0
Ethernet1/0/1               up    up           0%     0%          0          0
Ethernet1/0/2               down  down         0%     0%          0          0
Ethernet1/0/3               down  down         0%     0%          0          0
Ethernet1/0/4               down  down         0%     0%          0          0
Ethernet1/0/5               down  down         0%     0%          0          0
Ethernet1/0/6               down  down         0%     0%          0          0
Ethernet1/0/7               down  down         0%     0%          0          0
Ethernet1/0/8               down  down         0%     0%          0          0
Ethernet1/0/9               down  down         0%     0%          0          0
Ethernet1/1/0               down  down         0%     0%          0          0
Ethernet1/1/1               down  down         0%     0%          0          0
Ethernet1/1/2               down  down         0%     0%          0          0
Ethernet1/1/3               down  down         0%     0%          0          0
Ethernet1/1/4               down  down         0%     0%          0          0
Ethernet1/1/5               down  down         0%     0%          0          0
Ethernet1/1/6               down  down         0%     0%          0          0
Ethernet1/1/7               down  down         0%     0%          0          0
Ethernet1/1/8               down  down         0%     0%          0          0
Ethernet1/1/9               down  down         0%     0%          0          0
Ethernet2/0/0               down  down         0%     0%          0          0
Ethernet2/0/1               down  down         0%     0%          0          0
Ethernet2/0/2               down  down         0%     0%          0          0
Ethernet2/0/3               down  down         0%     0%          0          0
Ethernet2/0/4               down  down         0%     0%          0          0
Ethernet2/0/5               down  down         0%     0%          0          0
Ethernet2/0/6               down  down         0%     0%          0          0
Ethernet2/0/7               down  down         0%     0%          0          0
Ethernet2/0/8               down  down         0%     0%          0          0
Ethernet2/0/9               down  down         0%     0%          0          0
Ethernet2/1/0               down  down         0%     0%          0          0
Ethernet2/1/1               down  down         0%     0%          0          0
Ethernet2/1/2               down  down         0%     0%          0          0
Ethernet2/1/3               down  down         0%     0%          0          0
Ethernet2/1/4               down  down         0%     0%          0          0
Ethernet2/1/5               down  down         0%     0%          0          0
Ethernet2/1/6               down  down         0%     0%          0          0
Ethernet2/1/7               down  down         0%     0%          0          0
Ethernet2/1/8               down  down         0%     0%          0          0
Ethernet2/1/9               up    down         0%     0%          0          0
GigabitEthernet0/0/0        up    down         0%     0%          0          0
NULL0                       up    up(s)        0%     0%          0          0
