CPU utilization statistics at 2026-06-02 12:47:49 715 ms
System CPU Using Percentage :  18%
CPU utilization for five seconds: 18%, one minute: 18%, five minutes: 17%.
Max CPU Usage :                22%
Max CPU Usage Stat. Time : 2026-06-02 12:22:57 654 ms
State: Non-overload
Overload threshold:  90%, Overload clear threshold:  75%, Duration:  480s
---------------------------
ServiceName  UseRate
---------------------------
SYSTEM           18%
AAA               0%
ARP               0%
CMF               0%
DEVICE            0%
EUM               0%
FEA               0%
FEC               0%
FIBRESM           0%
IFM               0%
IP STACK          0%
LLDP              0%
LOCAL PKT         0%
MSTP              0%
ND                0%
OAM               0%
OSPF              0%
PNP               0%
RGM               0%
RM                0%
SLA               0%
SMLK              0%
SVRO              0%
TNLM              0%
TUNNEL            0%
VLAN              0%
---------------------------
CPU Usage Details
----------------------------------------------------------------
CPU     Current  FiveSec   OneMin  FiveMin  Max MaxTime         
----------------------------------------------------------------
cpu0        99%      99%     100%      99%  99% 2026-06-02 12:10:55
cpu1        24%      25%      33%      26%  48% 2026-06-02 11:53:25
cpu2        18%      18%      18%      20%  99% 2026-06-02 12:08:45
cpu3        15%      15%      16%      15%  99% 2026-06-02 11:53:05
cpu4        14%      14%      14%      15%  63% 2026-06-02 12:31:35
cpu5        54%      45%      21%      16%  45% 2026-06-02 12:47:45
cpu6        14%      14%      13%      12%  99% 2026-06-02 12:08:55
cpu7        14%      13%      12%      12%  46% 2026-06-02 12:10:45
cpu8        11%      10%      10%      11%  99% 2026-06-02 12:11:15
cpu9        15%      14%      13%      12%  54% 2026-06-02 12:27:45
cpu10       14%      14%      16%      17%  99% 2026-06-02 12:03:45
cpu11       14%      13%      13%      12%  83% 2026-06-02 12:40:26
cpu12       17%      16%      16%      13%  29% 2026-06-02 12:33:35
cpu13       15%      15%      14%      13%  34% 2026-06-02 12:18:05
cpu14       15%      14%      17%      26%  99% 2026-06-02 11:56:35
cpu15       14%      14%      14%      13%  99% 2026-06-02 12:02:55
cpu16       14%      13%      12%      21%  99% 2026-06-02 12:18:25
