
CPU utilization for five seconds: 1%/0%; one minute: 1%; five minutes: 1%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1         1440      1069      1   0.00%   0.00%  0.00%   -    init
 3338            0         5      0   0.00%   0.00%  0.00%   -    portmap
 3376           10         8      1   0.00%   0.00%  0.00%   -    rpc.statd
 3386          720     12514      0   0.00%   0.01%  0.00%   -    sysmgr
 3936           10         4      2   0.00%   0.00%  0.00%   -    xinetd
 3937           10         6      1   0.00%   0.00%  0.00%   -    tftpd
 3938          740      7723      0   0.00%   0.00%  0.01%   -    syslogd
 3939          100        21      4   0.00%   0.00%  0.00%   -    sdwrapd
 3940          160        66      2   0.00%   0.00%  0.00%   -    pfm_dummy
 3941         1010      5427      0   0.19%   0.02%  0.01%   -    platform
 3953           20       983      0   0.00%   0.00%  0.00%   -    klogd
 3957          160      2081      0   0.00%   0.00%  0.00%   -    vshd
 3960          160      1816      0   0.00%   0.01%  0.00%   -    vpc_config_sync
 3961           50       962      0   0.00%   0.00%  0.00%   -    smm
 3962          190      1595      0   0.00%   0.00%  0.00%   -    session-mgr
 3963          210      5584      0   0.00%   0.00%  0.00%   -    psshelper
 3964          180      1629      0   0.00%   0.00%  0.00%   -    pixm
 3965           70     23873      0   0.00%   0.01%  0.00%   -    pdsd
 3966           20       127      0   0.00%   0.00%  0.00%   -    lmgrd
 3967          140      1057      0   0.00%   0.00%  0.00%   -    licmgr
 3968          190       113      1   0.00%   0.00%  0.00%   -    fs-daemon
 3969          210       699      0   0.00%   0.00%  0.00%   -    feature-mgr
 3970          110        51      2   0.00%   0.00%  0.00%   -    confcheck
 3971          180       881      0   0.00%   0.00%  0.00%   -    capability
 3972          190      5013      0   0.00%   0.00%  0.00%   -    psshelper_gsvc
 3980           10        96      0   0.00%   0.00%  0.00%   -    cisco
 3984         7620      4360      1   0.00%   0.00%  0.00%   -    clis
 3989          650      1081      0   0.00%   0.00%  0.00%   -    port-profile
 3996          190      1677      0   0.00%   0.00%  0.00%   -    xmlma
 3997          180      1592      0   0.00%   0.00%  0.00%   -    vmm
 3998          170       661      0   0.00%   0.00%  0.00%   -    vman
 3999          250      1631      0   0.00%   0.00%  0.00%   -    vdc_mgr
 4000          190      2503      0   0.00%   0.00%  0.00%   -    ttyd
 4001           30      9531      0   0.19%   0.19%  0.19%   -    sysinfo
 4002          170      4985      0   0.00%   0.00%  0.00%   -    sksd
 4004          200       155      1   0.00%   0.00%  0.00%   -    res_mgr
 4005          210      5055      0   0.00%   0.00%  0.00%   -    plugin
 4006          110       192      0   0.00%   0.00%  0.00%   -    patch-installer
 4007          180       561      0   0.00%   0.00%  0.00%   -    mvsh
 4008           10         5      2   0.00%   0.00%  0.00%   -    mping_server
 4009          230      1678      0   0.00%   0.00%  0.00%   -    module
 4012          110       556      0   0.00%   0.00%  0.00%   -    evms
 4015          190       649      0   0.00%   0.00%  0.00%   -    evmc
 4016          210       270      0   0.00%   0.00%  0.00%   -    crdcfg_server
 4017          150        38      3   0.00%   0.00%  0.00%   -    core-dmon
 4018          200      1562      0   0.00%   0.00%  0.00%   -    cli_acl
 4020          360       699      0   0.00%   0.00%  0.00%   -    ascii-cfg
 4021          240      5042      0   0.00%   0.00%  0.00%   -    securityd
 4022          170      4982      0   0.00%   0.00%  0.00%   -    cert_enroll
 4023          340      6392      0   0.00%   0.00%  0.00%   -    aaa
 4025            0         1      0   0.00%   0.00%  0.00%   -    dhcpd
 4026           70      2185      0   0.00%   0.00%  0.00%   -    l3vm
 4028           90      6984      0   0.00%   0.00%  0.00%   -    urib
 4034          290       209      1   0.00%   0.00%  0.00%   -    aclmgr
 4038         8330    262776      0   0.39%   0.17%  0.19%   -    ori_fwd
 4041         7230      6124      1   0.19%   0.14%  0.13%   -    port_client
 4044          970      1587      0   0.00%   0.00%  0.00%   -    statsclient
 4046          630     55503      0   0.00%   0.03%  0.03%   -    snmpd
 4048          130      1587      0   0.00%   0.00%  0.00%   -    eem_policy_dir
 4052          120       320      0   0.00%   0.00%  0.00%   -    npacl
 4060           80    395337      0   0.00%   0.07%  0.07%   -    adjmgr
 4062           70      1943      0   0.00%   0.00%  0.00%   -    u6rib
 4076          160        31      5   0.00%   0.00%  0.00%   -    ExceptionLog
 4079         1540      2855      0   0.00%   0.00%  0.00%   -    bootvar
 4081          370      1074      0   0.00%   0.00%  0.00%   -    ifmgr
 4083          180       884      0   0.00%   0.00%  0.00%   -    tcap
 4086          220      5713      0   0.00%   0.00%  0.00%   -    callhome
 4103          160      7022      0   0.00%   0.00%  0.00%   -    arp
 4108           70      1123      0   0.00%   0.00%  0.00%   -    icmpv6
 4133          120     32424      0   0.00%   0.05%  0.05%   -    l2fwd
 4135          100     30128      0   0.19%   0.03%  0.03%   -    pktmgr
 4163          160     75542      0   0.00%   0.05%  0.05%   -    netstack
 4201          230      5021      0   0.00%   0.00%  0.00%   -    radius
 4204          210      2831      0   0.00%   0.00%  0.00%   -    cdp
 4206          150      1804      0   0.00%   0.00%  0.00%   -    cfs
 4209           10         7      1   0.00%   0.00%  0.00%   -    ip_dummy
 4210           10         7      1   0.00%   0.00%  0.00%   -    ipv6_dummy
 4213          150       548      0   0.00%   0.00%  0.00%   -    ntp
 4214          150      2133      0   0.00%   0.00%  0.00%   -    otm
 4217           10         7      1   0.00%   0.00%  0.00%   -    tcpudp_dummy
 4225           50        29      1   0.00%   0.00%  0.00%   -    dcos-xinetd
 4253          260      9912      0   0.00%   0.00%  0.00%   -    ntpd
 5004         9560      2783      3   0.00%   0.00%  0.00%   -    vlan_mgr
 5013          110      2738      0   0.00%   0.00%  0.00%   -    rpm
 5014          150      1760      0   0.00%   0.00%  0.00%   -    pltfm_config
 5015          150      1589      0   0.00%   0.00%  0.00%   -    plsm
 5016          140      1571      0   0.00%   0.00%  0.00%   -    plcmgr
 5021          160      1592      0   0.00%   0.00%  0.00%   -    pixmc
 5022          330       746      0   0.00%   0.01%  0.00%   -    pfstat
 5029          830     23087      0   0.00%   0.01%  0.01%   -    mtm
 5035          200      1655      0   0.00%   0.00%  0.00%   -    lim
 5038          160      1873      0   0.00%   0.00%  0.00%   -    l2sfe
 5041          300      5502      0   0.19%   0.02%  0.01%   -    l2rib
 5044          130      1566      0   0.00%   0.00%  0.00%   -    l2fm_ut
 5045          170      1342      0   0.00%   0.00%  0.00%   -    l2fm
 5050          120      2786      0   0.00%   0.00%  0.00%   -    igmp
 5053          190      1451      0   0.00%   0.00%  0.00%   -    eth_port_channel
 5056          180      1078      0   0.00%   0.00%  0.00%   -    eltm
 5059          160      1631      0   0.00%   0.00%  0.00%   -    elo_io
 5062           90    497968      0   0.19%   0.10%  0.11%   -    ecp
 5065          110        24      4   0.00%   0.00%  0.00%   -    dftm
 5073          260      4804      0   0.00%   0.00%  0.00%   -    bfdc
 5076          130       324      0   0.00%   0.00%  0.00%   -    adbm
 5134          730      4615      0   0.00%   0.00%  0.00%   -    ethpm
 5172          990     27805      0   0.00%   0.01%  0.02%   -    stp
 5585          270       241      1   0.00%   0.00%  0.00%   -    copp
 5908          100       890      0   0.00%   0.00%  0.00%   -    u2
 5909          130       172      0   0.00%   0.00%  0.00%   -    spm
 5910          130      1612      0   0.00%   0.00%  0.00%   -    sal
 5911          110     13204      0   0.00%   0.00%  0.01%   -    mrib
 5912          130       838      0   0.00%   0.00%  0.00%   -    mfdm
 5913          130      1581      0   0.00%   0.00%  0.00%   -    mcm
 5914          100     17723      0   0.00%   0.00%  0.01%   -    m6rib
 5915          830      5891      0   0.00%   0.01%  0.01%   -    l2pt
 5917          180      1879      0   0.00%   0.00%  0.00%   -    ufdm
 5920          100       414      0   0.00%   0.00%  0.00%   -    m2rib
 5922          100      1147      0   0.00%   0.00%  0.00%   -    mcastfwd
 6023           30        36      0   0.00%   0.00%  0.00%   S0    login
 6025          290      4453      0   0.00%   0.01%  0.00%   -    gettylogin1
 6029           10         4      2   0.00%   0.00%  0.00%   -    sh
 6037           30        55      0   0.00%   0.00%  0.00%   -    libvirtd
 8447          270      4216      0   0.00%   0.00%  0.00%   S0    vsh
 8506          150       701      0   0.00%   0.00%  0.00%   -    interface-vlan
 8508          360      2096      0   0.00%   0.00%  0.00%   -    lldp
