
PID    MemAlloc  MemLimit    MemUsed     StackBase/Ptr      Process
-----  --------  ----------  ----------  -----------------  ----------------
    1    159744  0           2052096     ff90ecf0/ffffffff  init
 3338    167936  0           1925120     ffc29a40/ffffffff  portmap
 3376    167936  0           1888256     fff56f70/ffffffff  rpc.statd
 3386   3960832  0           42840064    ffe19110/ffffffff  sysmgr
 3936    585728  196164812   7548928     ffee6190/ffffffff  xinetd
 3937    679936  77364812    7364608     fff73cf0/ffffffff  tftpd
 3938  11542528  138507635   59420672    ffe29a10/ffffffff  syslogd
 3939   3063808  118801478   48328704    ffe927c0/ffffffff  sdwrapd
 3940   1556480  104310976   46907392    ffdb2c30/ffffffff  pfm_dummy
 3941  23937024  0           70475776    ffc32160/ffffffff  platform
 3953    413696  138507635   6852608     ffe2cdf0/ffffffff  klogd
 3957   3477504  413669836   49893376    ff90d760/ffffffff  vshd
 3960   4755456  390370393   102178816   ffbe05e0/ffffffff  vpc_config_sync
 3961   3776512  380823027   50118656    ffb03040/ffffffff  smm
 3962   4829184  176198457   50155520    ffff4c50/ffffffff  session-mgr
 3963   2256896  394325747   45010944    ffd9c230/ffffffff  psshelper
 3964  17514496  344313446   69414912    fff23a90/ffffffff  pixm
 3965  27222016  0           118509568   ffd2ee40/ffffffff  pdsd
 3966    229376  0           2838528     ffa079b0/ffffffff  lmgrd
 3967   2592768  120211238   53891072    ff989af0/ffffffff  licmgr
 3968   1884160  0           47906816    ff9f50d0/ffffffff  fs-daemon
 3969   2097152  0           46268416    ff9edc60/ffffffff  feature-mgr
 3970   1871872  0           47202304    fff33e90/ffffffff  confcheck
 3971   3149824  105450892   48451584    ffcc5c00/ffffffff  capability
 3972   2121728  394177062   44916736    ffd7f8f0/ffffffff  psshelper_gsvc
 3980    225280  0           2859008     ff974860/ffffffff  cisco
 3984  14876672  711003110   114176000   ffda7640/ffffffff  clis
 3989  63479808  1058489344  162869248   ffad0fe0/ffffffff  port-profile
 3996   1654784  0           46907392    ffa8e6d0/ffffffff  xmlma
 3997   1892352  116257152   46469120    ffe28fb0/ffffffff  vmm
 3998   4485120  138189075   57257984    ff8b4ee0/ffffffff  vman
 3999   3162112  193385984   53002240    ffd06fa0/ffffffff  vdc_mgr
 4000   1921024  122001792   44863488    ff90f8e0/ffffffff  ttyd
 4001   3149824  194470988   26632192    ffac9be0/ffffffff  sysinfo
 4002   1695744  119346656   49131520    ffc99d50/ffffffff  sksd
 4004   2285568  200066944   50356224    ffd2ef20/ffffffff  res_mgr
 4005   2019328  102549286   36859904    ffa6b300/ffffffff  plugin
 4006   2396160  0           48787456    ffcc4f20/ffffffff  patch-installer
 4007   2330624  261576198   47534080    ffe058f0/ffffffff  mvsh
 4008    425984  0           23855104    ffcb1450/ffffffff  mping_server
 4009   6623232  127084108   52826112    ffbb5a30/ffffffff  module
 4012   2908160  115894873   49012736    ffda1820/ffffffff  evms
 4015   2473984  366224883   47796224    ffd65100/ffffffff  evmc
 4016   3104768  481834355   49520640    ffc8d1f0/ffffffff  crdcfg_server
 4017   1163264  0           43130880    ff868180/ffffffff  core-dmon
 4018   3428352  102098726   48545792    ffd440d0/ffffffff  cli_acl
 4020   2445312  1287871692  210526208   ffb40a50/ffffffff  ascii-cfg
 4021   1302528  0           44273664    ffb886e0/ffffffff  securityd
 4022   3174400  0           56143872    ffcfd100/ffffffff  cert_enroll
 4023   1859584  0           48283648    ffae7a40/ffffffff  aaa
