Logging buffer configuration and contents : enabled
Allowed max buffer size : 10240
Actual buffer size : 512
Channel number : 4 , Channel name : logbuffer
Dropped messages : 0
Overwritten messages : 0
Current messages : 18

Jun  2 2026 12:33:36 ChinaUnicom_SW %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a50452;Neighbor information of the interface was changed. (Interface=GE1/0/1, Action=added, Added=1, Deleted=0, RemoteInterfaceName=Gi1, RemoteDeviceManageAddress=100.100.100.253)
Jun  2 2026 12:33:36 ChinaUnicom_SW %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a50452;Neighbor information of the interface was changed. (NeighborIndex=1, Action=added, Interface=GE1/0/1, RemoteChassisType=macAddress, RemoteChassisId=001e-bde3-9a00, RemotePortIdType=interfaceName, RemotePortId=Gi1, RemoteSystemName=BJHQ_CSR1000V_GW_01, RemoteSystemDescription=Cisco IOS Software [Gibraltar], Virtual XE Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.12.3, RELEASE SOFTWARE (fc5) Technical Support: http://www.cisco.com/techsupport Copyright (c) 1986-2020 by Cisco Systems, Inc. Compiled Mon 09-Mar-20 21:50 , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=100.100.100.253)
Jun  2 2026 12:33:36 ChinaUnicom_SW %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a50452;LLDP neighbor information was changed. (Added=1, Deleted=0, Dropped=0, Aged=0)
Jun  2 2026 12:31:41 ChinaUnicom_SW %%01CONFIGURATION/3/ROLLBACK_FAIL(l):CID=0x80cb000c;Configuration rollback finished, but some warnings occurred or there are still several differences.
Jun  2 2026 12:31:41 ChinaUnicom_SW %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=Vlanif200, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=Vlanif200)
Jun  2 2026 12:31:41 ChinaUnicom_SW %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=Vlanif114, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=Vlanif114)
Jun  2 2026 12:31:41 ChinaUnicom_SW %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=Vlanif100, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=Vlanif100)
Jun  2 2026 12:31:41 ChinaUnicom_SW %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=Vlanif8, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=Vlanif8)
Jun  2 2026 12:31:41 ChinaUnicom_SW %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=GE1/0/5, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=GE1/0/5)
Jun  2 2026 12:31:41 ChinaUnicom_SW %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=GE1/0/4, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=GE1/0/4)
Jun  2 2026 12:31:41 ChinaUnicom_SW %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=GE1/0/3, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=GE1/0/3)
Jun  2 2026 12:31:41 ChinaUnicom_SW %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=GE1/0/2, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=GE1/0/2)
Jun  2 2026 12:31:41 ChinaUnicom_SW %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=GE1/0/1, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=GE1/0/1)
Jun  2 2026 12:01:09 ChinaUnicom_SW %%01SSHS/4/CALLHOME_RECORD(s):CID=0x8093753f;Callhome function maintenance information is collected. (Details =No active configuration present for callhome)
Jun  2 2026 12:00:44 ChinaUnicom_SW %%01SYSTEM/2/hwStorageUtilizationRisingAlarm_active(l):CID=0x80020028-alarmID=0x00010085;The storage usage exceeded the pre-set overload threshold. (TrapSeverity=4, ProbableCause=75265, EventType=3, PhysicalIndex=17891329, PhysicalName=MPU slot 17, RelativeResource=cfcard, UsageType=5, SubIndex=1, UsageValue=99, Unit=1, UsageThreshold=85)
Jun  2 2026 12:00:41 ChinaUnicom_SW %%01SNMP/4/SNMP_RESET(l):CID=0x80d50407;SNMP was switched to a new process.
Jun  2 2026 12:00:39 ChinaUnicom_SW %%01VTY/3/hwVtyExceed_active(l):CID=0x80c87541-alarmID=0x00f102ee;The number of available VTY channels is lower than the threshold. (currentLoginVTYs=0, totalVTYs=0)
Jun  2 2026 12:00:34 ChinaUnicom_SW %%01LCS/4/LCS_STATE_CHANGED(l):CID=0x802b03f4;License state changed from Default to Default.
