2026-06-02 15:27:51.960 
CPU Usage Stat. Cycle: 10 (Second)
CPU Usage            :   5.2%  Max:  53.1% 
CPU utilization for ten seconds:   5.2% : one minute:   5.4% : five minutes:   5.2% 

PID   ProcessName         CPU       Runtime     State
1842  fpath.out           3.0%      59640       S
1633  vrp                 1.4%      28877       S
1650  vrpio_s             0.3%      6513        S
1858  nge.out             0.1%      18734       S
1844  slb_proxy.out       0.1%      2661        S
1856  restful.out         0.0%      1214        S
1843  nlog.out            0.0%      1063        S
1852  am.out              0.0%      797         S
1854  auth.out            0.0%      516         S
1851  ike.out             0.0%      424         S
1665  procmgmt.out        0.0%      344         S
1849  mail_send.out       0.0%      183         S
1846  svn.out             0.0%      134         S
1861  hc_https_client.out  0.0%      79          S
1859  netopeer-server.out  0.0%      39          S
1857  disk_smart.out      0.0%      19          S
1853  umdb.out            0.0%      15          S
1860  svnupgrade.out      0.0%      13          S
1845  mail_proxy.out      0.0%      2           S
2028  sshd.out            0.0%      2           S
1848  aapt.out            0.0%      1           S
1850  tcpproxy.out        0.0%      1           S
1847  rbl.out             0.0%      0           S
