PHY: Physical
*down: administratively down
^down: standby
(l): loopback
(s): spoofing
(E): E-Trunk down
(b): BFD down
(B): Bit-error-detection down
(e): ETHOAM down
(d): Dampening Suppressed
(p): port alarm down
(ld): loop-detect trigger down
(c): CFM down
Interface                     PHY     Protocol Description                     
Eth1/0/0                      up      up       to_SZ_Core_Ethernet2/4          
Eth1/0/1                      up      up       to_PE3_Ethernet1/0/0            
Eth1/0/2                      down    down                                     
Eth1/0/3                      down    down                                     
Eth1/0/4                      down    down                                     
Eth1/0/5                      down    down                                     
Eth1/0/6                      down    down                                     
Eth1/0/7                      down    down                                     
Eth1/0/8                      down    down                                     
Eth1/0/9                      down    down                                     
Eth1/1/0                      down    down                                     
Eth1/1/1                      down    down                                     
Eth1/1/2                      down    down                                     
Eth1/1/3                      down    down                                     
Eth1/1/4                      down    down                                     
Eth1/1/5                      down    down                                     
Eth1/1/6                      down    down                                     
Eth1/1/7                      down    down                                     
Eth1/1/8                      down    down                                     
Eth1/1/9                      down    down                                     
Eth2/0/0                      down    down                                     
Eth2/0/1                      down    down                                     
Eth2/0/2                      down    down                                     
Eth2/0/3                      down    down                                     
Eth2/0/4                      down    down                                     
Eth2/0/5                      down    down                                     
Eth2/0/6                      down    down                                     
Eth2/0/7                      down    down                                     
Eth2/0/8                      down    down                                     
Eth2/0/9                      down    down                                     
Eth2/1/0                      down    down                                     
Eth2/1/1                      down    down                                     
Eth2/1/2                      down    down                                     
Eth2/1/3                      down    down                                     
Eth2/1/4                      down    down                                     
Eth2/1/5                      down    down                                     
Eth2/1/6                      down    down                                     
Eth2/1/7                      down    down                                     
Eth2/1/8                      down    down                                     
Eth2/1/9                      up      down                                     
GE0/0/0                       up      down                                     
NULL0                         up      up(s)                                    
