
CPU utilization for five seconds: 1%/0%; one minute: 1%; five minutes: 1%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1         1480      2491      0   0.00%   0.00%  0.00%   -    init
 3338            0         5      0   0.00%   0.00%  0.00%   -    portmap
 3376           10         8      1   0.00%   0.00%  0.00%   -    rpc.statd
 3386         1440     27581      0   0.00%   0.00%  0.00%   -    sysmgr
 3936           10         3      3   0.00%   0.00%  0.00%   -    xinetd
 3937           10         4      2   0.00%   0.00%  0.00%   -    tftpd
 3938         1560     16245      0   0.00%   0.00%  0.01%   -    syslogd
 3939          110        25      4   0.00%   0.00%  0.00%   -    sdwrapd
 3940          160        61      2   0.00%   0.00%  0.00%   -    pfm_dummy
 3941         2000     12871      0   0.00%   0.02%  0.01%   -    platform
 3953           20       985      0   0.00%   0.00%  0.00%   -    klogd
 3957          180      3011      0   0.00%   0.00%  0.00%   -    vshd
 3960          210      4160      0   0.00%   0.00%  0.00%   -    vpc_config_sync
 3961           60      1235      0   0.00%   0.00%  0.00%   -    smm
 3962          240      3913      0   0.00%   0.00%  0.00%   -    session-mgr
 3963          310     12685      0   0.00%   0.00%  0.00%   -    psshelper
 3964          240      3958      0   0.00%   0.00%  0.00%   -    pixm
 3965           70     49218      0   0.00%   0.00%  0.00%   -    pdsd
 3966           30       253      0   0.00%   0.00%  0.00%   -    lmgrd
 3967          180      2481      0   0.00%   0.00%  0.00%   -    licmgr
 3968          210       231      0   0.00%   0.00%  0.00%   -    fs-daemon
 3969          230      1338      0   0.00%   0.00%  0.00%   -    feature-mgr
 3970          110        57      1   0.00%   0.00%  0.00%   -    confcheck
 3971          210      2134      0   0.00%   0.00%  0.00%   -    capability
 3972          290     12118      0   0.00%   0.00%  0.00%   -    psshelper_gsvc
 3980           20       214      0   0.00%   0.00%  0.00%   -    cisco
 3984         7740      4947      1   0.00%   0.00%  0.00%   -    clis
 3989          590      1607      0   0.00%   0.00%  0.00%   -    port-profile
 3996          240      4044      0   0.00%   0.00%  0.00%   -    xmlma
 3997          230      3943      0   0.00%   0.00%  0.00%   -    vmm
 3998          210      1553      0   0.00%   0.00%  0.00%   -    vman
 3999          300      3953      0   0.00%   0.00%  0.00%   -    vdc_mgr
 4000          250      6054      0   0.00%   0.00%  0.00%   -    ttyd
