
PID    MemAlloc  MemLimit    MemUsed     StackBase/Ptr      Process
-----  --------  ----------  ----------  -----------------  ----------------
    1    159744  0           2052096     ffe34fa0/ffffffff  init
 3338    167936  0           1925120     ff9acd30/ffffffff  portmap
 3376    167936  0           1888256     ffbedc80/ffffffff  rpc.statd
 3386   3960832  0           42840064    ff817620/ffffffff  sysmgr
 3936    585728  196164812   7548928     ffb3aa20/ffffffff  xinetd
 3937    679936  77364812    7364608     fff0aa20/ffffffff  tftpd
 3938  11542528  138507635   59420672    ffc46220/ffffffff  syslogd
 3939   3063808  118801478   48328704    ffa58230/ffffffff  sdwrapd
 3940   1556480  104310976   46907392    ffa554c0/ffffffff  pfm_dummy
 3941  23937024  0           70475776    ffb9e1f0/ffffffff  platform
 3953    413696  138507635   6852608     ffcae650/ffffffff  klogd
 3957   3477504  413669836   49893376    ffa66510/ffffffff  vshd
 3960   4755456  390370393   102178816   ffd75470/ffffffff  vpc_config_sync
 3961   3776512  380823027   50118656    ff8db230/ffffffff  smm
 3962   4829184  176198457   50155520    fff50160/ffffffff  session-mgr
 3963   2256896  394325747   45010944    ff95f7b0/ffffffff  psshelper
 3964  17514496  344313446   69414912    ffc467e0/ffffffff  pixm
 3965  27222016  0           118509568   ffb9f300/ffffffff  pdsd
 3966    229376  0           2838528     ff9cf410/ffffffff  lmgrd
 3967   2592768  120211238   53891072    ffb03a80/ffffffff  licmgr
 3968   1884160  0           47906816    ffd07b60/ffffffff  fs-daemon
 3969   2097152  0           46268416    fffcf190/ffffffff  feature-mgr
 3970   1871872  0           47202304    ffd3ad50/ffffffff  confcheck
 3971   3149824  105450892   48451584    fff8aad0/ffffffff  capability
 3972   2121728  394177062   44916736    fff5d510/ffffffff  psshelper_gsvc
 3980    225280  0           2859008     ffb34900/ffffffff  cisco
 3984  14876672  711003110   115613696   ffa53680/ffffffff  clis
 3989  63479808  1058489344  162869248   ff9fc130/ffffffff  port-profile
 3996   1654784  0           46907392    ffc57e00/ffffffff  xmlma
 3997   1892352  116257152   46469120    ffde9bc0/ffffffff  vmm
 3998   4485120  138189075   57257984    ffc2d740/ffffffff  vman
 3999   3162112  193385984   53002240    ffcb7910/ffffffff  vdc_mgr
 4000   1921024  122001792   44863488    ff930980/ffffffff  ttyd
 4001   3149824  194470988   26632192    ff9f5770/ffffffff  sysinfo
 4002   1695744  119346656   49131520    ffecbcf0/ffffffff  sksd
 4004   2285568  200066944   50356224    ffa56390/ffffffff  res_mgr
 4005   2019328  102549286   36859904    ffd6c200/ffffffff  plugin
 4006   2396160  0           48787456    ffcaca80/ffffffff  patch-installer
 4007   2330624  261576198   47534080    fffbe200/ffffffff  mvsh
 4008    425984  0           23855104    ff9c73a0/ffffffff  mping_server
 4009   6623232  127084108   52826112    ff951e50/ffffffff  module
 4012   2908160  115894873   49012736    ffb3f1d0/ffffffff  evms
 4015   2473984  366224883   47796224    ffd02290/ffffffff  evmc
 4016   3104768  481834355   49520640    ffaf6400/ffffffff  crdcfg_server
 4017   1163264  0           43130880    ffa458e0/ffffffff  core-dmon
 4018   3428352  102098726   48545792    ffdc0910/ffffffff  cli_acl
 4020   2445312  1287871692  210526208   ffa28a40/ffffffff  ascii-cfg
 4021   1302528  0           44273664    ffe12bc0/ffffffff  securityd
 4022   3174400  0           56143872    ffc92800/ffffffff  cert_enroll
 4023   1859584  0           48283648    ffad4ce0/ffffffff  aaa
 4025    610304  0           7618560     ffe82660/ffffffff  dhcpd
 4026   8962048  386315353   58859520    fff91e00/ffffffff  l3vm
 4028   9719808  770412723   180572160   ff877010/ffffffff  urib
 4033   7991296  989670809   61493248    ff8f38d0/ffffffff  aclmgr
 4035  14049280  0           62214144    fff7d220/ffffffff  ori_fwd
 4038  16306176  129298188   60817408    ffdc85d0/ffffffff  port_client
 4041   3743744  115493875   53391360    fff84680/ffffffff  statsclient
 4044  12283904  279505318   74067968    fffae880/ffffffff  snmpd
 4048   2719744  378538688   48078848    ffb76080/ffffffff  eem_policy_dir
