 MSTID  Port                        Role  STP State     Protection      Cost    Edged
     0  GE1/0/1                     ROOT  forwarding    none          199999    disable   
     0  GE1/0/2                     ALTE  discarding    none          199999    disable   
     0  GE1/0/3                     DESI  forwarding    none          199999    enable    
     0  GE1/0/5                     DESI  forwarding    none          199999    enable    
     1  GE1/0/1                     ALTE  discarding    none          199999    disable   
     1  GE1/0/2                     ROOT  forwarding    none              10    disable   
     1  GE1/0/3                     DESI  forwarding    none          199999    enable    
     1  GE1/0/5                     DESI  forwarding    none          199999    enable    
     3  GE1/0/1                     ROOT  forwarding    none          199999    disable   
     3  GE1/0/2                     ALTE  discarding    none          199999    disable   
